-ab-,(-ab-),," ankaŭ eblas diri '-instalaĵ-', '-uj-'."
-al,(-al),,(se temas pri ostoj aŭ per aliaj vortoj laŭ la signifo en la unuopaj okazoj) prefere diru '-osto' .
-atoro,(-ator·o),,"(laŭ la signifo en la unuopa okazo) prefere diru '-anto', '-ilo', 'maŝino'."
-cito,(-cit·o),,(en sciencaj vortoj) prefere diru 'ĉelo'.
-esk-,(-esk-),,Prefere diru '-ec-'.
-eza,(-ez·a),,"(por lingvoj, ekzemple: angleza) prefere diru '-a'."
-fila,(-fil·a),,Prefere diru '-ema'; (ekzemplo: ruso·fil·a -> rus·em·a/rus·am·a) prefere diru '-ama' .
-fono,(-fon·o),,(ekzemplo: esperanto-fon-o esperanto-parol-ant-o) prefere diru '-parolanto'.
-grafo,(-graf·o),,(en la senco de registra mezurilo) prefere diru 'registrilo'.
-i-,(-i-),,Prefere diru '-uj-'; (por land-nomoj) prefere diru '-land-'; (en scienco kaj teĥniko) prefere diru '-scienc-'.
-icido,(-icid·o),,"Prefere diru '-mortigaĵo', 'mortigilo'."
-iĉ-,(-iĉ-),,"(ne-oficiala sufikso) prefere diru 'vir-', 'vira'."
-ik-,(·ik·),,"(ne-oficiala sufikso) prefere diru 'scienc', '-fak-', '-art-' ."
-io,(-io),,"(landonomoj) prefere diru '-ujo', 'lando'."
-istan-,(-istan-),,"(en la okazo de centr-aziaj landoj) prefere diru '-land-', '-uj-'."
-istik-,(-istik-),,"(ne-oficiala sufikso) prefere diru '-scienc-', '-fak-', '-art-' ."
-it-,(-it-),,(por inflamo de korpaj organoj) prefere diru 'inflamo'.
-iv-,(-iv-),,"Prefere diru '-pov-'; (aŭ nenio, se la radiko estas ag·karaktera) prefere diru '-em-'."
-iz-,(-iz-),,"Prefere diru '-ig-', 'provizi per'."
-ofono,(-ofon·o),,"(kiel en 'Esperantofono') prefere diru 'parolanto', 'lingvano'. "
-oid-,(-oid-),,Prefere diru '-simil-'.
-ologio,(-ologi·o),,"Prefere diru '-scienco'[fun], '-fako'[fun]."
-ologo,(-olog·o),,"Prefere diru '-sciencisto', '-fakulo'."
-oz-,(-oz-),,"Prefere diru '-abund-', '-plen-'; (en la komun-uzaj vortoj) prefere diru '-riĉ-', 'malsan-'; (pri malsanoj) prefere diru 'inflam-'; (fake bona lingvo) prefere diru 'akuta inflam-'. "
-plegio,(-plegi·o),,Prefere diru '-paralizo'.
-skop-,(-skop-),,"(kiel antaŭafikso aŭ postafikso) prefere diru '-detektilo', 'observilo' , '-mezurilo'."
-skopio,(-skopi·o),,"(kiel antaŭafikso aŭ postafikso) prefere diru '-detektado', 'observado' , '-mezurado'."
-skopo,(-skop·o),,Prefere diru 'observilo'.
-stan-,(-stan-),,"(en la okazo de centr-aziaj landoj) prefere diru '-land-', '-uj-'."
-tomio,(-tomi·o),,"(en medicino) ankaŭ eblas diri 'tranĉo', 'operacio'."
-tomizi,(-tom·iz·i),,(en medicino) prefere diru 'operacii'.
-tomo,(-tom·o),,(en medicino) ankaŭ eblas diri (kurac·ist·a) 'tranĉilo'.
-uk-,(-uk-),,Prefere diru 'kastrita'.
abaĵuro,(abaĵur·o),,Prefere diru 'lampoŝirmilo'.
abako,(abak·o),,Prefere diru 'kalkulilo'.
abandoni,(abandon·i),,Prefere diru 'cedi'(al la asekur·kompani·o la difekt·it·a·n aĵ·o·n) .
abatiso,(abatis·o),,"Prefere diru 'arbobaraĵo', 'trunkobaraĵo'; (en armea/milita signifo) prefere diru 'baraĵo el dehakitaj arboj'."
abato,(abat·o),fun," ankaŭ eblas diri (krist·an·a) 'monaĥestro', 'monaĥejestro' ."
abdiki,(abdik·i),3oa," ankaŭ eblas diri 'eksiĝi', 'rezigni pri', 'forlasi' , 'deposteniĝi'."
abdomeno,(abdomen·o),,Prefere diru 'ventro'.
aberacio,(aberaci·o),zam,(en nefaka signifo) ankaŭ eblas diri 'devojiĝo de la normo'.
abismo,(abism·o),1oa, ankaŭ eblas diri 'profundego'.
abituriento,(abiturient·o),4oa,"Prefere diru 'lernejfininto'; (en la senco de lernanto de la lasta lerneja jaro) prefere diru 'lastjara lernanto', 'lernejfinonto' ."
abituro,(abitur·o),,"(kiu ebligas eniri universitaton) ankaŭ eblas diri 'lernejfina diplomo', 'gimnazia diplomo'."
abĵuri,(abĵur·i),,"Prefere diru 'ĵure malagnoski', 'forĵuri', 'forproklami' ."
ablacio,(ablaci·o),,"(en operacio) prefere diru 'forigo', 'fortranĉo'."
abnegacio,(abnegaci·o),2oa, ankaŭ eblas diri 'forofero'.
abnorma,(abnorm·a),,Prefere diru 'nenorma'.
aboli,(abol·i),,"Prefere diru 'nuligi', 'forigi'(oficial·e) ."
abolicii,(abolici·i),,"Prefere diru 'nuligi', 'forigi'(oficial·e) ."
aborigeno,(aborigen·o),,Prefere diru 'praloĝanto'.
aborti,(abort·i),," ankaŭ eblas diri 'misnaski'; (en la senco 'la plano abortis') prefere diru 'fiaski', 'malsukcesi', 'ruiniĝi'."
abrogacii,(abrogaci·i),,"(parolante pri leĝo) prefere diru 'eksvalidigi', 'forigi', 'nuligi'."
abrogacio,(abrogaci·o),,"(parolante pri leĝo) prefere diru 'eksvalidigo', 'forigo', 'nuligo'."
abrogi,(abrog·i),,"(parolante pri leĝo) prefere diru 'eksvalidigi', 'forigi', 'nuligi'."
abrogo,(abrog·o),,"(parolante pri leĝo) prefere diru 'eksvalidigo', 'forigo', 'nuligo'."
absolvi,(absolv·i),zam," ankaŭ eblas diri 'pekliberigi', 'malkondamni'."
acerba,(acerb·a),,"(pri gusto de fruktoj kaj similaj) prefere diru 'acid(eg)a'; (pri sinteno al aliaj homoj) prefere diru 'akra', 'malmilda'."
acidometro,(acidometr·o),,Prefere diru 'acidecmezurilo'.
adaĝe,(adaĝ·e),, ankaŭ eblas diri 'malrapide'.
adaĝo,(adaĝ·o),,"(teĥnika vorto, muziko) ankaŭ eblas diri 'malrapida muzikpeco'."
adaptometrio,(adaptometri·o),,"Prefere diru (retina) 'adaptiĝmezuro', 'adaptomezurado' ."
adekvata,(adekvat·a),,"Prefere diru 'taŭga', 'ĝusta', 'konvena', 'sufiĉa' ."
adeno,(aden·o),,"Prefere diru 'glando', 'giando'."
adhera,(adher·a),,"Prefere diru 'algluiĝa', 'glua'."
adheri,(adher·i),,Prefere diru 'algluiĝi'.
adip·,(adip·),,(en scienco kaj teĥniko) prefere diru 'graso'.
adjektivo,(adjektiv·o),fun," ankaŭ eblas diri 'avorto', 'ecovorto'."
adjekto,(adjekt·o),, ankaŭ eblas diri 'adverbaĵo'.
adjudiki,(adjudik·i),,(laŭ la signifo de malfemado de konkurso pri farota laboro/liverado) prefere diru 'anonci konkurson' ; (transdoni laboron aŭ kontrakton pri liverado de varoj/servoj) prefere diru 'kontrakte komisii'; (decidi pri la transdono de kontrakto pri laboro/liverado) prefere diru 'aljuĝi'.
adjunkto,(adjunkt·o),zam, ankaŭ eblas diri 'helpoficisto'.
administracio,(administraci·o),,"Prefere diru 'administrado', 'administrejo', 'administrantaro', 'administra sistemo'; (en la senco de usona registaro) prefere diru 'registaro'."
administratoro,(administrator·o),zam,"Prefere diru 'administranto', 'administristo'."
adobo,(adob·o),,Prefere diru 'sunsekigita briko'.
