# mrk	kap	num	dos	ind	trd
c.0	co		oa_7	NULL	NULL
car.0o	caro		NULL	Zar	
cece.0o	ceceo		NULL	NULL	NULL
cece.0o	tsetseo		NULL	NULL	NULL
cece.0o.ZOO	ceceo		NULL	Tsetsefliege	
cece.0o.ZOO	tsetseo		NULL	Tsetsefliege	
ced.0ajxo	cedaĵo		NULL	Abgetretenes	
ced.0ajxo	cedaĵo		NULL	Überlassenes	
ced.0ajxo	cedaĵo		NULL	Zugeständnis	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Abgetretenes	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Überlassenes	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Zugeständnis	
ced.0ema	cedema		NULL	nachgiebig	
ced.0ema.KOMUNE	cedema		NULL	nachgiebig	
ced.0emo	cedemo		NULL	Nachgiebigkeit	
ced.0emo.KOMUNE	cedemo		NULL	Nachgiebigkeit	
ced.0i	cedi		NULL	NULL	NULL
ced.0i.fordoni	cedi	2	NULL	abtreten	
ced.0i.fordoni	cedi	2	NULL	abgeben	
ced.0i.fordoni	cedi	2	NULL	überlassen	
ced.0i.malrezisti	cedi	1	NULL	nachgeben	
ced.0i.malrezisti	cedi	1	NULL	weichen	
ced.0o	cedo		NULL	Abtretung	
ced.0o	cedo		NULL	Überlassung	
ced.0o.KOMUNE	cedo		NULL	Abtretung	
ced.0o.KOMUNE	cedo		NULL	Überlassung	
ced.for0i	forcedi		NULL	abtreten	
ced.for0i.KOMUNE	forcedi		NULL	abtreten	
ced.mal0ema	malcedema		NULL	standhaft	
ced.mal0ema	malcedema		NULL	unbeugsam	
ced.mal0ema.KOMUNE	malcedema		NULL	standhaft	
ced.mal0ema.KOMUNE	malcedema		NULL	unbeugsam	
ced.mal0i	malcedi		NULL	widerstehen	
ced.mal0i	malcedi		NULL	behaupten	sich behaupten
ced.mal0i.KOMUNE	malcedi		NULL	widerstehen	
ced.mal0i.KOMUNE	malcedi		NULL	behaupten	sich behaupten
ced.trans0i	transcedi		NULL	überlassen	
ced.trans0i.KOMUNE	transcedi		NULL	überlassen	
cedr.0o	cedro		NULL	Zeder	
cedrat.0o	cedrato		NULL	Zitronatzitrone	
cedrat.0o	cedrato		NULL	Zedratzitrone	
cedrat.0ujo	cedratujo		NULL	Zedratbaum	
cedrat.0ujo	cedratarbo		NULL	Zedratbaum	
cefalo.0oj	cefalopodoj		NULL	Kopffüßer	
cefalotorak.0o	cefalotorako		NULL	Cephalothorax	
