#mrk	kap	num	dos	ind	trd
d.0	do		oa_7	NULL	NULL
da.0	da		ekz_14	des	
da.0	da		uv_D	des	
da.0	da		akkor_de	des	
da.0	da		ekz_14	von	von (glaso da vino - Glas Wein)
da.0	da		uv_D	von	von (glaso da vino - Glas Wein)
da.0	da		akkor_de	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	ekz_14	des	
da.0.kuno	da	1	uv_D	des	
da.0.kuno	da	1	akkor_de	des	
da.0.kuno	da	1	ekz_14	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	uv_D	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	akkor_de	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	ekz_14	des	
da.0.kvanta	da	2	uv_D	des	
da.0.kvanta	da	2	akkor_de	des	
da.0.kvanta	da	2	ekz_14	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	uv_D	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	akkor_de	von	von (glaso da vino - Glas Wein)
dacx.0o	daĉo		NULL	NULL	NULL
dacx.0o.rusa	daĉo		NULL	Datsche	
dacx.0o.rusa	daĉo		NULL	Bungalow	
dacx.0o.rusa	daĉo		NULL	Gartenhaus	
dadaism.0o	dadaismo		NULL	Dada	
dadaism.0o	dadaismo		NULL	Dadaismus	
dadaism.0o.BELA	dadaismo		NULL	Dada	
dadaism.0o.BELA	dadaismo		NULL	Dadaismus	
dadaist.0o	dadaisto		NULL	NULL	NULL
dadaist.0o.BELA	dadaisto		NULL	NULL	NULL
dafn.0o	dafno		NULL	Seidelbast	
dafn.0o.BOT	dafno		NULL	Seidelbast	
dagerotip.0o	dagerotipo		NULL	Daguerreotypie	
dagerotip.0o.FOT	dagerotipo		NULL	Daguerreotypie	
dagerotipi.0o	dagerotipio		NULL	Daguerreotypie	
dagerotipi.0o.FOT	dagerotipio		NULL	Daguerreotypie	
dagobert.0o	Dagoberto		NULL	NULL	NULL
dagobert.0o.NOM	Dagoberto		NULL	NULL	NULL
daimi.0o	daimio		NULL	NULL	NULL
daimi.0o.japana_princo	daimio		NULL	Daimyō	
dajak.0a	dajaka		NULL	NULL	NULL
dajak.0a.ETN	dajaka		NULL	NULL	NULL
dajak.0o	dajako		NULL	NULL	NULL
dajak.0o.ETN	dajako		NULL	NULL	NULL
dajmon.0o	dajmono		NULL	Dämon	
dajmon.0o	dajmono		NULL	Dämonion	
dajmon.0o.REL	dajmono		NULL	Dämon	
