#mrk	kap	num	dos	ind	trd
e.0	-e		NULL	NULL	NULL
e.0.adverbo	-e	1	NULL	NULL	NULL
e.0.predikativo	-e	2	NULL	NULL	NULL
e1.0	e		gra_fr	e	
e1.0	e		gra_en	e	
e1.0	e		gra_en	e	
e1.0	e		gra_de	e	
e1.0	e		gra_ru	e	
e1.0	e		gra_pl	e	
e1.0	e		ekz_7	e	
e1.0	e		uv_E	e	
e1.0	e		oa_7	e	
e1.0.vokalo	e		gra_fr	e	
e1.0.vokalo	e		gra_en	e	
e1.0.vokalo	e		gra_en	e	
e1.0.vokalo	e		gra_de	e	
e1.0.vokalo	e		gra_ru	e	
e1.0.vokalo	e		gra_pl	e	
e1.0.vokalo	e		ekz_7	e	
e1.0.vokalo	e		uv_E	e	
e1.0.vokalo	e		oa_7	e	
eben.0a	ebena		NULL	glatt	
eben.0a.MAT	ebena	2	NULL	eben	
eben.0a.MAT	ebena	2	NULL	glatt	
eben.0a.facila	ebena	3	NULL	glatt	
eben.0a.plata	ebena	1	NULL	eben	
eben.0a.plata	ebena	1	NULL	glatt	
eben.0a.plata	ebena	1	NULL	flach	
eben.0a.plata	ebena	1	NULL	platt	
eben.0a.plata	ebena	1	NULL	glatt	
eben.0ajxo	ebenaĵo		NULL	Ebene	
eben.0ajxo	ebenejo		NULL	Ebene	
eben.0ajxo.GEOG	ebenaĵo		NULL	Ebene	
eben.0ajxo.GEOG	ebenejo		NULL	Ebene	
eben.0bati	ebenbati		NULL	platt klopfen	
eben.0igi	ebenigi		NULL	ebenen	
eben.0igi.FIG	ebenigi	2	NULL	ebenen	
eben.0igi.platigi	ebenigi	1	NULL	einebnen	
eben.0igi.platigi	ebenigi	1	NULL	glätten	
eben.0igi.platigi	ebenigi	1	NULL	ebenen	
eben.0o	ebeno		NULL	Ebene	
eben.0o.MAT	ebeno	3	NULL	Ebene	
eben.0o.elementa	ebeno	2	NULL	Ebene	
eben.0o.tereno	ebeno	1	NULL	Flachland	
eben.0o.tereno	ebeno	1	NULL	Ebene	
eben.afina0o	afina ebeno		NULL	Ebene	affine Ebene
eben.alt0ajxo	altebenaĵo		NULL	Hochebene	
eben.alt0ajxo.GEOG	altebenaĵo		NULL	Hochebene	
eben.duon0o	duonebeno		NULL	Halbebene	
eben.sam0a	samebena		NULL	komplanar	
eben.simetri0o	simetriebeno		NULL	Symmetrieebene	
eben.simetri0o.de_figuro	simetriebeno	2	NULL	Symmetrieebene	
eben.simetri0o.de_simetrio	simetriebeno	1	NULL	Symmetrieebene	
eben.vektora0o	vektora ebeno		NULL	Vektorebene	
ebl.0	-ebl		NULL	-bar	
ebl.0.sufikso	-ebl		NULL	-bar	
ebl.0a	ebla		ekz_29	möglich	
ebl.0e	eble		uv_E	vielleicht	
ebl.0e	eble		uv_E	möglicherweise	
ebl.0eco	ebleco		NULL	Möglichkeit	
ebl.0i	ebli		NULL	NULL	NULL
ebl.0igi	ebligi		NULL	ermöglichen	
ebl.0o	eblo		NULL	Möglichkeit	
ebl.kiel_0e_plej	kiel eble plej		NULL	möglichst	
ebl.kiel_0e_plej	kiom eble pli		NULL	möglichst	
ebl.kiel_0e_plej	kiom eble plej		NULL	möglichst	
ebl.kiel_0e_plej.emfaza	kiel eble plej	2	NULL	möglichst	
ebl.kiel_0e_plej.emfaza	kiom eble pli	2	NULL	möglichst	
ebl.kiel_0e_plej.emfaza	kiom eble plej	2	NULL	möglichst	
ebl.kiel_0e_plej.limigita	kiel eble plej	1	NULL	möglichst	
ebl.kiel_0e_plej.limigita	kiom eble pli	1	NULL	möglichst	
ebl.kiel_0e_plej.limigita	kiom eble plej	1	NULL	möglichst	
ebl.laux0e	laŭeble		NULL	möglichst	
ebl.ne0a	neebla		NULL	unmöglich	
ebl.ne0a.KOMUNE	neebla		NULL	unmöglich	
ebl.ne0ajxo	neeblaĵo		NULL	Unmöglichkeit	
ebl.ne0ajxo.KOMUNE	neeblaĵo		NULL	Unmöglichkeit	
ebon.0a	ebona		NULL	NULL	NULL
ebon.0arto	ebonarto		NULL	NULL	NULL
ebon.0isto	ebonisto		NULL	NULL	NULL
ebon.0o	ebono		NULL	Ebenholz	
ebon.0ujo0arbo	ebonujo		NULL	NULL	NULL
ebon.0ujo0arbo	ebonarbo		NULL	NULL	NULL
ebonit.0o	ebonito		NULL	Ebonit	
ebonit.0o	ebonito		NULL	Hartgummi	
ebri.0a	ebria		NULL	betrunken	
ebri.0a	ebria		NULL	besoffen	
ebri.0a.droge	ebria	1	NULL	betrunken	
ebri.0a.droge	ebria	1	NULL	besoffen	
ebri.0a.spontanee	ebria	2	NULL	betrunken	
ebri.0a.spontanee	ebria	2	NULL	besoffen	
ebri.0i	ebrii		NULL	NULL	NULL
ebri.0i.PSI	ebrii		NULL	NULL	NULL
ebri.0iga	ebriiga		NULL	NULL	NULL
ebri.0iga.KOMUNE	ebriiga		NULL	NULL	NULL
ebri.0igajxo	ebriigaĵo		NULL	Alkohol	Alkohol(isches Getränk)
ebri.0igajxo	ebriigaĵo		NULL	Gesöff	
ebri.0igajxo.KOMUNE	ebriigaĵo		NULL	Alkohol	Alkohol(isches Getränk)
ebri.0igajxo.KOMUNE	ebriigaĵo		NULL	Gesöff	
ebri.0igi	ebriigi		NULL	NULL	NULL
ebri.0igi.KOMUNE	ebriigi		NULL	NULL	NULL
ebri.0igxi	ebriiĝi		NULL	betrunken	betrunken werden
ebri.0igxi.KOMUNE	ebriiĝi		NULL	betrunken	betrunken werden
ebri.0o	ebrio		NULL	Trunkenheit	
ebri.0o	ebrieco		NULL	Trunkenheit	
ebri.0o.PSI_alkohole	ebrio	1	NULL	Trunkenheit	
ebri.0o.PSI_alkohole	ebrieco	1	NULL	Trunkenheit	
ebri.0o.PSI_gxenerale	ebrio	2	NULL	Trunkenheit	
ebri.0o.PSI_gxenerale	ebrieco	2	NULL	Trunkenheit	
ebri.0ulo	ebriulo		NULL	Betrunkener	
ebri.0ulo.KOMUNE	ebriulo		NULL	Betrunkener	
ebri.mal0igxi	malebriiĝi		NULL	nüchtern	nüchtern werden
ebri.mal0igxi	elebriiĝi		NULL	nüchtern	nüchtern werden
ebri.mal0igxi.KOMUNE	malebriiĝi		NULL	nüchtern	nüchtern werden
