#mrk	kap	num	dos	ind	trd
f.0	fo		oa_7	NULL	NULL
f.0.konsonanto	fo		oa_7	NULL	NULL
fab.0eto	fabeto		NULL	Gartenbohne	
fab.0eto	fabeto		NULL	Grüne Bohne	
fab.0eto	fabeto		NULL	Schnittbohne	
fab.0eto	fabeto		NULL	Fisole	
fab.0o	fabo		NULL	NULL	NULL
fab.0o.BOT	fabo	2	NULL	Pferdebohne	
fab.0o.BOT	fabo	2	NULL	Saubohne	
fab.0o.semo	fabo	1	NULL	Bohne	Bohne (Samen)
fabac.0oj	fabacoj		NULL	Schmetterlingsblütengewächse	
fabac.0oj.BOT	fabacoj		NULL	Schmetterlingsblütengewächse	
fabel.0a	fabela		NULL	märchenhaft	
fabel.0a	fabela		NULL	sagenhaft	
fabel.0a	fabela		NULL	fabelhaft	
fabel.0a.BELE	fabela	1	NULL	märchenhaft	
fabel.0a.BELE	fabela	1	NULL	sagenhaft	
fabel.0a.BELE	fabela	1	NULL	fabelhaft	
fabel.0a.FIG	fabela	2	NULL	märchenhaft	
fabel.0a.FIG	fabela	2	NULL	sagenhaft	
fabel.0a.FIG	fabela	2	NULL	fabelhaft	
fabel.0ajxo	fabelaĵo		NULL	Märchen	Märchen (Unmögliches)
fabel.0ajxo	fabelaĵo		NULL	Fantasie	Fantasie (Unmögliches)
fabel.0aro	fabelaro		NULL	Märchensammlung	
fabel.0aro.BELE	fabelaro		NULL	Märchensammlung	
fabel.0o	fabelo		NULL	Märchen	
fabel.0o	fabelo		NULL	Sage	
fabel.0o.BELE	fabelo	1	NULL	Märchen	
fabel.0o.BELE	fabelo	1	NULL	Sage	
fabel.0o.FIG	fabelo	2	NULL	Märchen	
fabel.0o.FIG	fabelo	2	NULL	Sage	
fabi.0o	Fabio		NULL	NULL	NULL
fabi.0o.NOM	Fabio		NULL	NULL	NULL
fabian.0o	Fabiano		NULL	NULL	NULL
fabian.0o.NOM	Fabiano		NULL	NULL	NULL
fabl.0o	fablo		NULL	Fabel	
fabrici.0o	Fabricio		NULL	NULL	NULL
fabrici.0o.NOM	Fabricio		NULL	NULL	NULL
fabrik.0ado	fabrikado		NULL	Fabrikation	
fabrik.0ado	fabrikado		NULL	Produktion	
fabrik.0ado	fabrikado		NULL	Herstellung	
fabrik.0ado.EKON	fabrikado		NULL	Fabrikation	
fabrik.0ado.EKON	fabrikado		NULL	Produktion	
fabrik.0ado.EKON	fabrikado		NULL	Herstellung	
fabrik.0anto	fabrikanto		NULL	Hersteller	
fabrik.0anto	fabrikanto		NULL	Produzent	
fabrik.0anto	fabrikanto		NULL	Fabrikant	
fabrik.0anto.firmao	fabrikanto	2	NULL	Hersteller	
fabrik.0anto.firmao	fabrikanto	2	NULL	Produzent	
fabrik.0anto.firmao	fabrikanto	2	NULL	Fabrikant	
fabrik.0anto.homo	fabrikanto	1	NULL	Hersteller	
fabrik.0anto.homo	fabrikanto	1	NULL	Produzent	
fabrik.0anto.homo	fabrikanto	1	NULL	Fabrikant	
fabrik.0i	fabriki		NULL	fabrizieren	
fabrik.0i	fabriki		NULL	produzieren	
fabrik.0i	fabriki		NULL	herstellen	
fabrik.0i	fabriki		NULL	anfertigen	
fabrik.0i.EKON	fabriki		NULL	fabrizieren	
fabrik.0i.EKON	fabriki		NULL	produzieren	
fabrik.0i.EKON	fabriki		NULL	herstellen	
fabrik.0i.EKON	fabriki		NULL	anfertigen	
fabrik.0o	fabriko		NULL	Fabrik	
fabrik.0o	fabriko		NULL	Werk	
fabrik.0o.EKON	fabriko		NULL	Fabrik	
fabrik.0o.EKON	fabriko		NULL	Werk	
fabrik.pens0o	pensfabriko		NULL	Denkfabrik	
fabrik.pens0o	pensfabriko		NULL	Forschungsinstitut	
fabrik.pens0o.POL	pensfabriko		NULL	Denkfabrik	
fabrik.pens0o.POL	pensfabriko		NULL	Forschungsinstitut	
fabul.0o	fabulo		NULL	Handlung	Handlung (Erzählkunst)
fabul.0o	fabulo		NULL	Motiv	
fabul.0o	fabulo		NULL	Sujet	
fabul.0o.BELE	fabulo		NULL	Handlung	Handlung (Erzählkunst)
fabul.0o.BELE	fabulo		NULL	Motiv	
fabul.0o.BELE	fabulo		NULL	Sujet	
fac.0o	faco		oa_8	Fläche	
fac.0o.TEK	faco	1	oa_8	Fläche	
fac.0o.pluredro	faco	2	oa_8	Seite	
