# mrk	kap	num	dos	ind	trd
g.0	go		oa_7	NULL	NULL
g.0.konsonanto	go		oa_7	NULL	NULL
gabardin.0o	gabardino		NULL	NULL	NULL
gabardin.0o.TEKS_sxtofo	gabardino		NULL	NULL	NULL
gaberon.G0o	Gaberono		NULL	NULL	NULL
gaberon.G0o	Gaborono		NULL	NULL	NULL
gaberon.G0o.GEOG	Gaberono		NULL	Gaborone	
gaberon.G0o.GEOG	Gaborono		NULL	Gaborone	
gabi.0o	gabio		NULL	Schanzkorb	
gabl.0o	gablo		NULL	Giebel	
gabl.0o.ARKI	gablo	1	NULL	Giebel	
gabl.0o.ARKI_ornama	gablo	2	NULL	Wimperg	
gabl.0o.ARKI_ornama	gablo	2	NULL	Giebel	
gabon.G0o	Gabono		NULL	Gabun	
gabon.G0o.GEOG	Gabono		NULL	Gabun	
gabriel.0o	Gabrielo		NULL	Gabriel	
gabriel.0o.NOM	Gabrielo		NULL	Gabriel	
gad.0o	gado		NULL	NULL	NULL
gad.0o.KOMUNE	gado	1	NULL	Dorsch	
gad.0o.ZOO	gado	2	NULL	Kabeljau	
gad.0oformaj	gadoformaj		NULL	Dorschartige	
gad.0oformaj.ZOO	gadoformaj		NULL	Dorschartige	
gaded.0oj	gadedoj		NULL	Dorsche	Dorsche (Familie)
gadmes.0o	gadmeso		NULL	Dildo	
gadmes.0o	gadmeso		NULL	Plastikschwanz	
gadmes.0o.dildo	gadmeso		NULL	Dildo	
gadmes.0o.dildo	gadmeso		NULL	Plastikschwanz	
gadoli.0o	gadolinio		NULL	Gadolinium	
gadulk.0o	gadulko		NULL	Gadulka	
gael.0a	gaela		NULL	gälisch	
gael.0o	gaelo		NULL	Gäle	
gaf.0o	gafo		NULL	Gaffel	
gagat.0o	gagato		NULL	Gagat	
gagat.0o	gagato		NULL	Jett	
gagat.0o	gagato		NULL	Pechkohle	
gage.0o	gageo		NULL	Gelbstern	
gaj.0a	gaja		ekz_20	fröhlich	
gaj.0a	gaja		ekz_20	heiter	
gaj.0a	gaja		ekz_20	lustig	
gaj.0a.gajiga	gaja	2	ekz_20	fröhlich	
gaj.0a.gajiga	gaja	2	ekz_20	heiter	
gaj.0a.gajiga	gaja	2	ekz_20	lustig	
gaj.0a.sente	gaja	1	ekz_20	fröhlich	
gaj.0a.sente	gaja	1	ekz_20	heiter	
gaj.0a.sente	gaja	1	ekz_20	lustig	
gaj.0i	gaji		NULL	fröhlich sein	
gaj.0i	gaji		NULL	heiter sein	
gaj.0i	gaji		NULL	freuen	sich freuen
gaj.0iga	gajiga		NULL	erheiternd	
gaj.0iga	gajiga		NULL	aufheiternd	
gaj.0igi	gajigi		NULL	erheitern	
gaj.0igi	gajigi		NULL	aufheitern	
gaj.G0o	Gajo		NULL	Gaius	
