#mrk	kap	num	dos	ind	trd
h.0	ho		oa_7	NULL	NULL
h.0.konsonanto	ho		oa_7	NULL	NULL
ha.0	ha		akkor_de	ha	
ha.0	ha		uv_H	ha	
ha.0	ha		akkor_de	huch	
ha.0	ha		uv_H	huch	
ha.0	ha		akkor_de	ach	
ha.0	ha		uv_H	ach	
ha.0.KOMUNE	ha		akkor_de	ha	
ha.0.KOMUNE	ha		uv_H	ha	
ha.0.KOMUNE	ha		akkor_de	huch	
ha.0.KOMUNE	ha		uv_H	huch	
ha.0.KOMUNE	ha		akkor_de	ach	
ha.0.KOMUNE	ha		uv_H	ach	
ha.00	ha ha		NULL	NULL	NULL
ha.00.KOMUNE	ha ha	2	NULL	NULL	NULL
ha.00.emfaze	ha ha	1	NULL	NULL	NULL
habsburg.0oj	Habsburgoj		NULL	NULL	NULL
habsburg.0oj.dinastio	Habsburgoj		NULL	Habsburg	
haciend.0o	haciendo		NULL	NULL	NULL
haciend.0o.AGR	haciendo		NULL	NULL	NULL
hacx.0i	haĉi		NULL	NULL	NULL
hacx.0i.BELA	haĉi	1	NULL	schraffieren	
hacx.0i.BELA	haĉi	1	NULL	stricheln	
hacx.0i.MED	haĉi	2	NULL	NULL	NULL
hades.0o	Hadeso		NULL	Hades	
hades.0o.MIT	Hadeso		NULL	Hades	
hadis.0o	hadiso		NULL	Hadith	
hadis.0o	hadito		NULL	Hadith	
hadis.0o.ISL	hadiso		NULL	Hadith	
hadis.0o.ISL	hadito		NULL	Hadith	
hadrian.0o	Hadriano		NULL	Hadrian	
hadron.0o	hadrono		NULL	Hadron	
hafni.0o	hafnio		NULL	Hafnium	
hafni.0o.KEM	hafnio		NULL	Hafnium	
hag.H0o	Hago		NULL	Den Haag	
hagad.0o	Hagado		NULL	NULL	NULL
hagad.0o.JUD	Hagado		NULL	NULL	NULL
hagiografi.0o	hagiografio		NULL	Hagiographie	
hagx.0o	haĝo		NULL	Haddsch	
hagx.0o.ISL	haĝo		NULL	Haddsch	
hagx.0ulo	haĝulo		NULL	Haddschi	
hagx.0ulo	haĝulo		NULL	Hadschi	
hagx.0ulo	haĝulo		NULL	Hadji	
hagx.0ulo	haĝulo		NULL	Hajji	
hagx.0ulo.ISL	haĝulo		NULL	Haddschi	
hagx.0ulo.ISL	haĝulo		NULL	Hadschi	
hagx.0ulo.ISL	haĝulo		NULL	Hadji	
hagx.0ulo.ISL	haĝulo		NULL	Hajji	
haiti.0o	Haitio		NULL	NULL	NULL
haiti.0o.sxtato	Haitio		NULL	Haiti	
hajderabad.0o	Hajderabado		NULL	Hyderabad	
hajderabad.0o.barata	Hajderabado	1	NULL	Hyderabad	
hajderabad.0o.pakistana	Hajderabado	2	NULL	Hyderabad	
hajduk.0o	hajduko		NULL	NULL	NULL
hajduk.0o.MIL	hajduko		NULL	NULL	NULL
hajfong.0o	Hajfongo		NULL	NULL	NULL
hajfong.0o.havenurbo	Hajfongo		NULL	Haiphong	
hajk.0o	hajko		NULL	Haiku	
hajl.0ero	hajlero		NULL	Hagelkorn	
hajl.0eto0negxo	hajleto		NULL	Eiskorn	
hajl.0eto0negxo	hajlneĝo		NULL	Eiskorn	
hajl.0i	hajli		NULL	hageln	
hajl.0o	hajlo		NULL	Hagel	
hak.0ado	hakado		NULL	Hacken	
hak.0ado.KOMUNE	hakado		NULL	Hacken	
hak.0i	haki		ekz_34	NULL	NULL
hak.0i.difekti	haki	3	ekz_34	NULL	NULL
hak.0i.maldelikate	haki	2	ekz_34	NULL	NULL
hak.0i.trancxi	haki	1	ekz_34	hacken	
hak.0ilo	hakilo		uv_H	NULL	NULL
hak.0ilo.diversforma	hakilo	2	uv_H	NULL	NULL
hak.0ilo.klingo	hakilo	1	uv_H	Axt	
hak.0ilo.klingo	hakilo	1	uv_H	Beil	
hak.0o	hako		NULL	Schlag	(Axt-)Schlag
hak.0o.KOMUNE	hako		NULL	Schlag	(Axt-)Schlag
hak.batal0ilo	batalhakilo		NULL	NULL	NULL
hak.batal0ilo.ARM	batalhakilo		NULL	NULL	NULL
hak.brik0ilo	brikhakilo		NULL	NULL	NULL
hak.brik0ilo.KOMUNE	brikhakilo		NULL	NULL	NULL
hak.cxirkaux0i	ĉirkaŭhaki		NULL	NULL	NULL
hak.cxirkaux0i.KOMUNE	ĉirkaŭhaki		NULL	NULL	NULL
hak.de0i	dehaki		NULL	NULL	NULL
hak.de0i.KOMUNE	dehaki		NULL	NULL	NULL
hak.ligno0isto	lignohakisto		NULL	Holzfäller	
hak.ligno0isto	arbohakisto		NULL	Holzfäller	
hakam.0o	hakamo		NULL	NULL	NULL
hakam.0o.TEKS	hakamo		NULL	NULL	NULL
hal.0o	halo		NULL	Halle	
hal.0o.cxambrego	halo	2	NULL	Halle	
hal.0o.konstruajxo	halo	1	NULL	Halle	
hal.enir0o	enirhalo		NULL	NULL	NULL
hal.enir0o.ARKI	enirhalo		NULL	NULL	NULL
hal.fest0o	festhalo		NULL	NULL	NULL
hal.fest0o.ARKI	festhalo		NULL	NULL	NULL
hal.sport0o	sporthalo		NULL	NULL	NULL
hal.sport0o.ARKI	sporthalo		NULL	NULL	NULL
haladz.0a	haladza		NULL	verräuchert	
haladz.0a	haladza		NULL	miefig	
haladz.0a	haladza		NULL	muffig	
haladz.0i	haladzi		NULL	ausdünsten	
haladz.0i	haladzi		NULL	qualmen	
haladz.0i	haladzi		NULL	miefen	
haladz.0o	haladzo		NULL	Ausdünstung	
haladz.0o	haladzo		NULL	Qualm	
haladz.0o	haladzo		NULL	Luft	schlechte Luft
haladz.0o	haladzo		NULL	Mief	
halahx.0o	Halaĥo		NULL	NULL	NULL
halahx.0o.JUD	Halaĥo		NULL	NULL	NULL
halal.0a	halala		NULL	halal	
halal.0a.ISL	halala		NULL	halal	
halangx.0o	halanĝo		NULL	NULL	NULL
halangx.0o.KOMUNE	halanĝo		NULL	NULL	NULL
haleba.0o	halebardo		oa_2	Hellebarde	
halelu.0	haleluja		NULL	halleluja	
halep.0o	Halepo		NULL	Aleppo	
halep.0o	Alepo		NULL	Aleppo	
haliaet.0o	haliaeto		NULL	Seeadler	
halifaks.0o	Halifakso		NULL	Halifax	
haliot.0o	halioto		NULL	Seeohren	
haliot.0o	halioto		NULL	Abalone	
haliot.0o.ZOO	halioto		NULL	Seeohren	
haliot.0o.ZOO	halioto		NULL	Abalone	
halo.0o	haloo		NULL	NULL	NULL
halo.0o.KOMUNE	haloo		NULL	NULL	NULL
halo.kontraux0ilo	kontraŭhaloilo		NULL	NULL	NULL
halo.kontraux0ilo.FOT	kontraŭhaloilo		NULL	NULL	NULL
haloge.0o	halogeno		NULL	Halogen	
haloge.0o	halogeno		NULL	Salzbildner	
haloven.0o	Haloveno		NULL	Halloween	
haloven.0o	Halovino		NULL	Halloween	
haloven.0o.KAL	Haloveno		NULL	Halloween	
haloven.0o.KAL	Halovino		NULL	Halloween	
halt.0	halt!		NULL	halt!	
halt.0	halt!		NULL	stopp!	
halt.0.haltu	halt!		NULL	halt!	
halt.0.haltu	halt!		NULL	stopp!	
halt.0adi	haltadi		NULL	Halten	
halt.0adi	haltadi		NULL	Stehen	
halt.0adi.KOMUNE	haltadi		NULL	Halten	
halt.0adi.KOMUNE	haltadi		NULL	Stehen	
halt.0ejo	haltejo		NULL	Haltestelle	
halt.0ejo	haltejo		NULL	Haltepunkt	
halt.0ejo	haltejo		NULL	Halteplatz	
halt.0ejo.KOMUNE	haltejo		NULL	Haltestelle	
halt.0ejo.KOMUNE	haltejo		NULL	Haltepunkt	
halt.0ejo.KOMUNE	haltejo		NULL	Halteplatz	
halt.0i	halti		NULL	halten	(an)halten
halt.0i	halti		NULL	anhalten	
halt.0i.KOMUNE	halti		NULL	halten	(an)halten
halt.0i.KOMUNE	halti		NULL	anhalten	
halt.0igi	haltigi		NULL	anhalten	(jmd.) anhalten
halt.0igi	haltigi		NULL	stoppen	(jmd.) stoppen
halt.0igi	haltigi		NULL	unterbrechen	(jmd.) unterbrechen
halt.0igi.KOMUNE	haltigi	1	NULL	anhalten	(jmd.) anhalten
halt.0igi.KOMUNE	haltigi	1	NULL	stoppen	(jmd.) stoppen
halt.0igi.KOMUNE	haltigi	1	NULL	unterbrechen	(jmd.) unterbrechen
halt.0igi.senmovigi	haltigi	2	NULL	anhalten	(jmd.) anhalten
halt.0igi.senmovigi	haltigi	2	NULL	stoppen	(jmd.) stoppen
halt.0igi.senmovigi	haltigi	2	NULL	unterbrechen	(jmd.) unterbrechen
halt.0igilo	haltigilo		NULL	Bremse	
halt.0igilo.KOMUNE	haltigilo	1	NULL	Bremse	
halt.0o	halto		NULL	Halten	
halt.0o	halto		NULL	Stoppen	
halt.0o.KOMUNE	halto		NULL	Halten	
halt.0o.KOMUNE	halto		NULL	Stoppen	
halt.antaux0igi	antaŭhaltigi		NULL	verhüten	
