#mrk	kap	num	dos	ind	trd
i.0	-i		NULL	-ien	-ien (Suffix für Land)
i.0	-i		NULL	-ei	-ei (Suffix für Land)
i.0	-i		NULL	-en	-en (Suffix für Land)
i.0.sufikso	-i		NULL	-ien	-ien (Suffix für Land)
i.0.sufikso	-i		NULL	-ei	-ei (Suffix für Land)
i.0.sufikso	-i		NULL	-en	-en (Suffix für Land)
i1.0	-i		NULL	NULL	NULL
i1.0.finajxo	-i		NULL	-en	-en (Infinitiv)
i2.0	i		gra_fr	NULL	NULL
i2.0	i		gra_en	NULL	NULL
i2.0	i		gra_de	NULL	NULL
i2.0	i		gra_ru	NULL	NULL
i2.0	i		gra_pl	NULL	NULL
i2.0	i		ekz_7	NULL	NULL
i2.0	i		uv_I	NULL	NULL
i2.0	i		oa_7	NULL	NULL
i2.0.vokalo	i		gra_fr	NULL	NULL
i2.0.vokalo	i		gra_en	NULL	NULL
i2.0.vokalo	i		gra_de	NULL	NULL
i2.0.vokalo	i		gra_ru	NULL	NULL
i2.0.vokalo	i		gra_pl	NULL	NULL
i2.0.vokalo	i		ekz_7	NULL	NULL
i2.0.vokalo	i		uv_I	NULL	NULL
i2.0.vokalo	i		oa_7	NULL	NULL
i2.0_greka	i greka		NULL	NULL	NULL
ia.0	ia		ekz_28	irgendein	
ia.0	ia		ekz_30	irgendein	
ia.0	ia		uv_I	irgendein	
ia.0	ia		akkor_en	irgendein	
ia.sen0	sen ia		NULL	ein	ohne einen
ia.sen0ecxplejmalgranda	sen ia eĉ plej malgranda		NULL	gering	ohne den geringsten...
ia1.0	ia!		NULL	iah	
ia1.0.SON	ia!		NULL	iah	
ia1.0i	iai		NULL	iahen	
ia1.0i.SON	iai		NULL	iahen	
ia1.0o	iao		NULL	Iah-Schrei	
ia1.0o.SON	iao		NULL	Iah-Schrei	
ial.0	ial		ekz_30	Grund	aus irgendeinem Grund
ial.0	ial		uv_I	Grund	aus irgendeinem Grund
ial.0	ial		akkor_en	Grund	aus irgendeinem Grund
iam.0	iam		ekz_28	irgendwann	
iam.0	iam		ekz_30	irgendwann	
iam.0	iam		uv_I	irgendwann	
iam.0	iam		akkor_en	irgendwann	
iam.0	iam		ekz_28	einst	
iam.0	iam		ekz_30	einst	
iam.0	iam		uv_I	einst	
iam.0	iam		akkor_en	einst	
iam.0	iam		ekz_28	irgendwann	
iam.0	iam		ekz_30	irgendwann	
iam.0	iam		uv_I	irgendwann	
iam.0	iam		akkor_en	irgendwann	
iam.0a	iama		NULL	einstig	
iam.0a	iama		NULL	gewesen	
iam.kelk0	kelkiam		NULL	gelegentlich	
iam.kelk0	kelkiam		NULL	ab und zu	
ibad.0o	Ibadismo		NULL	NULL	NULL
ibad.0o.ISL	Ibadismo		NULL	NULL	NULL
ibadan.0o	Ibadano		NULL	Ibadan	
ibeks.0o	ibekso		NULL	NULL	NULL
ibeks.0o.alpa	ibekso		NULL	Steinbock	
ibeks.0o.alpa	ibekso		NULL	Alpensteinbock	
iber.0o	ibero		NULL	Iberer	
ibis.0o	ibiso		NULL	Ibis	
ibised.0oj	ibisedoj		NULL	Ibisse	Ibisse (Familie)
icx.0	-iĉ		NULL	NULL	NULL
icx.0.neoficiala	-iĉ		NULL	NULL	NULL
icx.0a	iĉa		NULL	männlich	
icx.0a.BIO	iĉa		NULL	männlich	
icx.0o	iĉo		NULL	Mann	
icx.0o	iĉo		NULL	Männchen	
icx.0o.BIO	iĉo		NULL	Mann	
icx.0o.BIO	iĉo		NULL	Männchen	
id.0	-id		ekz_36	NULL	NULL
id.0aro	idaro		NULL	NULL	NULL
id.0aro.FIG	idaro	3	NULL	NULL	NULL
id.0aro.posteuloj	idaro	2	NULL	Nachkommen	
id.0aro.praidoj	idaro	1	NULL	Geschlecht	Geschlecht (Nachkommen)
id.0o	ido		NULL	NULL	NULL
id.0o.BIO	ido	1	NULL	NULL	NULL
id.0o.FIG	ido	4	NULL	NULL	NULL
id.0o.GEN	ido	2	NULL	Baby	
id.0o.GEN	ido	2	NULL	Kind	
id.0o.GEN	ido	2	NULL	Sprössling	
id.0o.pranepo	ido	3	NULL	Nachkomme	
id.pra0o	praido		NULL	Nachkomme	
id1.0isto	idisto		NULL	Idist	
id1.0isto.LIN	idisto		NULL	Idist	
id1.0o	Ido		NULL	Ido	
id1.0o.LIN	Ido		NULL	Ido	
idah.0o	Idaho		NULL	NULL	NULL
idah.0o.GEOG	Idaho		NULL	NULL	NULL
ide.0a	idea		NULL	ideell	
ide.0a.principa	idea	2	NULL	ideell	
ide.0aro	idearo		NULL	Ideologie	
ide.0aro.FIL	idearo		NULL	Ideologie	
ide.0ismo	ideismo		NULL	Idealismus	
ide.0ismo.FIL	ideismo		NULL	Idealismus	
ide.0isto	ideisto		NULL	Idealist	
ide.0isto.FIL	ideisto		NULL	Idealist	
ide.0o	ideo		antparol	Ahnung	
ide.0o	ideo		uv_	Ahnung	
ide.0o	ideo		antparol	Vorstellung	
ide.0o	ideo		uv_	Vorstellung	
ide.0o	ideo		antparol	Idee	
ide.0o	ideo		uv_	Idee	
ide.0o.principo	ideo	2	antparol	Ahnung	
ide.0o.principo	ideo	2	uv_	Ahnung	
ide.0o.principo	ideo	2	antparol	Vorstellung	
ide.0o.principo	ideo	2	uv_	Vorstellung	
ide.0o.principo	ideo	2	antparol	Idee	
ide.0o.principo	ideo	2	uv_	Idee	
ide.fiksa0o	fiksa ideo		NULL	NULL	NULL
ide.fiksa0o.PSI	fiksa ideo		NULL	NULL	NULL
ide.interna_0o	interna ideo		NULL	innere Idee	
ide.interna_0o.ESP	interna ideo		NULL	innere Idee	
ide.sam0ano	samideano		NULL	Gleichgesinnter	
ide.sam0ano.ESP	samideano	2	NULL	Gleichgesinnter	
ide.sam0ano.gxenerale	samideano	1	NULL	Gleichgesinnter	
ideal.0a	ideala		NULL	ideal	
