#mrk	kap	num	dos	ind	trd
k.0	ko		NULL	NULL	NULL
k.0.konsonanto	ko		NULL	NULL	NULL
kab.0o	kabo		NULL	Kap	
kab.0o	kabo		NULL	Vorgebirge	
kab.0o.GEOG	kabo		NULL	Kap	
kab.0o.GEOG	kabo		NULL	Vorgebirge	
kabal.0o	Kabalo		oa_1	Kabbala	
kabal.k0isto	kabalisto		NULL	NULL	NULL
kabal.k0o	kabalo		NULL	NULL	NULL
kabal.k0o.Kabalo	kabalo	2	NULL	NULL	NULL
kabal.k0o.doktrino	kabalo	1	NULL	NULL	NULL
kabal.k0o.intrigo	kabalo	3	NULL	NULL	NULL
kaban.0o	kabano		oa_2	Hütte	
kaban.mont0o	montkabano		NULL	Berghüüte	
kabare.0o	kabareto		NULL	Kabarett	
kabare.0o	kabaredo		NULL	Kabarett	
kabare.0o	kabareto		NULL	Kleinkunstbühne	
kabare.0o	kabaredo		NULL	Kleinkunstbühne	
kabare.0o.ejo	kabareto	1	NULL	Kabarett	
kabare.0o.ejo	kabaredo	1	NULL	Kabarett	
kabare.0o.ejo	kabareto	1	NULL	Kleinkunstbühne	
kabare.0o.ejo	kabaredo	1	NULL	Kleinkunstbühne	
kabare.0o.kunveno	kabareto	2	NULL	Kabarett	
kabare.0o.kunveno	kabaredo	2	NULL	Kabarett	
kabare.0o.kunveno	kabareto	2	NULL	Kleinkunstbühne	
kabare.0o.kunveno	kabaredo	2	NULL	Kleinkunstbühne	
kabe.0i	kabei		NULL	abwenden	sich abwenden (von E-o wie Kabe)
kabe.K0	Kabe		NULL	Kabe	Kabe (Kazimierz Bein)
kabin.0o	kabino		NULL	NULL	NULL
kabin.0o.KOMUNE	kabino		NULL	NULL	NULL
kabine.0a	kabineta		NULL	NULL	NULL
kabine.0a.ARKI	kabineta	1	NULL	NULL	NULL
kabine.0a.FIG	kabineta	3	NULL	theoretisch	
kabine.0a.FIG	kabineta	3	NULL	hypothetisch	
kabine.0a.POL	kabineta	2	NULL	NULL	NULL
kabine.0o	kabineto		oa_5	Kabinett	
kabine.0o.ARKI	kabineto	1	oa_5	Kabinett	
kabine.0o.ministra	kabineto	3	oa_5	Kabinett	
kabine.0o.ministraro	kabineto	2	oa_5	Ministerkabinett	
kabine.0o.ministraro	kabineto	2	oa_5	Kabinett	
kabine.0ulo	kabinetulo		NULL	NULL	NULL
kabine.0ulo.ministra	kabinetulo	2	NULL	Kabinettsmitglied	
kabine.0ulo.pensejo	kabinetulo	1	NULL	Intelektueller	
kabl.0ero	kablero		NULL	NULL	NULL
kabl.0eto	kableto		NULL	NULL	NULL
kabl.0o	kablo		NULL	NULL	NULL
kabl.0o.dratofasko	kablo	2	NULL	Kabel	
kabl.0o.mezurunuo	kablo	4	NULL	NULL	NULL
kabl.0o.sxnurego	kablo	1	NULL	Trosse	
kabl.0o.sxnurego	kablo	1	NULL	Kabel	
kabl.0o.televidsistemo	kablo	3	NULL	NULL	NULL
kablogram.0o	kablogramo		NULL	NULL	NULL
kablogram.0o.TEL	kablogramo		NULL	NULL	NULL
kaboverd.K0o	Kaboverdo		NULL	Kap Verde	
kaboverd.K0o.GEOG	Kaboverdo		NULL	Kap Verde	
kabrio.0o	kabrioleto		oa_2	NULL	NULL
kabrio.0o.TRA	kabrioleto		oa_2	NULL	NULL
kabuk.0o	kabuko		NULL	Kabuki-Theater	
kabul.0o	Kabulo		NULL	NULL	NULL
kabul.0o.cxefurbo	Kabulo		NULL	Kabul	
kac.0o	kaco		NULL	Schwanz	Schwanz (Penis)
kac.0o	kaco		NULL	Pimmel	
kac.0o.peniso	kaco		NULL	Schwanz	Schwanz (Penis)
kac.0o.peniso	kaco		NULL	Pimmel	
kacuon.0o	kacuono		NULL	Echter Bonito	
kacuon.0o.ZOO	kacuono		NULL	Echter Bonito	
kacx.0o	kaĉo		NULL	NULL	NULL
kacx.0o.KUI	kaĉo	1	NULL	Brei	
kacx.0o.KUI	kaĉo	1	NULL	Mus	
kacx.0o.konfuzo	kaĉo	2	NULL	NULL	NULL
kacx.0o.maso	kaĉo	3	NULL	NULL	NULL
kacx.maiz0o	maizkaĉo		NULL	Maisbrei	
kacx.maiz0o	maizkaĉo		NULL	Polenta	
kacx.maiz0o.KUI	maizkaĉo		NULL	Maisbrei	
kacx.maiz0o.KUI	maizkaĉo		NULL	Polenta	
kacxal.0o	kaĉaloto		NULL	Pottwal	
kadavr.0ajxo	kadavraĵo		NULL	Aas	
kadavr.0ajxo	kadavraĵo		NULL	Kadaver	
