#mrk	kap	num	dos	ind	trd
l.0	lo		oa_7	NULL	NULL
l.0.konsonanto	lo	1	oa_7	NULL	NULL
l.0.telefone	lo	2	oa_7	NULL	NULL
la.0	la		gra_fr	der	
la.0	la		gra_en	der	
la.0	la		gra_de	der	
la.0	la		gra_ru	der	
la.0	la		gra_pl	der	
la.0	la		ekz_5	der	
la.0	la		gra_fr	die	
la.0	la		gra_en	die	
la.0	la		gra_de	die	
la.0	la		gra_ru	die	
la.0	la		gra_pl	die	
la.0	la		ekz_5	die	
la.0	la		gra_fr	das	
la.0	la		gra_en	das	
la.0	la		gra_de	das	
la.0	la		gra_ru	das	
la.0	la		gra_pl	das	
la.0	la		ekz_5	das	
la.0	la		gra_fr	des	
la.0	la		gra_en	des	
la.0	la		gra_de	des	
la.0	la		gra_ru	des	
la.0	la		gra_pl	des	
la.0	la		ekz_5	des	
la.0	la		gra_fr	dem	
la.0	la		gra_en	dem	
la.0	la		gra_de	dem	
la.0	la		gra_ru	dem	
la.0	la		gra_pl	dem	
la.0	la		ekz_5	dem	
la.0	la		gra_fr	den	
la.0	la		gra_en	den	
la.0	la		gra_de	den	
la.0	la		gra_ru	den	
la.0	la		gra_pl	den	
la.0	la		ekz_5	den	
labi.0o	labio		NULL	Labium	
labiac.0oj	labiacoj		NULL	Lippenblütler	Lippenblütler (Familie)
labial.0o	labialo		NULL	Labial	
labial.0o	labialo		NULL	Labiallaut	
labial.0o	labialo		NULL	Lippenlaut	
labil.0a	labila		NULL	NULL	NULL
labil.0a.malstabila	labila		NULL	labil	
labil.0a.malstabila	labila		NULL	unbeständig	
labiri.0o	labirinto		NULL	Labyrinth	
labiri.0o	labirinto		NULL	Irrgarten	
labor.0ajxo	laboraĵo		NULL	Arbeit	Arbeit (Werkstück)
labor.0ajxo	laboritaĵo		NULL	Arbeit	Arbeit (Werkstück)
labor.0ajxo	laboraĵo		NULL	Werkstück	
labor.0ajxo	laboritaĵo		NULL	Werkstück	
labor.0ajxo	laboraĵo		NULL	Produkt	
labor.0ajxo	laboritaĵo		NULL	Produkt	
labor.0ajxo.EKON	laboraĵo		NULL	Arbeit	Arbeit (Werkstück)
labor.0ajxo.EKON	laboritaĵo		NULL	Arbeit	Arbeit (Werkstück)
labor.0ajxo.EKON	laboraĵo		NULL	Werkstück	
labor.0ajxo.EKON	laboritaĵo		NULL	Werkstück	
labor.0ajxo.EKON	laboraĵo		NULL	Produkt	
labor.0ajxo.EKON	laboritaĵo		NULL	Produkt	
labor.0antaro	laborantaro		NULL	Arbeiterschaft	
labor.0anto	laboranto		NULL	Arbeiter	
labor.0donanto	labordonanto		NULL	Arbeitgeber	
labor.0donanto.EKON	labordonanto		NULL	Arbeitgeber	
labor.0ema	laborema		NULL	arbeitsam	
labor.0ema	laborema		NULL	fleißig	
labor.0ema.KOMUNE	laborema		NULL	arbeitsam	
labor.0ema.KOMUNE	laborema		NULL	fleißig	
labor.0estro	laborestro		NULL	Vorarbeiter	
labor.0estro	laborestro		NULL	Aufseher	
labor.0estro.EKON	laborestro		NULL	Vorarbeiter	
labor.0estro.EKON	laborestro		NULL	Aufseher	
labor.0isto	laboristo		NULL	NULL	NULL
labor.0isto	laborulo		NULL	NULL	NULL
labor.0isto.proleto	laboristo		NULL	Arbeiter	
labor.0isto.proleto	laborulo		NULL	Arbeiter	
labor.0isto.proleto	laboristo		NULL	Werktätiger	
labor.0isto.proleto	laborulo		NULL	Werktätiger	
labor.0kapabla	laborkapabla		NULL	arbeitsfähig	
labor.0loko	laborloko		NULL	Stelle	Stelle (Arbeit)
labor.0loko	laborloko		NULL	Arbeitsstelle	
labor.0loko.EKON	laborloko		NULL	Stelle	Stelle (Arbeit)
labor.0loko.EKON	laborloko		NULL	Arbeitsstelle	
labor.0o	laboro		NULL	NULL	NULL
labor.0o.FIZ	laboro	2	NULL	Arbeit	
labor.0o.KOMUNE	laboro	1	NULL	Arbeit	
labor.0o.KOMUNE	laboro	1	NULL	Arbeiten	
labor.0o.KOMUNE	laboro	1	NULL	Werken	
labor.cerb0o	cerbolaboro		NULL	Kopfarbeit	
labor.cerb0o	cerba laboro		NULL	Kopfarbeit	
labor.cerb0o.pensado	cerbolaboro		NULL	Kopfarbeit	
labor.cerb0o.pensado	cerba laboro		NULL	Kopfarbeit	
labor.el0i	ellabori		NULL	ausarbeiten	
labor.el0i	ellabori		NULL	erarbeiten	
labor.el0i.KOMUNE	ellabori		NULL	ausarbeiten	
labor.el0i.KOMUNE	ellabori		NULL	erarbeiten	
labor.for0i	forlabori		NULL	abarbeiten	
labor.kamp0isto	kamplaboristo		NULL	Landarbeiter	
labor.kamp0isto	kamplaboristo		NULL	Arbeiter	landwirtschaftlicher Arbeiter
labor.kamp0isto.EKON	kamplaboristo		NULL	Landarbeiter	
labor.kamp0isto.EKON	kamplaboristo		NULL	Arbeiter	landwirtschaftlicher Arbeiter
labor.konstru0isto	konstrulaboristo		NULL	Bauarbeiter	
labor.konstru0isto.KON	konstrulaboristo		NULL	Bauarbeiter	
labor.konstru0o	konstrulaboro		NULL	Bauarbeit	
labor.konstru0o.KON	konstrulaboro		NULL	Bauarbeit	
labor.krom0o	kromlaboro		NULL	NULL	NULL
labor.krom0o.alia	kromlaboro	1	NULL	Nebentätigkeit	
labor.krom0o.plusa	kromlaboro	2	NULL	NULL	NULL
labor.kun0i	kunlabori		NULL	zusammenarbeiten	
labor.kun0i	kunlabori		NULL	mitarbeiten	
labor.kun0i.KOMUNE	kunlabori		NULL	zusammenarbeiten	
labor.kun0i.KOMUNE	kunlabori		NULL	mitarbeiten	
labor.kun0o	kunlaboro		NULL	Zusammenarbeit	
labor.kun0o	kunlaboro		NULL	Mitarbeit	
labor.kun0o.KOMUNE	kunlaboro		NULL	Zusammenarbeit	
labor.kun0o.KOMUNE	kunlaboro		NULL	Mitarbeit	
labor.ligno0isto	lignolaboristo		NULL	Waldarbeiter	
labor.ligno0isto.EKON	lignolaboristo		NULL	Waldarbeiter	
labor.mal0ema	mallaborema		NULL	faul	
labor.mal0ema.KOMUNE	mallaborema		NULL	faul	
labor.man0isto	manlaboristo		NULL	Handwerker	
labor.man0isto.EKON	manlaboristo		NULL	Handwerker	
labor.man0o	manlaboro		NULL	Handarbeit	
labor.man0o	manlaboro		NULL	Handwerk	
labor.man0o	manlaboro		NULL	Basteln	
labor.man0o.EKON	manlaboro		NULL	Handarbeit	
labor.man0o.EKON	manlaboro		NULL	Handwerk	
labor.man0o.EKON	manlaboro		NULL	Basteln	
labor.per0i	perlabori		uv_L	erarbeiten	sich erarbeiten
labor.per0i	perlabori		akkor_en	erarbeiten	sich erarbeiten
labor.per0i	laborakiri		uv_L	erarbeiten	sich erarbeiten
labor.per0i	laborakiri		akkor_en	erarbeiten	sich erarbeiten
labor.per0i	perlabori		uv_L	verdienen	sich verdienen
labor.per0i	perlabori		akkor_en	verdienen	sich verdienen
labor.per0i	laborakiri		uv_L	verdienen	sich verdienen
labor.per0i	laborakiri		akkor_en	verdienen	sich verdienen
labor.per0i.EKON	perlabori		uv_L	erarbeiten	sich erarbeiten
labor.per0i.EKON	perlabori		akkor_en	erarbeiten	sich erarbeiten
labor.per0i.EKON	laborakiri		uv_L	erarbeiten	sich erarbeiten
labor.per0i.EKON	laborakiri		akkor_en	erarbeiten	sich erarbeiten
labor.per0i.EKON	perlabori		uv_L	verdienen	sich verdienen
labor.per0i.EKON	perlabori		akkor_en	verdienen	sich verdienen
labor.per0i.EKON	laborakiri		uv_L	verdienen	sich verdienen
labor.per0i.EKON	laborakiri		akkor_en	verdienen	sich verdienen
labor.peza0o	peza laboro		NULL	Arbeit	harte Arbeit
