#kap	mrk	lng	trd	ind
ho	h.0	NULL	NULL	NULL
ho	h.0.konsonanto	fr		heure
ho	h.0.konsonanto	fr	H (forme de)	H
ho	h.0.konsonanto	fr		hydrogène
ho	h.0.konsonanto	fr		Henry
ha	ha.0	fr		ha
ha	ha.0	fr		ah
ha	ha.0	en		ha
ha	ha.0	en		oh
ha	ha.0	en		alas
ha	ha.0	en		ah
ha	ha.0	de		ach
ha	ha.0	de		huch
ha	ha.0	de		ha
ha	ha.0.KOMUNE	fr		ha
ha	ha.0.KOMUNE	fr		ah
ha	ha.0.KOMUNE	en		ha
ha	ha.0.KOMUNE	en		oh
ha	ha.0.KOMUNE	en		alas
ha	ha.0.KOMUNE	en		ah
ha	ha.0.KOMUNE	de		ach
ha	ha.0.KOMUNE	de		huch
ha	ha.0.KOMUNE	de		ha
ha ha	ha.00	fr		ha ha!
ha ha	ha.00.KOMUNE	fr		ha ha!
ha ha	ha.00.emfaze	fr		ha ha!
Habsburgoj	habsburg.0oj	NULL	NULL	NULL
Habsburgoj	habsburg.0oj.dinastio	fr		Maison de Habsbourg
Habsburgoj	habsburg.0oj.dinastio	en		House of Habsburg
Habsburgoj	habsburg.0oj.dinastio	de		Habsburg
haciendo	haciend.0o	fr		hacienda
haciendo	haciend.0o.AGR	fr		hacienda
haĉi	hacx.0i	NULL	NULL	NULL
haĉi	hacx.0i.BELA	de		schraffieren
haĉi	hacx.0i.BELA	fr		hachurer
haĉi	hacx.0i.BELA	en		hatch (drawing)
haĉi	hacx.0i.BELA	de		stricheln
haĉi	hacx.0i.MED	NULL	NULL	NULL
Hadeso	hades.0o	fr		Hadès
Hadeso	hades.0o	en		Hades
Hadeso	hades.0o	de		Hades
Hadeso	hades.0o.MIT	fr		Hadès
Hadeso	hades.0o.MIT	en		Hades
Hadeso	hades.0o.MIT	de		Hades
hadito	hadis.0o	fr		hadith
hadiso	hadis.0o	fr		hadith
hadito	hadis.0o	en		hadith
hadiso	hadis.0o	en		hadith
hadito	hadis.0o	de		Hadith
hadiso	hadis.0o	de		Hadith
hadito	hadis.0o.ISL	fr		hadith
hadiso	hadis.0o.ISL	fr		hadith
hadito	hadis.0o.ISL	en		hadith
hadiso	hadis.0o.ISL	en		hadith
hadito	hadis.0o.ISL	de		Hadith
hadiso	hadis.0o.ISL	de		Hadith
Hadriano	hadrian.0o	fr		Hadrien
Hadriano	hadrian.0o	en		Hadrian
Hadriano	hadrian.0o	de		Hadrian
hadrono	hadron.0o	fr		hadron
hadrono	hadron.0o	en		hadron
hadrono	hadron.0o	de		Hadron
hafnio	hafni.0o	fr		hafnium
hafnio	hafni.0o	en		hafnium
hafnio	hafni.0o	de		Hafnium
hafnio	hafni.0o.KEM	en		hafnium
