#kap	mrk	lng	trd	ind
-i	i.0	fr	-istan (pseudosuffixe de pays)	-istan
-i	i.0	fr	-ie (pseudosuffixe de pays)	-ie
-i	i.0	de	-en (Suffix für Land)	-en
-i	i.0	de	-ei (Suffix für Land)	-ei
-i	i.0	de	-ien (Suffix für Land)	-ien
-i	i.0.sufikso	fr	-istan (pseudosuffixe de pays)	-istan
-i	i.0.sufikso	fr	-ie (pseudosuffixe de pays)	-ie
-i	i.0.sufikso	de	-en (Suffix für Land)	-en
-i	i.0.sufikso	de	-ei (Suffix für Land)	-ei
-i	i.0.sufikso	de	-ien (Suffix für Land)	-ien
-i	i1.0	fr	(infinitif de verbes)	
-i	i1.0.finajxo	de	-en (Infinitiv)	-en
-i	i1.0.finajxo	fr	(infinitif de verbes)	
i	i2.0	NULL	NULL	NULL
i	i2.0.vokalo	fr	1 (chiffre romain)	1
i	i2.0.vokalo	fr	i (nombre imaginaire)	i
i	i2.0.vokalo	fr	I (forme de)	I
i	i2.0.vokalo	fr		iode
i	i2.0.vokalo	fr	1 (chiffre romain)	1
i greka	i2.0_greka	fr		i grec
ia	ia.0	fr	un (art. indéf.)	un
ia	ia.0	fr	d'une certaine sorte	sorte
ia	ia.0	fr	une sorte de	sorte
ia	ia.0	de		irgendein
sen ia	ia.sen0	fr	sans aucun	aucun
sen ia	ia.sen0	de	ohne einen	ein
sen ia eĉ plej malgranda	ia.sen0ecxplejmalgranda	fr	sans... d'aucune sorte	sorte
sen ia eĉ plej malgranda	ia.sen0ecxplejmalgranda	fr	sans le plus petit...	petit
sen ia eĉ plej malgranda	ia.sen0ecxplejmalgranda	fr	sans le moindre...	moindre
sen ia eĉ plej malgranda	ia.sen0ecxplejmalgranda	de	ohne den geringsten...	gering
ia!	ia1.0	fr		hi-han !
ia!	ia1.0	de		iah
ia!	ia1.0.SON	fr		hi-han !
ia!	ia1.0.SON	de		iah
iai	ia1.0i	fr		braire
iai	ia1.0i	de		iahen
iai	ia1.0i.SON	fr		braire
iai	ia1.0i.SON	de		iahen
iao	ia1.0o	fr		braiment
iao	ia1.0o	de		Iah-Schrei
iao	ia1.0o.SON	fr		braiment
iao	ia1.0o.SON	de		Iah-Schrei
ial	ial.0	en		for some reason
ial	ial.0	de	aus irgendeinem Grund	Grund
ial	ial.0	fr	pour une certaine raison	raison
iam	iam.0	fr		jadis
iam	iam.0	fr	un jour (loc. adv.)	jour
iam	iam.0	fr	jamais (un jour)	jamais
iam	iam.0	de		irgendwann
iam	iam.0	de		einst
iam	iam.0	de		irgendwann
iama	iam.0a	fr	du passé	passé
iama	iam.0a	fr	ancien (du passé)	ancien
iama	iam.0a	de		gewesen
iama	iam.0a	de		einstig
kelkiam	iam.kelk0	de		ab und zu
kelkiam	iam.kelk0	de		gelegentlich
Ibadismo	ibad.0o	fr		Ibadisme
Ibadismo	ibad.0o.ISL	fr		Ibadisme
Ibadano	ibadan.0o	fr		Ibadan
Ibadano	ibadan.0o	en		Ibadan
Ibadano	ibadan.0o	de		Ibadan
ibekso	ibeks.0o	NULL	NULL	NULL
ibekso	ibeks.0o.alpa	de		Alpensteinbock
ibekso	ibeks.0o.alpa	de		Steinbock
ibekso	ibeks.0o.alpa	fr		bouquetin des Alpes
ibekso	ibeks.0o.alpa	en		Alpine ibex
ibero	iber.0o	fr		ibèr
ibero	iber.0o	en		iberian
ibero	iber.0o	de		Iberer
ibiso	ibis.0o	fr		ibis
ibiso	ibis.0o	en		ibis
ibiso	ibis.0o	de		Ibis
ibisedoj	ibised.0oj	fr		threskiornithidés
ibisedoj	ibised.0oj	en		ibises
ibisedoj	ibised.0oj	de	Ibisse (Familie)	Ibisse
-iĉ	icx.0	NULL	NULL	NULL
-iĉ	icx.0.neoficiala	NULL	NULL	NULL
iĉa	icx.0a	en		male
iĉa	icx.0a	de		männlich
iĉa	icx.0a.BIO	en		male
iĉa	icx.0a.BIO	de		männlich
iĉo	icx.0o	en		male
iĉo	icx.0o	de		Männchen
iĉo	icx.0o	de		Mann
iĉo	icx.0o	fr	mâle (subst.)	mâle
iĉo	icx.0o	fr		homme
iĉo	icx.0o.BIO	en		male
iĉo	icx.0o.BIO	de		Männchen
iĉo	icx.0o.BIO	de		Mann
iĉo	icx.0o.BIO	fr	mâle (subst.)	mâle
iĉo	icx.0o.BIO	fr		homme
-id	id.0	NULL	NULL	NULL
idaro	id.0aro	fr		descendance
idaro	id.0aro	en		followers
idaro	id.0aro.FIG	fr		descendance
idaro	id.0aro.FIG	en		followers
idaro	id.0aro.posteuloj	fr		descendance
idaro	id.0aro.posteuloj	en		followers
idaro	id.0aro.posteuloj	en		descendants
idaro	id.0aro.posteuloj	de		Nachkommen
idaro	id.0aro.praidoj	fr		descendance
idaro	id.0aro.praidoj	en		followers
idaro	id.0aro.praidoj	en		lineage
idaro	id.0aro.praidoj	de	Geschlecht (Nachkommen)	Geschlecht
ido	id.0o	fr		disciple
ido	id.0o	fr		descendant
ido	id.0o	fr	petit (d'un animal)	petit
ido	id.0o	en		young
ido	id.0o	fr		rejeton
ido	id.0o	fr	héritier (disciple)	héritier
ido	id.0o.BIO	fr		disciple
ido	id.0o.BIO	fr		descendant
ido	id.0o.BIO	fr	petit (d'un animal)	petit
ido	id.0o.BIO	en		young
ido	id.0o.BIO	fr		rejeton
ido	id.0o.BIO	fr	héritier (disciple)	héritier
ido	id.0o.FIG	fr		disciple
ido	id.0o.FIG	fr		descendant
ido	id.0o.FIG	fr	petit (d'un animal)	petit
ido	id.0o.FIG	en		young
ido	id.0o.FIG	fr		rejeton
ido	id.0o.FIG	fr	héritier (disciple)	héritier
ido	id.0o.GEN	fr		disciple
ido	id.0o.GEN	fr		descendant
ido	id.0o.GEN	fr	petit (d'un animal)	petit
ido	id.0o.GEN	en		young
ido	id.0o.GEN	de		Sprössling
ido	id.0o.GEN	de		Kind
ido	id.0o.GEN	fr		rejeton
ido	id.0o.GEN	de		Baby
ido	id.0o.GEN	fr	héritier (disciple)	héritier
ido	id.0o.pranepo	fr		disciple
ido	id.0o.pranepo	fr		descendant
ido	id.0o.pranepo	fr	petit (d'un animal)	petit
ido	id.0o.pranepo	en		young
ido	id.0o.pranepo	de		Nachkomme
ido	id.0o.pranepo	fr		rejeton
ido	id.0o.pranepo	fr	héritier (disciple)	héritier
praido	id.pra0o	en		descendant
praido	id.pra0o	de		Nachkomme
idisto	id1.0isto	fr	idiste (subst.)	idiste
idisto	id1.0isto	en		Idist
idisto	id1.0isto	de		Idist
idisto	id1.0isto.LIN	fr	idiste (subst.)	idiste
idisto	id1.0isto.LIN	en		Idist
idisto	id1.0isto.LIN	de		Idist
Ido	id1.0o	fr		Ido
Ido	id1.0o	en		Ido
Ido	id1.0o	de		Ido
Ido	id1.0o.LIN	fr		Ido
Ido	id1.0o.LIN	en		Ido
Ido	id1.0o.LIN	de		Ido
Idaho	idah.0o	en		Idaho
Idaho	idah.0o	fr		Idaho
Idaho	idah.0o.GEOG	fr		Idaho
Idaho	idah.0o.GEOG	en		Idaho
idea	ide.0a	fr	idéal (relatif aux idées)	idéal
idea	ide.0a	de		ideell
idea	ide.0a.principa	fr	idéal (relatif aux idées)	idéal
idea	ide.0a.principa	de		ideell
idearo	ide.0aro	fr		idéologie
idearo	ide.0aro	de		Ideologie
idearo	ide.0aro.FIL	fr		idéologie
idearo	ide.0aro.FIL	de		Ideologie
ideismo	ide.0ismo	de		Idealismus
ideismo	ide.0ismo.FIL	de		Idealismus
ideismo	ide.0ismo.FIL	fr	idéalisme (phil.)	idéalisme
ideisto	ide.0isto	fr	idéaliste (phil.)	idéaliste
ideisto	ide.0isto	de		Idealist
ideisto	ide.0isto.FIL	fr	idéaliste (phil.)	idéaliste
ideisto	ide.0isto.FIL	de		Idealist
ideo	ide.0o	fr		idée
ideo	ide.0o	en		idea
ideo	ide.0o	de		Idee
ideo	ide.0o	de		Vorstellung
ideo	ide.0o	de		Ahnung
ideo	ide.0o.principo	fr		idée
ideo	ide.0o.principo	en		idea
ideo	ide.0o.principo	de		Idee
ideo	ide.0o.principo	de		Vorstellung
ideo	ide.0o.principo	de		Ahnung
fiksa ideo	ide.fiksa0o	fr		idée fixe
fiksa ideo	ide.fiksa0o.PSI	fr		idée fixe
interna ideo	ide.interna_0o	en		inner idea
interna ideo	ide.interna_0o	de		innere Idee
interna ideo	ide.interna_0o.ESP	en		inner idea
interna ideo	ide.interna_0o.ESP	de		innere Idee
samideano	ide.sam0ano	fr	partisan (d'un mouvement d'idées, de l'espéranto)	partisan
samideano	ide.sam0ano	de		Gleichgesinnter
samideano	ide.sam0ano.ESP	de		Gleichgesinnter
