#kap	mrk	lng	trd	ind
-j	j.0	en	ending to mark the plural in Esperanto	plural
-j	j.0	de		Pluralendung
-j	j.0	fr	marque du pluriel	pluriel
-j	j.0.GRA	de		Pluralendung
-j	j.0.GRA	fr	marque du pluriel	pluriel
-j	j.0.GRA	en	ending to mark the plural in Esperanto	plural
jo	j1.0	NULL	NULL	NULL
jo	j1.0.konsonanto	fr	j (lettre)	j
jo	j1.0.konsonanto	fr		année
jo	j1.0.konsonanto	fr		Joule
-j	j2.0	en	-y (gender-neutral suffix of endearment)	-y
-j	j2.0.sufikso	en	-y (gender-neutral suffix of endearment)	-y
ja	ja.0	fr		effectivement
ja	ja.0	fr		certes
ja	ja.0	en	after all (informal)	after all
ja	ja.0	en		decidedly
ja	ja.0	en		surely
ja	ja.0	fr	bien (effectivement)	bien
ja	ja.0	en		indeed
ja	ja.0	fr		en fait
ja	ja.0	fr	il est vrai que	vrai
ja	ja.0.interj	fr		effectivement
ja	ja.0.interj	fr		certes
ja	ja.0.interj	en	after all (informal)	after all
ja	ja.0.interj	en		decidedly
ja	ja.0.interj	en		surely
ja	ja.0.interj	fr	bien (effectivement)	bien
ja	ja.0.interj	en		indeed
ja	ja.0.interj	fr		en fait
ja	ja.0.interj	fr	il est vrai que	vrai
ja	ja.0.konj	fr		certes
ja	ja.0.konj	en	after all (informal)	after all
ja	ja.0.konj	en		decidedly
ja	ja.0.konj	en		surely
ja	ja.0.konj	fr	bien (effectivement)	bien
ja	ja.0.konj	en		indeed
ja	ja.0.konj	fr		en fait
ja	ja.0.konj	de		ja
ja	ja.0.konj	fr	il est vrai que	vrai
ja	ja.0.konj	fr		effectivement
ja	ja.0.sed	fr		certes
ja	ja.0.sed	en	after all (informal)	after all
ja	ja.0.sed	en		decidedly
ja	ja.0.sed	en		surely
ja	ja.0.sed	fr	bien (effectivement)	bien
ja	ja.0.sed	en		indeed
ja	ja.0.sed	fr		en fait
ja	ja.0.sed	de		zwar
ja	ja.0.sed	fr	il est vrai que	vrai
ja	ja.0.sed	fr		effectivement
hiacinto	jacint.0o	fr		hyacinthe
jacinto	jacint.0o	fr		hyacinthe
hiacinto	jacint.0o	de		Jacinth
jacinto	jacint.0o	de		Jacinth
hiacinto	jacint.0o	de		Hyazinth
jacinto	jacint.0o	de		Hyazinth
hiacinto	jacint.0o	en		hyacinth
jacinto	jacint.0o	en		hyacinth
hiacinto	jacint.0o.MIN	de		Jacinth
jacinto	jacint.0o.MIN	de		Jacinth
hiacinto	jacint.0o.MIN	fr		hyacinthe
jacinto	jacint.0o.MIN	fr		hyacinthe
hiacinto	jacint.0o.MIN	de		Hyazinth
jacinto	jacint.0o.MIN	de		Hyazinth
hiacinto	jacint.0o.MIN	en		hyacinth
jacinto	jacint.0o.MIN	en		hyacinth
jado	jad.0o	fr		jade
jado	jad.0o	en		jade
jado	jad.0o	de		Jade
jado	jad.0o.MIN	fr		jade
jado	jad.0o.MIN	en		jade
jado	jad.0o.MIN	de		Jade
Jafo	jaf.0o	de		Jaffa
Jafo	jaf.0o	fr		Jaffa
Jafo	jaf.0o	en		Jaffa
jaguaro	jaguar.0o	fr		jaguar
jaguaro	jaguar.0o	en		jaguar
jaguaro	jaguar.0o	de		Jaguar
jogurto	jahurt.0o	fr		yogourt
jahurto	jahurt.0o	fr		yogourt
jogurto	jahurt.0o	fr		yoghourt
jahurto	jahurt.0o	fr		yoghourt
jogurto	jahurt.0o	fr		yaourt
jahurto	jahurt.0o	fr		yaourt
jogurto	jahurt.0o	en		yogurt
jahurto	jahurt.0o	en		yogurt
jogurto	jahurt.0o	de		Joghurt
jahurto	jahurt.0o	de		Joghurt
