#kap	mrk	lng	trd	ind
lo	l.0	NULL	NULL	NULL
lo	l.0.konsonanto	fr	litre (abréviation)	litre
lo	l.0.konsonanto	fr	50 (chiffre romain)	50
lo	l.0.konsonanto	fr	L (forme de)	L
lo	l.0.telefone	NULL	NULL	NULL
la	la.0	de		des
la	la.0	de		das
la	la.0	de		die
la	la.0	de		der
la	la.0	fr		les
la	la.0	fr		la
la	la.0	fr		le
la	la.0	en		the
la	la.0	de		den
la	la.0	de		dem
labio	labi.0o	fr	corolle labiée	labiée
labio	labi.0o	de		Labium
labiacoj	labiac.0oj	de	Lippenblütler (Familie)	Lippenblütler
labialo	labial.0o	fr		labiale
labialo	labial.0o	en		labial
labialo	labial.0o	de		Lippenlaut
labialo	labial.0o	de		Labiallaut
labialo	labial.0o	de		Labial
labila	labil.0a	NULL	NULL	NULL
labila	labil.0a.malstabila	fr		instable
labila	labil.0a.malstabila	en		unstable
labila	labil.0a.malstabila	de		unbeständig
labila	labil.0a.malstabila	de		labil
labirinto	labiri.0o	fr		labyrinthe
labirinto	labiri.0o	en		maze
labirinto	labiri.0o	en		labyrinth
labirinto	labiri.0o	de		Irrgarten
labirinto	labiri.0o	de		Labyrinth
laboritaĵo	labor.0ajxo	de		Werkstück
laboraĵo	labor.0ajxo	de		Werkstück
laboritaĵo	labor.0ajxo	de	Arbeit (Werkstück)	Arbeit
laboraĵo	labor.0ajxo	de	Arbeit (Werkstück)	Arbeit
laboritaĵo	labor.0ajxo	fr		produit
laboraĵo	labor.0ajxo	fr		produit
laboritaĵo	labor.0ajxo	de		Produkt
laboraĵo	labor.0ajxo	de		Produkt
laboritaĵo	labor.0ajxo.EKON	de	Arbeit (Werkstück)	Arbeit
laboraĵo	labor.0ajxo.EKON	de	Arbeit (Werkstück)	Arbeit
laboritaĵo	labor.0ajxo.EKON	fr		produit
laboraĵo	labor.0ajxo.EKON	fr		produit
laboritaĵo	labor.0ajxo.EKON	de		Produkt
laboraĵo	labor.0ajxo.EKON	de		Produkt
laboritaĵo	labor.0ajxo.EKON	de		Werkstück
laboraĵo	labor.0ajxo.EKON	de		Werkstück
laborantaro	labor.0antaro	de		Arbeiterschaft
laborantaro	labor.0antaro	fr		employés
laborantaro	labor.0antaro	fr	effectif (ensemble des employés)	effectif
laborantaro	labor.0antaro	fr	personnel (ensemble des employés)	personnel
laboranto	labor.0anto	de		Arbeiter
labordonanto	labor.0donanto	fr		patron
labordonanto	labor.0donanto	fr		employeur
labordonanto	labor.0donanto	en		employer
labordonanto	labor.0donanto	de		Arbeitgeber
labordonanto	labor.0donanto.EKON	fr		patron
labordonanto	labor.0donanto.EKON	fr		employeur
labordonanto	labor.0donanto.EKON	en		employer
labordonanto	labor.0donanto.EKON	de		Arbeitgeber
laborema	labor.0ema	fr	travailleur (adj.)	travailleur
laborema	labor.0ema	fr	courageux (travailleur)	courageux
laborema	labor.0ema	en		sedulous
laborema	labor.0ema	en		assiduous
laborema	labor.0ema	en		industrious
laborema	labor.0ema	en		hardworking
