#kap	mrk	lng	trd	ind
mo	m.0	NULL	NULL	NULL
mo	m.0.konsonanto	fr	1000 (chiffre romain)	1000
mo	m.0.konsonanto	fr		méga
mo	m.0.konsonanto	fr		mètre
mo	m.0.konsonanto	fr		mili
mo	m.0.konsonanto	fr	m (lettre)	m
maato	maat.0o	de	Maat (Schiff)	Maat
maato	maat.0o	en	mate (ship)	mate
maato	maat.0o	fr		sous-officier de marine
maato	maat.0o.MAR	de	Maat (Schiff)	Maat
maato	maat.0o.MAR	en	mate (ship)	mate
maato	maat.0o.MAR	fr		sous-officier de marine
maco	mac.0o	NULL	NULL	NULL
maco	mac.0o.flano	de		Matze
maco	mac.0o.flano	de		Matzen
maco	mac.0o.flano	en		matzo
maco	mac.0o.flano	en		matzoh
maco	mac.0o.flano	fr		pain azyme
maco	mac.0o.pasto	NULL	NULL	NULL
maceri	macer.0i	de		auslaugen
maceri	macer.0i	de		ausziehen
maceri	macer.0i	de		einlegen
maceri	macer.0i	de		mazerieren
maceri	macer.0i	en		macerate
maceri	macer.0i	fr		macérer
maĉ	macx.0	fr		miam
maĉ	macx.0.SON	fr		miam
maĉi	macx.0i	de		kauen
maĉi	macx.0i	en		chew
maĉi	macx.0i	en		masticate
maĉi	macx.0i	fr		mâcher
maĉi	macx.0i.ANA	de		kauen
maĉi	macx.0i.ANA	en		chew
maĉi	macx.0i.ANA	en		masticate
maĉi	macx.0i.ANA	fr		mâcher
maĉi	macx.0i.FIG	de	(auf etwas) herumkauen	kauen
maĉi	macx.0i.FIG	de		kauen
maĉi	macx.0i.FIG	en		chew
maĉi	macx.0i.FIG	en		masticate
maĉi	macx.0i.FIG	fr		mâcher
krakmaĉi	macx.krak0i	de		zerbeißen
krakmaĉi	macx.krak0i	fr		croquer
krakmaĉi	macx.krak0i.ANA	de		zerbeißen
krakmaĉi	macx.krak0i.ANA	fr		croquer
remaĉi	macx.re0i	fr		remâcher
remaĉi	macx.re0i	fr		ruminer
remaĉi	macx.re0i.ANA	de	nochmals kauen	kauen
remaĉi	macx.re0i.ANA	fr		remâcher
remaĉi	macx.re0i.ANA	fr		ruminer
remaĉi	macx.re0i.FIG	de	(auf etwas) herumkauen	kauen
remaĉi	macx.re0i.FIG	de	(etwas) wiederkäuen	wiederkäuen
remaĉi	macx.re0i.FIG	de	(auf etwas) herumreiten	reiten
remaĉi	macx.re0i.FIG	de	hin und her überlegen	überlegen
remaĉi	macx.re0i.FIG	en		ruminate
remaĉi	macx.re0i.FIG	en		reflect on
remaĉi	macx.re0i.FIG	en		ponder
remaĉi	macx.re0i.FIG	fr		remâcher
remaĉi	macx.re0i.FIG	fr		ruminer
remaĉi	macx.re0i.ZOO	de		wiederkäuen
remaĉi	macx.re0i.ZOO	en		chew the cud
remaĉi	macx.re0i.ZOO	en		ruminate
remaĉi	macx.re0i.ZOO	fr		remâcher
remaĉi	macx.re0i.ZOO	fr		ruminer
remaĉuloj	macx.re0uloj	de		Wiederkäuer
remaĉuloj	macx.re0uloj	en		ruminants
remaĉuloj	macx.re0uloj	fr		ruminants
remaĉuloj	macx.re0uloj.ZOO	de		Wiederkäuer
remaĉuloj	macx.re0uloj.ZOO	en		ruminants
remaĉuloj	macx.re0uloj.ZOO	fr		ruminants
maĉo	macx1.0o	de		Spiel
matĉo	macx1.0o	de		Spiel
maĉo	macx1.0o	de	Treffen (Sport)	Treffen
matĉo	macx1.0o	de	Treffen (Sport)	Treffen
maĉo	macx1.0o	de		Match
matĉo	macx1.0o	de		Match
maĉo	macx1.0o	en		match
matĉo	macx1.0o	en		match
maĉo	macx1.0o	fr		match
matĉo	macx1.0o	fr		match
maĉo	macx1.0o.SPO	de		Spiel
matĉo	macx1.0o.SPO	de		Spiel
maĉo	macx1.0o.SPO	de	Treffen (Sport)	Treffen
matĉo	macx1.0o.SPO	de	Treffen (Sport)	Treffen
maĉo	macx1.0o.SPO	de		Match
matĉo	macx1.0o.SPO	de		Match
maĉo	macx1.0o.SPO	en		match
matĉo	macx1.0o.SPO	en		match
maĉo	macx1.0o.SPO	fr		match
matĉo	macx1.0o.SPO	fr		match
maĉeto	macxet.0o	de		Machete
maĉeto	macxet.0o	fr		machette
maĉeto	macxet.0o.KOMUNE	de		Machete
maĉeto	macxet.0o.KOMUNE	fr		machette
Madagaskaro	madagas.0o	de		Madagaskar
Madagaskaro	madagas.0o	en		Madagascar
Madagaskaro	madagas.0o	fr		Madagascar
Madagaskaro	madagas.0o	fr		République de Madagascar
Madagaskaro	madagas.0o.GEOG	de		Madagaskar
Madagaskaro	madagas.0o.GEOG	en		Madagascar
Madagaskaro	madagas.0o.GEOG	fr		Madagascar
Madagaskaro	madagas.0o.GEOG	fr		République de Madagascar
madejro	madejr.0o	de		Madeirawein
madejro	madejr.0o	de		Madeira
madejro	madejr.0o	fr	madère (vin)	madère
madejro	madejr.0o.KUI	de		Madeirawein
madejro	madejr.0o.KUI	de		Madeira
madejro	madejr.0o.KUI	fr	madère (vin)	madère
Madejro	madejr.M0o	de		Madeira
Madejro	madejr.M0o	fr		Madère
Madejro	madejr.M0o.GEOG	de		Madeira
Madejro	madejr.M0o.GEOG	fr		Madère
Madjapradeŝo	madjapradesx.0o	fr		Madhya Pradesh
Madjapradeŝo	madjapradesx.0o.GEOG	fr		Madhya Pradesh
madono	madon.0o	en		Madonna
madono	madon.0o	de		Madonna
madono	madon.0o.BELA	de		Marienfigur
madono	madon.0o.BELA	de	Bildnis der Heiligen Jungfrau	Jungfrau
madono	madon.0o.BELA	en		Madonna
madono	madon.0o.BELA	de		Madonna
madono	madon.0o.KAT	de		Maria
madono	madon.0o.KAT	de	Heilige Jungfrau	Jungfrau
madono	madon.0o.KAT	de	Heilige Mutter	Mutter
madono	madon.0o.KAT	de	Mutter Gottes	Gottes
madono	madon.0o.KAT	de		Muttergottes
madono	madon.0o.KAT	en		Madonna
madono	madon.0o.KAT	de		Madonna
Madraso	madras.0o	de		Madras
Madraso	madras.0o	en		Madras
Madraso	madras.0o	fr		Madras
Madrido	madrid.0o	de		Madrid
madrigalo	madrig.0o	de		Madrigal
madrigalo	madrig.0o	en		madrigal
madrigalo	madrig.0o	fr		madrigal
madrigalo	madrig.0o.MUZ	de		Madrigal
madrigalo	madrig.0o.MUZ	en		madrigal
madrigalo	madrig.0o.MUZ	fr		madrigal
madrigalo	madrig.0o.POE	de		Madrigal
madrigalo	madrig.0o.POE	en		madrigal
madrigalo	madrig.0o.POE	fr		madrigal
madzo	madz.0o	fr		masse d'armes
madzo	madz.0o.ARM	fr		masse d'armes
mafia	mafi.0a	de		mafiös
mafia	mafi.0a	fr	maffieux (adj.)	maffieux
mafia	mafi.0a	fr	mafieux (adj.)	mafieux
mafia	mafi.0a.JUR	de		mafiös
mafia	mafi.0a.JUR	fr	maffieux (adj.)	maffieux
mafia	mafi.0a.JUR	fr	mafieux (adj.)	mafieux
mafiano	mafi.0ano	de		Mafioso
mafiulo	mafi.0ano	de		Mafioso
mafiano	mafi.0ano	fr	maffieux (subst.)	maffieux
mafiulo	mafi.0ano	fr	maffieux (subst.)	maffieux
mafiano	mafi.0ano	fr	mafieux (subst.)	mafieux
mafiulo	mafi.0ano	fr	mafieux (subst.)	mafieux
mafiano	mafi.0ano.JUR	de		Mafioso
mafiulo	mafi.0ano.JUR	de		Mafioso
mafiano	mafi.0ano.JUR	fr	maffieux (subst.)	maffieux
mafiulo	mafi.0ano.JUR	fr	maffieux (subst.)	maffieux
mafiano	mafi.0ano.JUR	fr	mafieux (subst.)	mafieux
mafiulo	mafi.0ano.JUR	fr	mafieux (subst.)	mafieux
mafio	mafi.0o	de		Mafia
mafio	mafi.0o	fr		mafia
mafio	mafi.0o.JUR	de		Mafia
mafio	mafi.0o.JUR	fr		mafia
mafino	mafin.0o	de		Muffin
mafino	mafin.0o	de		Toastbrötchen
mafino	mafin.0o	en		Muffin
mafino	mafin.0o	fr		Muffin
mago	mag.0o	NULL	NULL	NULL
mago	mag.0o.iluziisto	NULL	NULL	NULL
mago	mag.0o.pastro	de		Magier
mago	mag.0o.pastro	en		magus
mago	mag.0o.pastro	fr		mage
magazenego	magaze.0ego	de		Warenhaus
magazenego	magaze.0ego	de		Kaufhaus
magazenego	magaze.0ego	en	department store	store
magazenego	magaze.0ego	fr	grand magasin	magasin
magazeno	magaze.0o	NULL	NULL	NULL
magazeno	magaze.0o.butiko	de		Geschäft
magazeno	magaze.0o.butiko	de		Laden
magazeno	magaze.0o.butiko	en	department store	store
magazeno	magaze.0o.butiko	fr	magasin (lieu de vente)	magasin
magazeno	magaze.0o.stokejo	de		Lager
magazeno	magaze.0o.stokejo	de		Lagerhaus
magazeno	magaze.0o.stokejo	de		Speicher
magazeno	magaze.0o.stokejo	de		Magazin
magazeno	magaze.0o.stokejo	en		warehouse
magazeno	magaze.0o.stokejo	fr	magasin (réserve)	magasin
magazeno	magaze.0o.stokejo	fr	réserve (lieu)	réserve
Magelano	magelan.0o	de	Ferdinand Magellan	Magellan
magia	magi.0a	de		zauberhaft
magia	magi.0a	de		wunderbar
magia	magi.0a	de		magisch
magia	magi.0a	fr		magique
magia	magi.0a.FIG	de		zauberhaft
magia	magi.0a.FIG	de		wunderbar
magia	magi.0a.FIG	de		magisch
magia	magi.0a.FIG	fr		magique
magia	magi.0a.MAG	de		zauberhaft
magia	magi.0a.MAG	de		wunderbar
magia	magi.0a.MAG	de		magisch
magia	magi.0a.MAG	fr		magique
magiaĵo	magi.0ajxo	fr		tour de magie
magiaĵo	magi.0ajxo.MAG	fr		tour de magie
magiisto	magi.0isto	NULL	NULL	NULL
magiisto	magi.0isto.MAG	de		Zauberer
magiisto	magi.0isto.MAG	de		Magier
magiisto	magi.0isto.MAG	fr		magicien
magiisto	magi.0isto.TEA	NULL	NULL	NULL
