#kap	mrk	lng	trd	ind
-n	n.0	fr	marque de l'accusatif	accusatif
-n	n.0	en		ending to mark the accusative case in Esperanto
-n	n.0.direkto	fr	marque de l'accusatif	accusatif
-n	n.0.direkto	en		ending to mark the accusative case in Esperanto
-n	n.0.je	fr	marque de l'accusatif	accusatif
-n	n.0.je	en		ending to mark the accusative case in Esperanto
-n	n.0.komplemento	fr	marque de l'accusatif	accusatif
-n	n.0.komplemento	en		ending to mark the accusative case in Esperanto
-n	n.0.kun	fr	marque de l'accusatif	accusatif
-n	n.0.kun	en		ending to mark the accusative case in Esperanto
-n	n.0.mezuro	fr	marque de l'accusatif	accusatif
-n	n.0.mezuro	en		ending to mark the accusative case in Esperanto
-n	n.0.tempo	fr	marque de l'accusatif	accusatif
-n	n.0.tempo	en		ending to mark the accusative case in Esperanto
no	n1.0	NULL	NULL	NULL
no	n1.0.konsonanto	fr		nord
no	n1.0.konsonanto	fr	N (ensemble des nombres naturels)	N
no	n1.0.konsonanto	fr		Newton
no	n1.0.konsonanto	fr		azote
naismo	na.0ismo	NULL	NULL	NULL
naismo	na.0ismo.ESP	NULL	NULL	NULL
na	na.0o	fr		préposition de C.O.D.
na	na.0o	en		accusative preposition
na	na.0o.SNC	fr		préposition de C.O.D.
na	na.0o.SNC	en		accusative preposition
nabo	nab.0o	de		Hub
nabo	nab.0o	en		hub
nabo	nab.0o.FIG	de		Hub
nabo	nab.0o.FIG	de		Hub
nabo	nab.0o.FIG	en		hub
nabo	nab.0o.KOMP	de		Hub
nabo	nab.0o.KOMP	fr	concentrateur (informatique)	concentrateur
nabo	nab.0o.KOMP	de		Hub
nabo	nab.0o.KOMP	en		hub
nabo	nab.0o.TEK	de		Hub
nabo	nab.0o.TEK	fr		moyeu
nabo	nab.0o.TEK	de		Nabe
nabo	nab.0o.TEK	en		hub
nababo	nabab.0o	fr		nabab
nababo	nabab.0o	en		nabob
nababo	nabab.0o	de		Nawab
nababo	nabab.0o.FIG	fr		nabab
nababo	nabab.0o.FIG	en		nabob
nababo	nabab.0o.FIG	de		Nawab
nababo	nabab.0o.POL	fr		nabab
nababo	nabab.0o.POL	en		nabob
nababo	nabab.0o.POL	de		Nawab
nablo	nabl.0o	NULL	NULL	NULL
nablo	nabl.0o.MAT	en		nabla
nablo	nabl.0o.MUZ	en		psaltery
nacia	naci.0a	en		national
nacia	naci.0a	fr		national
nacia	naci.0a.etna	en		national
nacia	naci.0a.etna	fr		national
nacia	naci.0a.etna	de		national
nacia	naci.0a.sxtata	en		national
nacia	naci.0a.sxtata	fr		national
nacia	naci.0a.sxtata	de		Landes-
nacia	naci.0a.sxtata	de		National-
naciaĵo	naci.0ajxo	en		national idiom
naciaĵo	naci.0ajxo	de	nationale Besonderheit	Besonderheit
naciaĵo	naci.0ajxo	fr	spécialité nationale	nationale
naciaĵo	naci.0ajxo	fr	particularité nationale	nationale
nacianigi	naci.0anigi	en		nationalize
nacianigi	naci.0anigi	de		naturalisieren
nacianigi	naci.0anigi.JUR_POL	en		nationalize
nacianigi	naci.0anigi.JUR_POL	de		einbürgern
nacianigi	naci.0anigi.JUR_POL	de		naturalisieren
naciano	naci.0ano	fr		ressortissant
naciano	naci.0ano	fr	national (subst.)	national
naciano	naci.0ano	en		national
naciano	naci.0ano.BIB	fr		ressortissant
naciano	naci.0ano.BIB	fr	national (subst.)	national
naciano	naci.0ano.BIB	en		national
naciano	naci.0ano.BIB	fr	gentil (non-juif)	gentil
naciano	naci.0ano.BIB	de		Nichtjude
naciano	naci.0ano.etnano	fr		ressortissant
naciano	naci.0ano.etnano	fr	national (subst.)	national
naciano	naci.0ano.etnano	en		national
naciano	naci.0ano.etnano	de		Angehöriger einer Nationalität
naciano	naci.0ano.sxtatano	fr		ressortissant
naciano	naci.0ano.sxtatano	fr	national (subst.)	national
naciano	naci.0ano.sxtatano	en		national
naciano	naci.0ano.sxtatano	de		Staatsangehöriger
nacieco	naci.0eco	fr		nationalité
nacieco	naci.0eco	en		nationality
nacieco	naci.0eco	de		Nationalität
nacieco	naci.0eco.etno	fr		nationalité
nacieco	naci.0eco.etno	en		nationality
nacieco	naci.0eco.etno	de		Nationalität
nacieco	naci.0eco.propra	fr		nationalité
nacieco	naci.0eco.propra	en		nationality
nacieco	naci.0eco.propra	de		Nationalität
nacianismo	naci.0ismo	en		nationalism
