#kap	mrk	lng	trd	ind
-o	o.0	en	suffix for nouns in Esperanto	nouns
-o	o.0	de		-tät
-o	o.0	de		-schaft
-o	o.0	de		-nis
-o	o.0	de		-keit
-o	o.0	de		-heit
o	o1.0	NULL	NULL	NULL
o	o1.0.vokalo	fr	o (lettre)	o
o	o1.0.vokalo	fr	O (forme de)	O
o	o1.0.vokalo	fr		oxygène
oazo	oaz.0o	en		oasis
oazo	oaz.0o	de		Oase
oazo	oaz.0o	fr		oasis
oazo	oaz.0o.FIG	en		oasis
oazo	oaz.0o.FIG	de		Oase
oazo	oaz.0o.FIG	fr		oasis
oazo	oaz.0o.GEOG	en		oasis
oazo	oaz.0o.GEOG	de		Oase
oazo	oaz.0o.GEOG	fr		oasis
impostoazo	oaz.impost0o	fr		paradis fiscal
impostoazo	oaz.impost0o.EKON	fr		paradis fiscal
Oba Golfo	ob.0aGolfo	fr		golfe de l'Ob
Oba Golfo	ob.0aGolfo	en		Ob Bay
Oba Golfo	ob.0aGolfo	en		Gulf of Ob
Oba Golfo	ob.0aGolfo	de		Obbusen
Oba Golfo	ob.0aGolfo.GEOG	fr		golfe de l'Ob
Oba Golfo	ob.0aGolfo.GEOG	en		Ob Bay
Oba Golfo	ob.0aGolfo.GEOG	en		Gulf of Ob
Oba Golfo	ob.0aGolfo.GEOG	de		Obbusen
Obo	ob.O0o	fr		Obi
Obo	ob.O0o	fr		Ob
Obo	ob.O0o	en		Ob
Obo	ob.O0o	de		Ob
Obo	ob.O0o.GEOG	fr		Obi
Obo	ob.O0o.GEOG	fr		Ob
Obo	ob.O0o.GEOG	en		Ob
Obo	ob.O0o.GEOG	de		Ob
obeado	obe.0ado	de		Gehorsam
obeado	obe.0ado	fr		obéissance
obeado	obe.0ado	en		obedience
obeado	obe.0ado.KOMUNE	fr		obéissance
obeado	obe.0ado.KOMUNE	en		obedience
obeado	obe.0ado.KOMUNE	de		Gehorsam
obee al	obe.0eal	fr		conformément à
obee al	obe.0eal	de		weisungsgemäß
obee al	obe.0eal	de		entsprechend
obee al	obe.0eal	de		gemäß
obee al	obe.0eal.KOMUNE	fr		conformément à
obee al	obe.0eal.KOMUNE	de		weisungsgemäß
obee al	obe.0eal.KOMUNE	de		entsprechend
obee al	obe.0eal.KOMUNE	de		gemäß
obeema	obe.0ema	fr		obéissant
obeema	obe.0ema	de		gefügig
obeema	obe.0ema	de		folgsam
obeema	obe.0ema	de		gehorsam
obeema	obe.0ema.KOMUNE	fr		obéissant
obeema	obe.0ema.KOMUNE	de		gefügig
obeema	obe.0ema.KOMUNE	de		folgsam
obeema	obe.0ema.KOMUNE	de		gehorsam
obei	obe.0i	fr		obéir
obei	obe.0i	en		obey
