#kap	mrk	lng	trd	ind
pa	pa.0	fr		bah !
Pablo	pabl.0o	de		Pablo
Pablo	pabl.0o	fr		Pablo
Pablo	pabl.0o.NOM	de		Pablo
Pablo	pabl.0o.NOM	fr		Pablo
paca	pac.0a	de		friedlich
paca	pac.0a	de		friedvoll
paca	pac.0a	de		Friedens-
paca	pac.0a	de		still
paca	pac.0a	en		peaceful
paca	pac.0a.KOMUNE	fr	pacifique (adj.)	pacifique
paca	pac.0a.KOMUNE	de		friedlich
paca	pac.0a.KOMUNE	de		friedvoll
paca	pac.0a.KOMUNE	de		Friedens-
paca	pac.0a.KOMUNE	de		still
paca	pac.0a.KOMUNE	en		peaceful
paca	pac.0a.PSI	fr		paisible
paca	pac.0a.PSI	de		friedlich
paca	pac.0a.PSI	de		friedvoll
paca	pac.0a.PSI	de		Friedens-
paca	pac.0a.PSI	de		still
paca	pac.0a.PSI	en		peaceful
paca	pac.0a.pacfavora	fr	pacifique (adj.)	pacifique
paca	pac.0a.pacfavora	de		friedlich
paca	pac.0a.pacfavora	de		friedvoll
paca	pac.0a.pacfavora	de		Friedens-
paca	pac.0a.pacfavora	de		still
paca	pac.0a.pacfavora	en		peaceful
pacema	pac.0ema	de		friedliebend
pacema	pac.0ema	de		friedvoll
pacema	pac.0ema	de		friedfertig
pacema	pac.0ema	en		pacific
pacema	pac.0ema	fr	doux (pacifique)	doux
pacema	pac.0ema	fr	pacifique (adj.)	pacifique
pacema	pac.0ema.KOMUNE	de		friedliebend
pacema	pac.0ema.KOMUNE	de		friedvoll
pacema	pac.0ema.KOMUNE	de		friedfertig
pacema	pac.0ema.KOMUNE	en		pacific
pacema	pac.0ema.KOMUNE	fr	doux (pacifique)	doux
pacema	pac.0ema.KOMUNE	fr	pacifique (adj.)	pacifique
paciganto	pac.0iganto	de		Schlichter
paciganto	pac.0iganto	de		Befrieder
paciganto	pac.0iganto	de		Friedenswächter
pacigi	pac.0igi	de		befrieden
pacigi	pac.0igi	de		versöhnen
pacigi	pac.0igi	de		beruhigen
pacigi	pac.0igi	en		pacify
pacigi	pac.0igi	fr		apaiser
pacigi	pac.0igi	fr		pacifier
pacigi	pac.0igi.akordigi	de		befrieden
pacigi	pac.0igi.akordigi	de		versöhnen
pacigi	pac.0igi.akordigi	de		beruhigen
pacigi	pac.0igi.akordigi	en		pacify
pacigi	pac.0igi.akordigi	fr		apaiser
pacigi	pac.0igi.akordigi	fr		pacifier
pacigi	pac.0igi.denove	de		befrieden
pacigi	pac.0igi.denove	de		versöhnen
pacigi	pac.0igi.denove	de		beruhigen
pacigi	pac.0igi.denove	en		pacify
pacigi	pac.0igi.denove	fr		apaiser
pacigi	pac.0igi.denove	fr		pacifier
paciĝi	pac.0igxi	de	sich versöhnen	versöhnen
paciĝi	pac.0igxi	en		reconcile
paciĝi	pac.0igxi	fr		faire la paix
paciĝi	pac.0igxi	fr	se réconcilier	réconcilier
paciĝi	pac.0igxi.KOMUNE	de	sich versöhnen	versöhnen
paciĝi	pac.0igxi.KOMUNE	en		reconcile
paciĝi	pac.0igxi.KOMUNE	fr		faire la paix
paciĝi	pac.0igxi.KOMUNE	fr	se réconcilier	réconcilier
pacisto	pac.0isto	de		Pazifist
pacisto	pac.0isto	de		Friedensfreund
pacisto	pac.0isto	en		pacifist
pacisto	pac.0isto	fr	pacifiste (subst.)	pacifiste
pacisto	pac.0isto.POL	de		Pazifist
pacisto	pac.0isto.POL	de		Friedensfreund
pacisto	pac.0isto.POL	en		pacifist
pacisto	pac.0isto.POL	fr	pacifiste (subst.)	pacifiste
interpaciĝo	pac.inter0igxo	en		reconciliation
interpaciĝo	pac.inter0igxo	fr		réconciliation
interpaciĝo	pac.inter0igxo.KOMUNE	en		reconciliation
interpaciĝo	pac.inter0igxo.KOMUNE	fr		réconciliation
malpacema	pac.mal0ema	de		streitsüchtig
malpacema	pac.mal0ema	de		kriegerisch
malpacema	pac.mal0ema	de		kriegsstiftend
malpacema	pac.mal0ema	en		hostile
malpacema	pac.mal0ema	en		quarrelsome
malpacema	pac.mal0ema	en		vindicative
malpacema	pac.mal0ema	fr		querelleur
malpacema	pac.mal0ema	fr		vindicatif
