#kap	mrk	lng	trd	ind
rabaĵo	rab.0ajxo	de		Raubgut
rabaĵo	rab.0ajxo	fr		butin
rabaĵo	rab.0ajxo	de		Geraubtes
rabaĵo	rab.0ajxo.JUR	de		Raubgut
rabaĵo	rab.0ajxo.JUR	fr		butin
rabaĵo	rab.0ajxo.JUR	de		Geraubtes
rabejo	rab.0ejo	fr	repaire (de brigands)	repaire
rabejo	rab.0ejo	de		Räuberhöhle
rabi	rab.0i	fr	voler (dérober)	voler
rabi	rab.0i	fr		ravir
rabi	rab.0i	en		rob
rabi	rab.0i.JUR	fr	voler (dérober)	voler
rabi	rab.0i.JUR	fr		ravir
rabi	rab.0i.JUR	en		rob
rabi	rab.0i.JUR	de		rauben
rabi	rab.0i.prirabi	fr	voler (dérober)	voler
rabi	rab.0i.prirabi	fr		ravir
rabi	rab.0i.prirabi	en		rob
rabi	rab.0i.prirabi	de		berauben
rabisto	rab.0isto	fr		brigand
rabisto	rab.0isto	de		Räuber
rabisto	rab.0isto.JUR	fr		brigand
rabisto	rab.0isto.JUR	de		Räuber
disrabi	rab.dis0i	en	to loot	loot
disrabi	rab.dis0i	en	to pillage	pillage
disrabi	rab.dis0i	en	to plunder	plunder
disrabi	rab.dis0i	en	to ransack	ransack
disrabi	rab.dis0i	de		ausrauben
disrabi	rab.dis0i.dividi	en	to loot	loot
disrabi	rab.dis0i.dividi	en	to pillage	pillage
disrabi	rab.dis0i.dividi	en	to plunder	plunder
disrabi	rab.dis0i.dividi	en	to ransack	ransack
disrabi	rab.dis0i.dividi	de		ausrauben
disrabi	rab.dis0i.domagxi	en	to loot	loot
disrabi	rab.dis0i.domagxi	en	to pillage	pillage
disrabi	rab.dis0i.domagxi	en	to plunder	plunder
disrabi	rab.dis0i.domagxi	en	to ransack	ransack
disrabi	rab.dis0i.domagxi	de		ausrauben
forrabi	rab.for0i	en	to kidnap	kidnap
forrabi	rab.for0i	en	to abduct	abduct
forrabi	rab.for0i	de		rauben
prirabi	rab.pri0i	fr		détrousser
prirabi	rab.pri0i	de		berauben
prirabi	rab.pri0i	fr		piller
prirabi	rab.pri0i.JUR	fr		détrousser
prirabi	rab.pri0i.JUR	de		berauben
prirabi	rab.pri0i.JUR	fr		piller
temporaba	rab.tempo0a	fr	sans fin (très long)	sans fin
temporaba	rab.tempo0a	fr		qui prend du temps
temporaba	rab.tempo0a	de		zeitraubend
temporaba	rab.tempo0a.KOMUNE	fr	sans fin (très long)	sans fin
temporaba	rab.tempo0a.KOMUNE	fr		qui prend du temps
temporaba	rab.tempo0a.KOMUNE	de		zeitraubend
rabarbo	rabarb.0o	fr		rhubarbe
rabarbo	rabarb.0o	en		rhubarb
rabarbo	rabarb.0o	de		Rhabarber
rabati	rabat.0i	fr	faire une remise	remise
rabati	rabat.0i	en	(give a) discount	discount
rabati	rabat.0i	de	Preisnachlass geben	geben
rabati	rabat.0i	de	Preis nachlassen	nachlassen
rabati	rabat.0i	de		rabattieren
rabato	rabat.0o	fr		solde
rabato	rabat.0o	fr	remise (rabais)	remise
rabato	rabat.0o	fr		rabais
rabato	rabat.0o	en		rebate
rabato	rabat.0o	en		discount
rabato	rabat.0o	de		Preisnachlass
rabato	rabat.0o	de		Rabatt
