#kap	mrk	lng	trd	ind
sabeko	sabek.0o	de		Sambuka
sabeko	sabek.0o	en		sabeca
sabeko	sabek.0o	fr		sambuque
sabeko	sabek.0o.MUZ	de		Sambuka
sabeko	sabek.0o.MUZ	en		sabeca
sabeko	sabek.0o.MUZ	fr		sambuque
sabeliko	sabeli.0o	de		Wirsing
sabeliko	sabeli.0o	en		Savoy cabbage
sabeliko	sabeli.0o	en		kale
sabeliko	sabeli.0o	fr		chou frisé
sabeliko	sabeli.0o	fr		chou de Milan
sabena	saben.0a	en		Sabinian
sabeno	saben.0o	en		Sabine
sabeno	saben.0o.SNC	en		Sabine
Sabenujo	saben.S0ujo	en		Sabina
Sabenujo	saben.S0ujo	en		Sabine Hills
sablaĵo	sabl.0ajxo	de		Sandbank
sablaĵo	sabl.0ajxo	en		sandbank
sablaĵo	sabl.0ajxo	fr		banc de sable
sablero	sabl.0ero	de		Sandkorn
sablero	sabl.0ero	en		grain of sand
sablero	sabl.0ero	fr		grain de sable
sabli	sabl.0i	de		besanden
sabli	sabl.0i	de	mit Sand bestreuen	bestreuen
sabli	sabl.0i	fr		sabler
sabloludejo	sabl.0ludejo	de		Sandkasten
sablokesto	sabl.0ludejo	de		Sandkasten
sablo	sabl.0o	de		Sand
sablo	sabl.0o	en		sand
sablo	sabl.0o	fr		sable
sabloŝtono	sabl.0osxtono	de		Sandstein
sabloŝtono	sabl.0osxtono	en		sandstone
sabloŝtono	sabl.0osxtono	fr	grès (roche)	grès
sablujo	sabl.0ujo	NULL	NULL	NULL
sablujo	sabl.0ujo.cxia	de		Sandkiste
saboti	sabot.0i	de		sabotieren
saboti	sabot.0i	en		sabotage
saboti	sabot.0i	fr		saboter
saboti	sabot.0i.MIL	de		sabotieren
saboti	sabot.0i.MIL	en		sabotage
saboti	sabot.0i.MIL	fr		saboter
sabotisto	sabot.0isto	fr		saboteur
sabotisto	sabot.0isto.MIL	fr		saboteur
saboto	sabot.0o	de		Sabotage
saboto	sabot.0o	fr		sabotage
saboto	sabot.0o.MIL	de		Sabotage
saboto	sabot.0o.MIL	fr		sabotage
sabro	sabr.0o	de		Säbel
sabro	sabr.0o	en		sabre
sabro	sabr.0o	en		saber
sabro	sabr.0o	fr		sabre
sabro	sabr.0o.MIL	de		Säbel
sabro	sabr.0o.MIL	en		sabre
sabro	sabr.0o.MIL	en		saber
sabro	sabr.0o.MIL	fr		sabre
sacerdoto	sacerd.0o	de		Priester
sacerdoto	sacerd.0o	en		priest
sacerdoto	sacerd.0o	fr		prêtre
sacerdoto	sacerd.0o.KRI	de		Priester
sacerdoto	sacerd.0o.KRI	en		priest
sacerdoto	sacerd.0o.KRI	fr		prêtre
sadismo	sad.0ismo	de		Sadismus
sadismo	sad.0ismo	en		sadism
sadismo	sad.0ismo	fr		sadisme
sadismo	sad.0ismo.PSI	de		Sadismus
sadismo	sad.0ismo.PSI	en		sadism
sadismo	sad.0ismo.PSI	fr		sadisme
Sadamo	sadam.0o	en		Saddam
Sadam	sadam.0o	en		Saddam
Sadamo	sadam.0o	fr		Saddam
Sadam	sadam.0o	fr		Saddam
Sadamo	sadam.0o.NOM	en		Saddam
Sadam	sadam.0o.NOM	en		Saddam
Sadamo	sadam.0o.NOM	fr		Saddam
Sadam	sadam.0o.NOM	fr		Saddam
sadukeo	saduke.0o	de		Sadduzäer
sadukeo	saduke.0o	en		Sadducee
sadukeo	saduke.0o	fr		sadducéens
sadukeo	saduke.0o.JUD	de		Sadduzäer
sadukeo	saduke.0o.JUD	en		Sadducee
sadukeo	saduke.0o.JUD	fr		sadducéens
safiro	safir.0o	de		Saphir
safiro	safir.0o	en		sapphire
safiro	safir.0o	fr		saphir
safiro	safir.0o.MIN	de		Saphir
safiro	safir.0o.MIN	en		sapphire
safiro	safir.0o.MIN	fr		saphir
safrano	safran.0o	de		Safran
safrano	safran.0o	fr		safran
safrano	safran.0o.floro	de		Safran
safrano	safran.0o.floro	fr		safran
