#kap	mrk	lng	trd	ind
ta	ta1.0	fr		zut
ta	ta1.0	de	ach komm	ach
ta	ta1.0	de		pah
ta	ta1.0.KOMUNE	fr		zut
ta	ta1.0.KOMUNE	de	ach komm	ach
ta	ta1.0.KOMUNE	de		pah
ta ta ta	ta1.000	NULL	NULL	NULL
ta ta ta	ta1.000.ekkrio	de		bla bla bla!
ta ta ta	ta1.000.ekkrio	fr		taratata !
ta ta ta	ta1.000.ekkrio	de		schnadderadad!
ta ta ta	ta1.000.sonimito	fr		tacatacatac !
tabo	tab.0o	fr		tabulation
tabo	tab.0o	en		tabulation
tabo	tab.0o	en		tab
tabo	tab.0o	de		Tabulatorzeichen
tabo	tab.0o	de		Tab
tabo	tab.0o.TIP	fr		tabulation
tabo	tab.0o.TIP	en		tabulation
tabo	tab.0o.TIP	en		tab
tabo	tab.0o.TIP	de		Tabulatorzeichen
tabo	tab.0o.TIP	de		Tab
tabako	tabak.0o	fr		tabac
tabako	tabak.0o	en		tobacco
tabako	tabak.0o	de		Tabak
tabako	tabak.0o.BOT	fr		tabac
tabako	tabak.0o.BOT	en		tobacco
tabako	tabak.0o.BOT	de		Tabak
tabako	tabak.0o.fumado	fr		tabac
tabako	tabak.0o.fumado	en		tobacco
tabako	tabak.0o.fumado	de		Tabak
tabakujo	tabak.0ujo	fr		tabatière
tabakujo	tabak.0ujo.KOMUNE	fr		tabatière
naztabako	tabak.flar0o	fr		tabac à priser
flartabako	tabak.flar0o	fr		tabac à priser
naztabako	tabak.flar0o	de		Schnupftabak
flartabako	tabak.flar0o	de		Schnupftabak
naztabako	tabak.flar0o.KOMUNE	fr		tabac à priser
flartabako	tabak.flar0o.KOMUNE	fr		tabac à priser
naztabako	tabak.flar0o.KOMUNE	de		Schnupftabak
flartabako	tabak.flar0o.KOMUNE	de		Schnupftabak
fumtabako	tabak.fum0o	fr		tabac à fumer
fumtabako	tabak.fum0o.KOMUNE	fr		tabac à fumer
maĉtabako	tabak.macx0o	fr		chique
maĉtabako	tabak.macx0o	de		Kautabak
maĉtabako	tabak.macx0o.KOMUNE	fr		chique
maĉtabako	tabak.macx0o.KOMUNE	de		Kautabak
tabano	taban.0o	fr		taon
tabano	taban.0o	de		Bremse
tabanedoj	tabane.0oj	fr		Tabanidés
tabanedoj	tabane.0oj	en		horse and deer flies
tabanedoj	tabane.0oj	en		Tabanidae
tabanedoj	tabane.0oj	de	Bremsen (Familie)	Bremsen
tabelo	tabel.0o	de		Tabelle
