#kap	mrk	lng	trd	ind
ublieto	ubliet.0o	fr		oubliette
ublieto	ubliet.0o	en		oubliette
ublieto	ubliet.0o	en		bottle dungeon
ublieto	ubliet.0o	de		Kerker
ublieto	ubliet.0o.POL	fr		oubliette
ublieto	ubliet.0o.POL	en		oubliette
ublieto	ubliet.0o.POL	en		bottle dungeon
ublieto	ubliet.0o.POL	de		Kerker
udono	udon.0o	fr		udon
udono	udon.0o	de		Udon
udono	udon.0o	en		udon
udono	udon.0o.KUI	fr		udon
udono	udon.0o.KUI	de		Udon
udono	udon.0o.KUI	en		udon
Ueno	uen.0o	NULL	NULL	NULL
Ueno	uen.0o.kvartalo	fr		Ueno
Ueno	uen.0o.kvartalo	en		Ueno
Ueno	uen.0o.kvartalo	de		Ueno
Ugando	ugand.U0o	NULL	NULL	NULL
Ugando	ugand.U0o.GEOG	fr		Uganda
Ugando	ugand.U0o.GEOG	en		Uganda
Ugando	ugand.U0o.GEOG	de		Uganda
ugviso	ugvis.0o	fr		uguisu
ugviso	ugvis.0o	fr		bouscarle chanteuse
ugviso	ugvis.0o	en		manchurian bush-warbler
ugviso	ugvis.0o	de		Japanbuschsänger
ugviso	ugvis.0o.ZOO	fr		uguisu
ugviso	ugvis.0o.ZOO	fr		bouscarle chanteuse
ugviso	ugvis.0o.ZOO	en		manchurian bush-warbler
ugviso	ugvis.0o.ZOO	de		Japanbuschsänger
-uj	uj.0	NULL	NULL	NULL
-uj	uj.0.entenilo	fr	-ier (suffixe de contenant)	-ier
-uj	uj.0.entenilo	de		Gefäß
-uj	uj.0.entenilo	de		Behälter
-uj	uj.0.entenilo	fr	-ière (suffixe de contenant)	-ière
-uj	uj.0.lando	de		Staat
-uj	uj.0.lando	de		Land
-uj	uj.0.planto	de		Busch
-uj	uj.0.planto	de		Strauch
-uj	uj.0.planto	de		Baum
ujo	uj.0o	fr	enveloppe (contenant)	enveloppe
ujo	uj.0o	fr	contenant (subst.)	contenant
ujo	uj.0o	en		container
ujo	uj.0o.KOMUNE	fr	enveloppe (contenant)	enveloppe
ujo	uj.0o.KOMUNE	fr	contenant (subst.)	contenant
ujo	uj.0o.KOMUNE	en		container
enujigi	uj.en0igi	fr	ranger (mettre dans un contenant)	ranger
enujigi	uj.en0igi.KOMUNE	fr	ranger (mettre dans un contenant)	ranger
ujutna	ujutn.0a	en		cozy
ujutna	ujutn.0a	en		cosy
ujutna	ujutn.0a	de		gesellig
ujutna	ujutn.0a	de		kuschelig
ujutna	ujutn.0a	de		beschaulich
ujutna	ujutn.0a	de		behaglich
ujutna	ujutn.0a	de		gemütlich
-uk	uk.0	NULL	NULL	NULL
ukazo	ukaz.0o	fr		ukase
ukazo	ukaz.0o	fr		oukase
ukazo	ukaz.0o	en		ukase
ukazo	ukaz.0o	de		Ukas
ukazo	ukaz.0o.JUR	fr		ukase
ukazo	ukaz.0o.JUR	fr		oukase
ukazo	ukaz.0o.JUR	en		ukase
ukazo	ukaz.0o.JUR	de		Ukas
Ukrainio	ukraini.0o	en		Ukraine
Ukrainio	ukraini.0o	de		Ukraine
Ukrainio	ukraini.0o	fr		Ukraine
Ukrainio	ukraini.0o.GEOG	de		Ukraine
Ukrainio	ukraini.0o.GEOG	fr		Ukraine
Ukrainio	ukraini.0o.GEOG	en		Ukraine
ukrajna	ukrajn.0a	fr	ukrainien (adjectif)	ukrainien
ukraina	ukrajn.0a	fr	ukrainien (adjectif)	ukrainien
ukrajna	ukrajn.0a	en		Ukrainian
ukraina	ukrajn.0a	en		Ukrainian
ukrajna	ukrajn.0a	de		ukrainisch
ukraina	ukrajn.0a	de		ukrainisch
ukrajno	ukrajn.0o	NULL	NULL	NULL
ukraino	ukrajn.0o	NULL	NULL	NULL
ukrajno	ukrajn.0o.homo	de		Ukrainer
ukraino	ukrajn.0o.homo	de		Ukrainer
ukrajno	ukrajn.0o.homo	fr	Ukrainien (habitant)	Ukrainien
ukraino	ukrajn.0o.homo	fr	Ukrainien (habitant)	Ukrainien
ukrajno	ukrajn.0o.homo	en		Ukrainian
ukraino	ukrajn.0o.homo	en		Ukrainian
ukrajno	ukrajn.0o.homo	de		Ukrainerin
ukraino	ukrajn.0o.homo	de		Ukrainerin
Ukrajno	ukrajn.U0o	NULL	NULL	NULL
