#kap	mrk	lng	trd	ind
vaĉi	vacx.0i	fr		surveiller
vaĉi	vacx.0i.MAR	fr		surveiller
vaĉi	vacx.0i.MAR	en		watch
vaĉi	vacx.0i.MAR	de		wachen
vadejo	vad.0ejo	NULL	NULL	NULL
vadejo	vad.0ejo.SPO	fr		pataugeoire
vadejo	vad.0ejo.SPO	de		Planschbecken
vadejo	vad.0ejo.travadejo	fr		gué
vadejo	vad.0ejo.travadejo	en		ford
vadejo	vad.0ejo.travadejo	de		Furt
vadi	vad.0i	NULL	NULL	NULL
vadi	vad.0i.FIG	NULL	NULL	NULL
vadi	vad.0i.KOMUNE	fr		patauger
vadi	vad.0i.KOMUNE	en		wade
vadi	vad.0i.KOMUNE	de		waten
travadejo	vad.tra0ejo	fr		gué
travadejo	vad.tra0ejo	en		ford
travadejo	vad.tra0ejo	de		Furt
travadejo	vad.tra0ejo.TRA	fr		gué
travadejo	vad.tra0ejo.TRA	en		ford
travadejo	vad.tra0ejo.TRA	de		Furt
travadi	vad.tra0i	fr		passer à gué
travadi	vad.tra0i	en		ford
travadi	vad.tra0i	de		durchwaten
travadi	vad.tra0i.KOMUNE	fr		passer à gué
travadi	vad.tra0i.KOMUNE	en		ford
travadi	vad.tra0i.KOMUNE	de		durchwaten
vadio	vadi.0o	de		Wadi
vadio	vadi.0o	fr		wadi
vadio	vadi.0o	fr		oued
vadio	vadi.0o	en		wadi
vadio	vadi.0o.GEOG	fr		wadi
vadio	vadi.0o.GEOG	fr		oued
vadio	vadi.0o.GEOG	en		wadi
vadio	vadi.0o.GEOG	de		Wadi
Vaduzo	vaduz.0o	fr		Vaduz
Vaduzo	vaduz.0o	en		Vaduz
Vaduzo	vaduz.0o	de		Vaduz
vaflo	vafl.0o	fr		gaufre
vaflo	vafl.0o	en		waffle
vaflo	vafl.0o	de		Waffel
siropvaflo	vafl.sirop0o	fr		gaufre hollandaise
siropvaflo	vafl.sirop0o	fr		gaufre néerlandaise
siropvaflo	vafl.sirop0o	fr		stroopwafel
siropvaflo	vafl.sirop0o	en		Dutch syrup waffle
siropvaflo	vafl.sirop0o	en		stroopwafel
vagi	vag.0i	en		meander
vagi	vag.0i	en		ramble
vagi	vag.0i	en		wander
vagi	vag.0i	de		stromern
vagi	vag.0i	de		umherziehen
vagi	vag.0i	de		umherirren
vagi	vag.0i	de		umherstreifen
vagi	vag.0i	fr		vadrouiller
vagi	vag.0i	fr		errer
vagi	vag.0i	fr		roder
vagi	vag.0i	en		drift
vagi	vag.0i	fr		flaner
vagi	vag.0i	en		roam
vagi	vag.0i.KOMUNE	en		meander
vagi	vag.0i.KOMUNE	en		ramble
vagi	vag.0i.KOMUNE	en		wander
vagi	vag.0i.KOMUNE	de		stromern
vagi	vag.0i.KOMUNE	de		umherziehen
vagi	vag.0i.KOMUNE	de		umherirren
vagi	vag.0i.KOMUNE	de		umherstreifen
vagi	vag.0i.KOMUNE	fr		vadrouiller
vagi	vag.0i.KOMUNE	fr		errer
vagi	vag.0i.KOMUNE	fr		roder
vagi	vag.0i.KOMUNE	en		drift
vagi	vag.0i.KOMUNE	fr		flaner
vagi	vag.0i.KOMUNE	en		roam
vagado	vag.0o	fr		vagabondage
vago	vag.0o	fr		vagabondage
vagado	vag.0o	fr		flânerie
vago	vag.0o	fr		flânerie
vagado	vag.0o	fr		errance
vago	vag.0o	fr		errance
vagado	vag.0o	de		Streifzug
vago	vag.0o	de		Streifzug
