kap	mrk	lng	trd	ind
Zagrebo	zagreb.0o	NULL	NULL	NULL
Zagrebo	zagreb.0o.cxefurbo	fr		Zagreb
Zagrebo	zagreb.0o.cxefurbo	en		Zagreb
Zagrebo	zagreb.0o.cxefurbo	de		Zagreb
Zairio	zairi.0o	fr		Zaïre
Zairio	zairi.0o	de		Zaire
Zairio	zairi.0o.sxtato	fr		Zaïre
Zairio	zairi.0o.sxtato	de		Zaire
zakusko	zakusk.0o	fr	zakouski (hors-d'œuvre russe)	zakouski
zakusko	zakusk.0o	en		Zakuski
zakusko	zakusk.0o	de		Snack
zakusko	zakusk.0o	de		Sakuska
zakusko	zakusk.0o	de		Häppchen
zakusko	zakusk.0o.KUI	fr	zakouski (hors-d'œuvre russe)	zakouski
zakusko	zakusk.0o.KUI	en		Zakuski
zakusko	zakusk.0o.KUI	de		Snack
zakusko	zakusk.0o.KUI	de		Sakuska
zakusko	zakusk.0o.KUI	de		Häppchen
Zambio	zambi.Z0o	fr		République de Zambie
Zambio	zambi.Z0o	fr		Zambie
Zambio	zambi.Z0o	en		Zambia
Zambio	zambi.Z0o	de		Sambia
Zambio	zambi.Z0o.GEOG	fr		République de Zambie
Zambio	zambi.Z0o.GEOG	fr		Zambie
Zambio	zambi.Z0o.GEOG	en		Zambia
Zambio	zambi.Z0o.GEOG	de		Sambia
Zamenhofa	zamenhof.0a	de		Samenhof's
Zamenhofa	zamenhof.0a	de		Samenhof'sch
Zamenhofa	zamenhof.0a	de		Samenhofisch
Zamenhofa	zamenhof.0a.PERS	de		Samenhof's
Zamenhofa	zamenhof.0a.PERS	de		Samenhof'sch
Zamenhofa	zamenhof.0a.PERS	de		Samenhofisch
Zamenhofa Festo	zamenhof.0a_tago	de		Zamenhoftag
Zamenhofa tago	zamenhof.0a_tago	de		Zamenhoftag
Zamenhofa Festo	zamenhof.0a_tago	de		Samenhoffest
Zamenhofa tago	zamenhof.0a_tago	de		Samenhoffest
zantoksilo	zantoksil.0o	NULL	NULL	NULL
zantoksilo	zantoksil.0o.BOT	en		Zanthoxylum
zantoksilo	zantoksil.0o.KUI	fr		poivre du Sichuan
zantoksilo	zantoksil.0o.KUI	en		mala pepper
zantoksilo	zantoksil.0o.KUI	en		Timut pepper
zantoksilo	zantoksil.0o.KUI	en		Chinese pepper
zantoksilo	zantoksil.0o.KUI	en		Chinese prickly ash
zantoksilo	zantoksil.0o.KUI	en		Szechwan pepper
zantoksilo	zantoksil.0o.KUI	en		Szechuan pepper
zantoksilo	zantoksil.0o.KUI	en		Sichuan pepper
zantoksilo	zantoksil.0o.KUI	de		Szechuanpfeffer
Zanzibaro	zanzibar.0o	fr		Zanzibar
Zanzibaro	zanzibar.0o	en		Zanzibar
Zanzibaro	zanzibar.0o	de		Sansibar
Zaratuŝtro	zaratusxtr.0o	fr		Zarathoustra
Zaratuŝtro	zaratusxtr.0o	fr		Zoroastre
Zaratuŝtro	zaratusxtr.0o	en		Zarathustra
Zaratuŝtro	zaratusxtr.0o	en		Zoroaster
Zaratuŝtro	zaratusxtr.0o	de		Zarathustra
Zaratuŝtro	zaratusxtr.0o	de		Zoroaster
Zaratuŝtro	zaratusxtr.0o.PERS	fr		Zarathoustra
Zaratuŝtro	zaratusxtr.0o.PERS	fr		Zoroastre
Zaratuŝtro	zaratusxtr.0o.PERS	en		Zarathustra
Zaratuŝtro	zaratusxtr.0o.PERS	en		Zoroaster
Zaratuŝtro	zaratusxtr.0o.PERS	de		Zarathustra
Zaratuŝtro	zaratusxtr.0o.PERS	de		Zoroaster
zarzuelo	zarzuel.0o	fr		zarzuela
zarzuelo	zarzuel.0o	de		Zarzuela
zarzuelo	zarzuel.0o.MUZ	de		Zarzuela
zarzuelo	zarzuel.0o.MUZ	fr		zarzuela
zeo	ze.0o	fr	monument dédié à l'Espéranto	monument
zeo	ze.0o	fr	monument dédié à Zamenhof	monument
zeo	ze.0o.ESP	fr	monument dédié à l'Espéranto	monument
zeo	ze.0o.ESP	fr	monument dédié à Zamenhof	monument
zebro	zebr.0o	fr		zèbre
zebro	zebr.0o	en		zebra
zebro	zebr.0o	de		Zebra
zebuo	zebu.0o	fr		zébu
zebuo	zebu.0o	en		zebu
zebuo	zebu.0o	en		Brahman
zebuo	zebu.0o	de		Buckelrind
zebuo	zebu.0o	de		Zebu
zefiro	zefir.0o	fr		zéphyr
zefiro	zefir.0o	fr		brise
zefiro	zefir.0o	en		zephyr
zefiro	zefir.0o	de		Zephir
zekeno	zeken.0o	fr		sequin
zekeno	zeken.0o	en		Venetian ducat
zekeno	zeken.0o	en		zecchino
zekeno	zeken.0o	en		sequin
zekeno	zeken.0o	de		Zechine
zekeno	zeken.0o	de		Dukat
zekeno	zeken.0o.EKON	fr		sequin
zekeno	zeken.0o.EKON	en		Venetian ducat
zekeno	zeken.0o.EKON	en		zecchino
zekeno	zeken.0o.EKON	en		sequin
zekeno	zeken.0o.EKON	de		Zechine
zekeno	zeken.0o.EKON	de		Dukat
Zelando	zeland.Z0o	en		Zealand
Zelando	zeland.Z0o	de		Seeland
Zelando	zeland.Z0o.insulo	en		Zealand
Zelando	zeland.Z0o.insulo	de		Seeland
Zelando	zeland.Z0o.insulo	fr		Sélande
Zelando	zeland.Z0o.insulo	fr		Seeland
Zelando	zeland.Z0o.provinco	de		Seeland
Zelando	zeland.Z0o.provinco	fr		Zélande
Zelando	zeland.Z0o.provinco	en		Zealand
zelkovo	zelkov.0o	fr		zelkova
zelkovo	zelkov.0o	en		zelkova
zelkovo	zelkov.0o	de		Zelkove
zelkovo	zelkov.0o.BOT	fr		zelkova
zelkovo	zelkov.0o.BOT	en		zelkova
zelkovo	zelkov.0o.BOT	de		Zelkove
zeloto	zelot.0o	fr		zélote
zeloto	zelot.0o	de		Zelot
zeloto	zelot.0o.FIG	fr		zélote
zeloto	zelot.0o.FIG	de		Zelot
zeloto	zelot.0o.FIG	en		zealot
zeloto	zelot.0o.FIG	en		fanatic
zeloto	zelot.0o.FIG	de	religiöser Eiferer	Eiferer
zeloto	zelot.0o.FIG	de		Glaubensfanatiker
zeloto	zelot.0o.FIG	de		Fanatiker
zeloto	zelot.0o.FIG	de		Zelot
zeloto	zelot.0o.HIS	fr		zélote
zeloto	zelot.0o.HIS	de		Zelot
zenismo	zen.0ismo	fr	zen (subst.)	zen
zenismo	zen.0ismo	de		Zazen
zenito	zenit.0o	fr		zénith
zenito	zenit.0o	de		Scheitelpunkt
zenito	zenit.0o	en		zenith
zenito	zenit.0o	de		Zenit
zenito	zenit.0o.AST	fr		zénith
zenito	zenit.0o.AST	de		Scheitelpunkt
zenito	zenit.0o.AST	en		zenith
zenito	zenit.0o.AST	de		Zenit
zenito	zenit.0o.FIG	fr		zénith
zenito	zenit.0o.FIG	en		zenith
zenito	zenit.0o.FIG	de		Zenit
zenito	zenit.0o.FIG	de		Scheitelpunkt
zeolito	zeolit.0o	fr		zéolithe
zeolito	zeolit.0o	fr		zéolite
zeolito	zeolit.0o.MIN	fr		zéolithe
zeolito	zeolit.0o.MIN	fr		zéolite
zepelino	zepelin.0o	fr		zeppelin
zepelino	zepelin.0o	fr	ballon dirigeable	dirigeable
zepelino	zepelin.0o	en		zeppelin
zepelino	zepelin.0o	de		Zeppelin
zepelino	zepelin.0o	de		Luftschiff
zepelino	zepelin.0o.AVI	fr		zeppelin
zepelino	zepelin.0o.AVI	fr	ballon dirigeable	dirigeable
zepelino	zepelin.0o.AVI	en		zeppelin
zepelino	zepelin.0o.AVI	de		Zeppelin
zepelino	zepelin.0o.AVI	de		Luftschiff
zepto-	zepto.0	fr		zepto-
zepto-	zepto.0	en		zepto-
zepto-	zepto.0	de		Zepto-
zepto-	zepto.0.MEZ	fr		zepto-
zepto-	zepto.0.MEZ	en		zepto-
zepto-	zepto.0.MEZ	de		Zepto-
zeto	zet.0o	fr		zêta
zeto	zet.0o	en		zeta
zeto	zet.0o.LIN	fr		zêta
zeto	zet.0o.LIN	en		zeta
zeta-	zeta.0	fr		zetta-
zeta-	zeta.0	en		zetta-
zeta-	zeta.0	de		Zetta-
zeta-	zeta.0.MEZ	fr		zetta-
zeta-	zeta.0.MEZ	en		zetta-
zeta-	zeta.0.MEZ	de		Zetta-
zeŭgmo	zeuxgm.0o	fr		zeugma
zeŭgmo	zeuxgm.0o	fr		zeugme
zeŭgmo	zeuxgm.0o	en		zeugma
zeŭgmo	zeuxgm.0o	de		Zeugma
zibelo	zibel.0o	de		Zobel
zibelo	zibel.0o	fr		zibeline
zibelo	zibel.0o	en		marten
zibelo	zibel.0o	en		sable
zibelo	zibel.0o.ZOO	de		Zobel
zibelo	zibel.0o.ZOO	fr		zibeline
zibelo	zibel.0o.ZOO	en		marten
zibelo	zibel.0o.ZOO	en		sable
zibelo	zibel.0o.pelto	fr		zibeline
zibelo	zibel.0o.pelto	en		marten
zibelo	zibel.0o.pelto	en		sable
zibelo	zibel.0o.pelto	de		Zobel
zibeto	zibet.0o	fr	grande civette d'Inde	civette
zibeto	zibet.0o	en		civet
zibeto	zibet.0o	de		Zibetkatze
zibeto	zibet.0o.ZOO	fr	grande civette d'Inde	civette
zibeto	zibet.0o.ZOO	en		civet
zibeto	zibet.0o.ZOO	de		Zibetkatze
zigofilacoj	zigofi.0oj	fr		zygophylacées
zigofilacoj	zigofi.0oj	de		Jochblattgewächse
zigomo	zigom.0o	de		Jochbein
zigomo	zigom.0o	fr	os zygomatique	zygomatique
zigomo	zigom.0o	en		zygomatic bone
zigomo	zigom.0o.ANA	de		Jochbein
zigomo	zigom.0o.ANA	fr	os zygomatique	zygomatique
zigomo	zigom.0o.ANA	en		zygomatic bone
zigoto	zigot.0o	fr		zygote
zigoto	zigot.0o	en		zygote
zigoto	zigot.0o	de		Zygote
zigoto	zigot.0o.GNT	fr		zygote
zigoto	zigot.0o.GNT	en		zygote
zigoto	zigot.0o.GNT	de		Zygote
zigurato	zigurat.0o	fr		ziggourat
zigurato	zigurat.0o	de		Zikkurat
zigurato	zigurat.0o.ARKI	fr		ziggourat
zigurato	zigurat.0o.ARKI	de		Zikkurat
zigzagi	zigzag.0i	fr		zigzaguer
zigzagi	zigzag.0i	en		zigzag
zigzagi	zigzag.0i	de		herumzackern
zigzagi	zigzag.0i	de	im Zickzack laufen	laufen
zigzagi	zigzag.0i.FORM	fr		zigzaguer
zigzagi	zigzag.0i.FORM	en		zigzag
zigzagi	zigzag.0i.FORM	de		herumzackern
zigzagi	zigzag.0i.FORM	de	im Zickzack laufen	laufen
zigzago	zigzag.0o	en		zigzag
zigzago	zigzag.0o	de		Zickzack
zigzago	zigzag.0o	fr		zigzag
zigzago	zigzag.0o.FORM	de		Zickzack
zigzago	zigzag.0o.FORM	fr		zigzag
zigzago	zigzag.0o.FORM	en		zigzag
Zimbabvo	zimbabv.Z0o	fr		République du Zimbabwe
Zimbabvo	zimbabv.Z0o	fr		Zimbabwe
Zimbabvo	zimbabv.Z0o	en	Republic of Zimbabwe	Zimbabwe
Zimbabvo	zimbabv.Z0o	en		Zimbabwe
Zimbabvo	zimbabv.Z0o	de	Republik Simbabwe	Simbabwe
