# mrk;kap;num;dos
a1.0;a;;gra_fr
a1.0;a;;gra_fr
a1.0;a;;gra_fr
a1.0;a;;gra_en
a1.0;a;;gra_en
a1.0;a;;gra_en
a1.0;a;;gra_de
a1.0;a;;gra_ru
a1.0;a;;gra_pl
a1.0;a;;ekz_5
a1.0;a;;uv_A
a1.0;a;;oa_7
a1.0BC;ABC;;NULL
a1.0BC;aboco;;NULL
a1.0BC.alfabetumo;ABC;2;NULL
a1.0BC.alfabetumo;aboco;2;NULL
abak.0o;abako;;NULL
abas.0ido;abasido;;NULL
abas.0o;Abaso;;NULL
abdik.0i;abdiki;;NULL
abdik.0o;abdiko;;NULL
abdik.0o.demisio;abdiko;2;NULL
abdik.0o.regxo;abdiko;1;NULL
abel.0aro;abelaro;;NULL
abel1.a0a;abela;;NULL
abeled.0oj;abeledoj;;NULL
aberac.0i;aberacii;;NULL
aberac.0i.SCI;aberacii;;NULL
abism.0a;abisma;;NULL
abism.0a.rilata;abisma;;NULL
abism.0o;abismo;;NULL
abism.en0igxi;enabismiĝi;;NULL
abitur.0aekzameno;abiturienta ekzameno;;NULL
abitur.0o;abituriento;;oa_4
abitur.0o;abituriento;;oa_4
abjxur.0i;abĵuri;;NULL
abjxur.0i.KOMUNE;abĵuri;;NULL
ablaci.0agxo;ablacia aĝo;;NULL
ablaci.0agxo.AST;ablacia aĝo;;NULL
ablaci.0o;ablacio;;NULL
ablaci.0o.AST;ablacio;5;NULL
ablaci.0o.GEOL;ablacio;1;NULL
ablaci.0o.MED;ablacio;4;NULL
ablaci.0o.glacio;ablacio;2;NULL
ablaci.0o.rokoj;ablacio;3;NULL
abnega.0a;abnegacia;;NULL
abnega.0i;abnegacii;;NULL
aboc.0o;aboco;;NULL
abol.0o;abolo;;NULL
abol.0o;abolicio;;NULL
abol.0o.JUR;abolo;;NULL
abol.0o.JUR;abolicio;;NULL
abomen.0ajxo;abomenaĵo;;NULL
abomen.0o;abomeno;;ekz_26
abon.0i;aboni;;ekz_27
aborigen.0a;aborigena;;NULL
abort.0o;aborto;;NULL
abrazi.0i;abrazii;;NULL
abrazi.0i.TEK;abrazii;;NULL
abrazi.0o;abrazio;;NULL
abrazi.0o.TEK;abrazio;;NULL
abrupt.0eco;abrupteco;;NULL
abrupt.0eco.KOMUNE;abrupteco;;NULL
abrupt.0i;abrupti;;NULL
abrupt.0i.KOMUNE;abrupti;;NULL
abrupt.mal0a;malabrupta;;NULL
abrupt.mal0a.KOMUNE;malabrupta;;NULL
absolu.klera0ismo;klera absolutismo;;NULL
absolv.0o;absolvo;;NULL
absolv.0o.JUR;absolvo;2;NULL
absolv.0o.KAT;absolvo;1;NULL
absorb.0igxi;absorbiĝi;;NULL
absorb.0igxi.PSI;absorbiĝi;;NULL
abstin.0ema;abstinema;;NULL
abstin.0ema.DIET;abstinema;;NULL
abstin.0i;abstini;;oa_4
abstin.0i;abstini;;oa_4
abstin.0i.KAT;abstini;2;oa_4
abstin.0i.KAT;abstini;2;oa_4
abstin.0ulo;abstinulo;;NULL
abstin.0ulo.DIET;abstinulo;;NULL
abstra.0ajxo;abstraktaĵo;;NULL
abstra.0ajxo;abstrakto;;NULL
abstra.0ajxo.io;abstraktaĵo;;NULL
abstra.0ajxo.io;abstrakto;;NULL
abstra.0eco;abstrakteco;;NULL
abstra.0eco.stato;abstrakteco;;NULL
abstra.0igi;abstraktigi;;NULL
abstra.0igi.gxeneraligi;abstraktigi;;NULL
abstra.0ismo;abstraktismo;;NULL
abstra.0ismo.BELA;abstraktismo;;NULL
abstrah.0i;abstrahi;;NULL
abstrah.0i.simpligi;abstrahi;;NULL
absurd.0ajxo;absurdaĵo;;NULL
absurd.0ajxo;absurdo;;NULL
abudabi.A0o;Abudabio;;NULL
abudabi.A0o.GEOG;Abudabio;;NULL
abugx.0o;Abuĝo;;NULL
abund.0a;abunda;;NULL
abund.0a.je;abunda;2;NULL
abund.0i;abundi;;NULL
abund.0i.KOMUNE;abundi;;NULL
abund.0o;abundo;;NULL
abund.0o.KOMUNE;abundo;;NULL
abund.mal0i;malabundi;;NULL
abund.mal0i.KOMUNE;malabundi;;NULL
abund.mal0o;malabundo;;NULL
abund.mal0o.KOMUNE;malabundo;;NULL
abund.super0i;superabundi;;NULL
abund.super0i;troabundi;;NULL
abund.super0i.KOMUNE;superabundi;;NULL
abund.super0i.KOMUNE;troabundi;;NULL
abutil.0o;abutilo;;NULL
abutil.0o.genro;abutilo;;NULL
ac.0;-ac;;NULL
acerac.0oj;aceracoj;;NULL
acerb.0a;acerba;;NULL
acerb.0a.FIG;acerba;2;NULL
acerb.0a.sento;acerba;1;NULL
acetilhxolin.0o;acetilĥolino;;NULL
acetilhxolin.0o;acetilkolino;;NULL
acetilhxolin.0o.FIZL;acetilĥolino;;NULL
acetilhxolin.0o.FIZL;acetilkolino;;NULL
acid.amin0o;aminacido;;NULL
acid.amin0o;amina acido;;NULL
acid.amin0o.FIZL;aminacido;;NULL
acid.amin0o.FIZL;amina acido;;NULL
acid.desoksiribonuklea0o;desoksiribonuklea acido;;NULL
acid.desoksiribonuklea0o.GNT;desoksiribonuklea acido;;NULL
acid.karbon0o;karbonacido;;NULL
acid.nukle0o;nukleacido;;NULL
acid.nukle0o;nuklea acido;;NULL
acid.nukle0o;kernacido;;NULL
acid.nukle0o.GNT;nukleacido;;NULL
acid.nukle0o.GNT;nuklea acido;;NULL
acid.nukle0o.GNT;kernacido;;NULL
acid.ribonuklea0o;ribonuklea acido;;NULL
acid.ribonuklea0o.GNT;ribonuklea acido;;NULL
acx.0;aĉ;;oa_1
acx.0.KOMUNE;aĉ;;oa_1
acx.0igxi;aĉiĝi;;NULL
acx.0igxi.KOMUNE;aĉiĝi;;NULL
acx._0;-aĉ;;NULL
acx.mal0a;malaĉa;;NULL
acx.mal0a.KOMUNE;malaĉa;;NULL
acxet.0anto;aĉetanto;;NULL
acxet.0opovo;aĉetopovo;;NULL
acxet.0opovo;aĉetpovo;;NULL
acxet.0opovo.EKON;aĉetopovo;;NULL
acxet.0opovo.EKON;aĉetpovo;;NULL
acxet.re0i;reaĉeti;;NULL
acxet.sub0i;subaĉeti;;uv_A
acxet.sub0i;subaĉeti;;akkor_en
ad.0;-ad;;ekz_13
ad.0.subst_el_subst;-ad;1;ekz_13
ad.0.subst_el_verbo;-ad;2;ekz_13
ad.0.verbo_el_verbo;-ad;1;ekz_13
adalbert.0o;Adalberto;;NULL
adalbert.0o.NOM;Adalberto;;NULL
adan.0o;Adano;;NULL
adapt.0ebla;adaptebla;;NULL
adapt.0igxi;adaptiĝi;;NULL
adapt.0igxi.KOMUNE;adaptiĝi;;NULL
adapt.0o;adapto;;NULL
adasis.0o;adasismo;;NULL
adasis.0o.sufiksrimo;adasismo;;NULL
adenozin.0o;adenozino;;NULL
adher.0ajxo;adheraĵo;;NULL
adher.0ajxo.MAT;adheraĵo;2;NULL
adher.0ajxo.MED;adheraĵo;1;NULL
adiabat.0a;adiabata;;NULL
adiabat.0a.kvantuma;adiabata;2;NULL
adiabat.0a.termodinamika;adiabata;1;NULL
adiaux.0i;adiaŭi;;NULL
adici.0ato;adiciato;;NULL
adici.0ato.nombro;adiciato;;NULL
adici.matrica0o;matrica adicio;;NULL
adici.matrica0o.MAT;matrica adicio;;NULL
adici.polinoma0o;polinoma adicio;;NULL
adici.polinoma0o.MAT;polinoma adicio;;NULL
adigx.0o;Adiĝo;;NULL
adisabeb.0o;Adis-Abebo;;NULL
adisabeb.0o;Adisabebo;;NULL
adisabeb.0o.cxefurbo;Adis-Abebo;;NULL
adisabeb.0o.cxefurbo;Adisabebo;;NULL
adjekt.0igi;adjektivigi;;NULL
adjekt.0igi.GRA;adjektivigi;;NULL
adjudik.0i;adjudiki;;NULL
adjudik.0i.JUR;adjudiki;;NULL
adjudik.0o;adjudiko;;NULL
adjudik.0o.JUR;adjudiko;;NULL
admini.0a;administra;;NULL
admini.0a.rilata;administra;;NULL
admini.0anto;administranto;;NULL
admir.0a;admira;;NULL
admir.0a.PSI;admira;;NULL
admir.0inda;admirinda;;NULL
admir.0inda.PSI;admirinda;;NULL
admir.0o;admiro;;NULL
admir.0o.PSI;admiro;;NULL
admon.0i;admoni;;NULL
admon.0o;admono;;NULL
admon.Re0o;Readmono;;NULL
admon.de0i;deadmoni;;NULL
adob.0o;adobo;;NULL
adob.0o.KON;adobo;;NULL
adolesk.0a;adoleska;;NULL
adolt.0igxi;adoltiĝi;;NULL
adolt.0igxi.ekatingi;adoltiĝi;;NULL
adonis.0o;Adoniso;;NULL
adopt.0i;adopti;;NULL
ador.0ajxo;adoraĵo;;NULL
ador.0ajxo.FIG;adoraĵo;2;NULL
ador.0ajxo.REL;adoraĵo;1;NULL
ador.0anto;adoranto;;NULL
ador.0anto.FIG;adoranto;2;NULL
ador.0anto.REL;adoranto;1;NULL
adres.ret0o;retadreso;;NULL
adriatik.0o;Adriatiko;;NULL
adriatik.0o;Adriatika Maro;;NULL
adriatik.0o.GEOG;Adriatiko;;NULL
adriatik.0o.GEOG;Adriatika Maro;;NULL
adult.0a;adulta;;NULL
adult.0ado;adultado;;NULL
adult.0ajxo;adultaĵo;;NULL
adult.0ema;adultema;;NULL
adult.0igi;adultigi;;NULL
adult.0o;adulto;;NULL
adult.0ulo;adultulo;;NULL
adult.0ulo;adultulino;;NULL
advent.0ismo;Adventismo;;NULL
advent.0ismo.KRI;Adventismo;;NULL
advent.0isto;adventisto;;NULL
advent.0isto.KRI;adventisto;;NULL
adverb.0igi;adverbigi;;NULL
adverb.0igi.GRA;adverbigi;;NULL
adverb.lok0o;lokadverbo;;NULL
adverb.lok0o.GRA;lokadverbo;;NULL
advers.0a;adversa;;NULL
advers.0a.kontrauxa;adversa;;NULL
advers.0ulo;adversulo;;NULL
