caro;car.0o;沙皇[shā huáng]
cedema;ced.0ema.KOMUNE;下陷[xià xiàn]
cedema;ced.0ema.KOMUNE;松軟[sōng ruǎn]
cedema;ced.0ema.KOMUNE;迁就[qiān jiù]
cedemo;ced.0emo.KOMUNE;弹力[tán lì]
cedemo;ced.0emo.KOMUNE;縱容[zòng róng]
cedemo;ced.0emo.KOMUNE;柔順[róu shùn]
cedemo;ced.0emo.KOMUNE;柔和[róu hé]
cedi;ced.0i.malrezisti;退讓[tuì ràng]
cedi;ced.0i.malrezisti;耽溺[dān nì]
cedi;ced.0i.malrezisti;低头[dī tóu]
cedo;ced.0o.KOMUNE;轉讓[zhuǎn ràng]
cedo;ced.0o.KOMUNE;投降书[tóu xiáng shū]
malcedema;ced.mal0ema.KOMUNE;坚毅[jiān yì]
malcedema;ced.mal0ema.KOMUNE;不动摇[bù dòng yáo]
forcedi;ced.for0i.KOMUNE;逊[xùn]
forcedi;ced.for0i.KOMUNE;迁就[qiān jiù]
malcedi;ced.mal0i.KOMUNE;抗拒[kàng jù]
transcedi;ced.trans0i.KOMUNE;推[tuī]
cedro;cedr.0o;杉树[shān shù]
cedro;cedr.0o;西洋杉[xī yáng shān]
cedro;cedr.0o;杉[shā]
cedro;cedr.0o;杉[shān]
cefalopodoj;cefalo.0oj;头足纲[tóu zú gāng]
cejano;cejan.0o.BOT;矢車菊[shǐ chē jú]
cejana;;矢車菊藍[shǐ chē jú lán]
Cejlono;cejlon.0o;錫蘭[xí lán]
Cejlono;cejlon.0o;狮子国[shī zi guó]
cekumo;cekum.0o;盲肠[máng cháng]
cekumo;cekum.0o;闌尾[lán wěi]
celi;cel.0i.por_atingi;打拼[dǎ pīn]
celi;;瞄[miáo]
celi;cel.0i.por_atingi;其目的是[qí mù de shì]
celilo;cel.0ilo.ARM;瞄准设备[miáo zhǔn shè bèi]
celo;cel.0o.KOMUNE;宗[zōng]
celilo;;瞄准装置[miáo zhǔn zhuāng zhì]
laŭcela;;专用[zhuān yòng]
