fabo;fab.0o.BOT;蚕豆[cán dòu]
fabacoj;fabac.0oj;蝶形花亚科[dié xíng huā yà kē]
fabela;fabel.0a;极好[jí hǎo]
fabela;fabel.0a;美如童話[měi rú tóng huà]
fabela;fabel.0a;奇妙[qí miào]
fabelaro;fabel.0aro;故事书[gù shi shū]
fabelo;fabel.0o;神話故事[shén huà gù shì]
fabelo;fabel.0o;魔幻故事[mó huàn gù shì]
fabelo;fabel.0o;童話[tóng huà]
fabelo;fabel.0o;童話故事[tóng huà gù shì]
fablo;fabl.0o;空談[kōng tán]
fablo;fabl.0o;謊話[huǎng huà]
fablo;fabl.0o;捏造的事[niē zào de shì]
fablo;fabl.0o;寓言[yù yán]
fabrikanto;fabrik.0anto;厂家[chǎng jiā]
fabrikanto;fabrik.0anto;制造厂[zhì zào chǎng]
fabrikanto;fabrik.0anto;制作者[zhì zuò zhě]
fabriki;fabrik.0i;制做[zhì zuò]
fabriki;fabrik.0i;打造[dǎ zào]
fabriki;fabrik.0i;造[zào]
fabriki;fabrik.0i;生产[shēng chǎn]
fabriko;fabrik.0o;硙[wèi]
fabriko;fabrik.0o;工厂[gōng chǎng]
fabriko;fabrik.0o;工厂建筑[gōng chǎng jiàn zhù]
fabrikanto;fabrik.0anto;工厂主[gōng chǎng zhǔ]
fabrikanto;fabrik.0anto;制造者[zhì zào zhē]
pensfabriko;fabrik.pens0o;研究院[yán jiù yuàn]
pensfabriko;fabrik.pens0o;智囊机构[zhì náng jī gòu]
pensfabriko;fabrik.pens0o;智库[zhì kù]
fabulo;fabul.0o;情節[qíng jié]
faco;fac.0o;曲面[qū miàn]
interfaco;fac.inter0o;接口[jiē kǒu]
faceto;facet.0o;刻面[kè miàn]
faceto;facet.0o;小平面[xiǎo píng miàn]
faceto;facet.0o;洗炼[xǐ liàn]
faceto;facet.0o;磨屑[mó xiè]
multfaceta;facet.mult0a;多方位[duō fāng wèi]
multfaceta;facet.mult0a;花哨[huā shao]
facila;facil.0a;容易[róng yì]
facila;facil.0a;陋[lòu]
facila;facil.0a;浅近[qiǎn jìn]
facila;facil.0a;掞[shàn]
facila;facil.0a;十分方便[shí fēn fāng biàn]
faciligi;facil.0igi;简化[jiǎn huà]
faciligi;facil.0igi;精简[jīng jiǎn]
faciligi;facil.0igi;简[jiǎn]
malfacila;facil.mal0a;艰深[jiān shēn]
malfacila;;艰困[jiān kùn]
malfacila;;难[nán]
malfacilaĵo;facil.mal0ajxo;难点[nán diǎn]
malfacilaĵo;facil.mal0ajxo;难处[nán chu]
malfacilaĵo;facil.mal0ajxo;困难[kùn nan]
malfaciligi;facil.mal0igi;悮[wù]
malfaciligi;facil.mal0igi;悞[wù]
malfaciligi;facil.mal0igi;刁难[diāo nàn]
fadi;fad.0i.FIG;淡化[dàn huà]
fadenaro;faden.0aro.TEKS;網狀物質[wǎng zhuàng wù zhì]
fadenaro;faden.0aro.TEKS;血管網[xuè guǎn wǎng]
fadenaro;faden.0aro.TEKS;神經叢[shén jīng cóng]
fadenaro;faden.0aro.TEKS;網狀組織[wǎng zhuàng zǔ zhī]
fadenaro;faden.0aro.TEKS;争持[zhēng chí]
fadenaro;faden.0aro.TEKS;緶[biàn]
fadenaro;faden.0aro.TEKS;紽[tuó]
fadenero;faden.0ero.TEKS;細線[xì xiàn]
fadenigi;faden.0igi;紡[fǎng]
fadenigi;faden.0igi;紡紗[fǎng shā]
fadenigi;faden.0igi;狂想[kuáng xiǎng]
fadenigi;faden.0igi;冥想[míng xiǎng]
fadeno;faden.0o.FIG;編飾[biān shì]
fadeno;faden.0o.FIG;纏盤[chán pán]
fadeno;faden.0o.FIG;合股線[hé gǔ xiàn]
fadeno;faden.0o.FIG;縷[lǚ]
fadeno;faden.0o.FIG;編結[biān jié]
fadeno;faden.0o.FIG;丝状物[sī zhuàng wù]
metalfadeno;faden.metal0o;線材[xiàn cái]
metalfadeno;faden.metal0o;鋼絲[gāng sī]
metalfadeno;faden.metal0o;金属丝[jīn shǔ sī]
metalfadeno;faden.metal0o;金属线[jīn shǔ xiàn]
metalfadeno;faden.metal0o;电线[diàn xiàn]
pensfadeno;faden.pens0o;思路[sī lù]
pensfadeno;faden.pens0o;一串想法[yī chuàn xiǎng fǎ]
pensfadeno;faden.pens0o;思緒[sī xù]
plumbofadeno;faden.plumbo0o;焊料[hàn liào]
plumbofadeno;faden.plumbo0o;蓝线[lán xiàn]
ruĝa fadeno;faden.rugxa0o.KOMUNE;基本思想[jī běn sī xiǎng]
ruĝa fadeno;faden.rugxa0o.KOMUNE;統綱[tǒng gāng]
ruĝa fadeno;faden.rugxa0o.KOMUNE;大意[dài yì]
fago;fag.0o;榉木[jǔ mù]
fago;fag.0o;山毛榉[shān máo jǔ]
fagocito;fagoci.0o;吞噬細胞[tūn shì xì bāo]
fagopiro;fagopi.0o;荞[qiáo]
fagoto;fagot.0o;低音管[dī yīn guǎn]
fagoto;fagot.0o;巴松[bā sōng]
fajencaĵo;;炻[shí]
fajencaĵo;;窰[yáo]
fajenco;fajenc.0o.VAZ;炻[shí]
fajfi;fajf.0i;口哨儿[kǒu shào r]
fajfi;fajf.0i;啸[xiào]
fajfilo;fajf.0ilo;哨子[shào zi]
fajfo;fajf.0o;尖叫声[jiān jiào shēng]
fajlaĵo;fajl.0ajxo;鋼板切邊[gāng bǎn qiē biān]
fajlaĵo;fajl.0ajxo;切屑[qiē xiè]
fajlaĵo;fajl.0ajxo;剉屑[cuò xiè]
fajlaĵo;fajl.0ajxo;屑[xiè]
fajli;fajl.0i;銼[cuò]
