Habsburgoj;habsburg.0oj.dinastio;奥地利哈布斯堡王朝[ào dì lì hā bù sī bǎo wáng cháo]
Habsburgoj;habsburg.0oj.dinastio;哈布斯堡王朝[hā bù sī bǎo wáng cháo]
Hadeso;hades.0o;哈底斯[hā dǐ sī]
hadiso;hadis.0o;圣训[shèng xùn]
hadrono;hadron.0o;強子[qiáng zǐ]
hafnio;hafni.0o;鉿[hā]
Hago;hag.H0o;海牙[hǎi yá]
haĝo;hagx.0o;朝覲[cháo jǐn]
haĝulo;hagx.0ulo;哈只[hā zhī]
Haitio;haiti.0o.sxtato;海地[hǎi dì]
Hajderabado;hajderabad.0o;海得拉巴[hǎi dé lā bā]
Hajderabado;hajderabad.0o;海得拉巴[hǎi de lā bā]
Hajfongo;hajfong.0o.havenurbo;海防[hǎi fáng]
Hajfongo;hajfong.0o.havenurbo;海防市[hǎi fáng shì]
hajko;hajk.0o;俳句[pái jù]
hajli;hajl.0i;下雹[xià báo]
hajli;hajl.0i;下冰雹[xià bīng báo]
hajlo;hajl.0o;霰弹[xiàn dàn]
hajlo;hajl.0o;雹[báo]
hajlo;hajl.0o;雹子[báo zi]
haki;hak.0i.trancxi;侵截[qīn jié]
haki;hak.0i.trancxi;鋤地[chú dì]
haki;hak.0i.trancxi;剁碎[duò suì]
haki;hak.0i.trancxi;鐝[jué]
haki;hak.0i.trancxi;劈[pī]
haki;hak.0i.trancxi;切碎[qiē suì]
haki;hak.0i.trancxi;砍[kǎn]
hakilo;hak.0ilo.klingo;鈇[fū]
hakilo;hak.0ilo.klingo;斨[qiāng]
hakilo;hak.0ilo.klingo;斧子[fǔ zǐ]
batalhakilo;;鈅[yuè]
batalhakilo;;戉[yuè]
dehaki;;砍下[kǎn xià]
dehaki;;斩[zhǎn]
halo;hal.0o;庭[tíng]
halo;hal.0o;殿堂[diàn táng]
enirhalo;;門廳[mén tīng]
enirhalo;;大堂[dà táng]
sporthalo;;室內體育場[shì nèi tǐ yù chǎng]
sporthalo;;运动馆[yùn dòng guǎn]
sporthalo;;体育馆[tǐ yù guǎn]
haladzo;haladz.0o;汗[hàn]
haladzo;haladz.0o;氛[fēn]
haladzo;;烟[yān]
haladzo;;烟气[yān qì]
haladzo;;烟雾[yān wù]
halebardo;haleba.0o;戵[qú]
halebardo;haleba.0o;戟[jǐ]
halebardo;haleba.0o;大刀[dà dāo]
haleluja;halelu.0;哈利路亚[hā lì lù yà]
haleluja;halelu.0;哈裡路亞[hā lǐ lù yà]
Halepo;halep.0o;阿勒頗[ā lēi pō]
haliaeto;haliaet.0o;海鵰[hǎi diāo]
Halifakso;halifaks.0o;哈利法克斯[hā lì fǎ kè sī]
halioto;haliot.0o;鮑魚[bào yú]
haloo;;晕轮效应[yūn lún xiào yìng]
halogeno;haloge.0o;卤族化合物[lǔ zú huà hé wù]
Haloveno;haloven.0o;万圣节前夜[wàn shèng jié qián yè]
Haloveno;haloven.0o;万圣夜[wàn shèng yè]
Haloveno;haloven.0o;大瓜節[dà guā jié]
haltejo;halt.0ejo;站[zhàn]
haltejo;halt.0ejo;停靠站[tíng kào zhàn]
haltejo;halt.0ejo;巴士站[bā shì zhàn]
haltejo;halt.0ejo;泊車場所[bó chē chǎng suǒ]
haltejo;halt.0ejo;出租車候車處[chū zū chē hòu chē chù]
haltejo;halt.0ejo;停車場[tíng chē chǎng]
haltejo;halt.0ejo;断点[duàn diǎn]
halti;;停車[tíng chē]
halti;;停止[tíng zhǐ]
halti;;停下來[tíng xia lai]
halti;;止[zhǐ]
halti;;煞[shā]
haltigi;halt.0igi;捉拿[zhuō ná]
haltigi;;信守[xìn shǒu]
haltigi;;含[hán]
haltigilo;halt.0igilo;刹挚[chà zhì]
haltigilo;halt.0igilo;刹车闸[shā chē zhá]
haltigilo;halt.0igilo;制动机构[zhì dòng jī gòu]
haltigilo;halt.0igilo;牛蝇[niú yíng]
haltigilo;halt.0igilo;牛虻[niú méng]
haltigilo;halt.0igilo;蜚[fěi]
haltigilo;halt.0igilo;制动器[zhì dòng qì]
halto;halt.0o;小站[xiǎo zhàn]
halto;halt.0o;拿着[ná zhe]
halto;halt.0o;停頓[tíng dùn]
halto;halt.0o;頑固[wán gù]
antaŭhaltigi;halt.antaux0igi;毖[bì]
antaŭhaltigi;halt.antaux0igi;杜[dù]
aŭtobushaltejo;halt.auxtobus0ejo;停站[tíng zhàn]
aŭtobushaltejo;halt.auxtobus0ejo;汽車站[qì chē zhàn]
aŭtobushaltejo;halt.auxtobus0ejo;公共汽車站[gōng gòng qì chē zhàn]
aŭtobushaltejo;halt.auxtobus0ejo;車站[chē zhàn]
bushaltejo;halt.bus0ejo;停站[tíng zhàn]
bushaltejo;halt.bus0ejo;汽車站[qì chē zhàn]
bushaltejo;halt.bus0ejo;公共汽車站[gōng gòng qì chē zhàn]
bushaltejo;halt.bus0ejo;車站[chē zhàn]
metrohaltejo;halt.metro0ejo;地鐵車站[dì tiě chē zhàn]
metrohaltejo;halt.metro0ejo;地鐵站[dì tiě zhàn]
nehaltigebla;;势不可挡[shì bù kě dàng]
nehaltigebla;;銳不可當[ruì bù kě dāng]
nehaltigebla;;不能抵抗[bù néng dǐ kàng]
nehaltigebla;;不可阻挡[bù kě zǔ dǎng]
nehaltigebla;;留不住[liú bú zhù]
nehaltigebla;;好玩儿[hǎo wán r]
senhalta;halt.sen0a;一口气地[yī kǒu qì de]
senhalta;halt.sen0a;不輟[bù chuò]
senhalta;halt.sen0a;寻[xún]
senhalta;halt.sen0a;接二连三[jiē èr lián sān]
haltero;halter.0o;哑铃[yǎ líng]
halucino;haluci.0o;幻覺[huàn jué]
halucino;haluci.0o;夢幻[mèng huàn]
halucinacio;halucinaci.0o;幻覺[huàn jué]
hamamelido;hamamelid.0o;金縷梅科[jīn lǚ méi kē]
Hamburgo;hamburg.H0o;汉堡市[hàn bǎo shì]
hamburgero;hamburger.0o;汉堡包[hàn bǎo bāo]
hamburgero;hamburger.0o;汉堡[hàn bǎo]
Hameleno;hamelen.0o;哈梅恩[hā méi ēn]
Hamleto;hamlet.0o;哈姆莱特[hā mǔ lái tè]
Hamleto;hamlet.0o;哈姆雷特[hā mǔ léi tè]
Novhampŝiro;;新罕布夏州[xīn hǎn bù xià zhōu]
Novhampŝiro;;新罕布什尔州[xīn hǎn bù shí ěr zhōu]
hamstri;hamstr.0i;囤积[tún jī]
hamstro;hamstr.0o;仓鼠[cāng shǔ]
Hamurabo;hamurab.0o;汉谟拉比[hàn mó lā bǐ]
handbalisto;handbal.0isto;巴掌[bā zhǎng]
handbalo;handbal.0o;手球[shǒu qiú]
handikapi;handikap.0i;受歧視[shòu qí shì]
handikapi;handikap.0i;受到亏待[shòu dào kuī dài]
handikapi;handikap.0i;笥[sì]
handikapo;handikap.0o;不公平[bù gōng píng]
handikapo;handikap.0o;不公正[bù gōng zhèng]
handikapo;handikap.0o;歧視[qí shì]
handikapo;handikap.0o;身心障碍者[shēn xīn zhàng ài zhě]
handikapo;handikap.0o;残疾[cán jí]
Hangĝoŭo;;杭州湾跨海大桥[háng zhōu wān kuà hǎi dà qiáo]
Hangĝoŭo;;杭州市[háng zhōu shì]
Hanibalo;hanibal.0o;汉尼拔[hàn ní bá]
Hanojo;hanoj.0o;河內市[hé nèi shì]
Hanojo;hanoj.0o;河內[hé nèi]
Hanovro;hanovr.0o.urbo;汉诺威[hàn nuò wēi]
hanso;hans.0o;汉萨同盟[hàn sà tóng méng]
hanti;hant.0i;侵袭[qīn xí]
hararo;har.0aro;髪[fà]
hararo;har.0aro;头发[tóu fa]
harego;har.0ego;刚毛[gāng máo]
harego;har.0ego;鬣[liè]
harŝprucaĵo;;发胶[fà jiāo]
harŝprucaĵo;;喷发胶[pēn fà jiāo]
harligo;har.0ligo;发辫[fǎ biàn]
harligo;har.0ligo;辫[biàn]
harligo;har.0ligo;辫子[biàn zi]
harligo;har.0ligo;馬尾辮[mǎ wěi biàn]
haro;har.0o;髪[fà]
haro;har.0o;发[fà]
harplektaĵo;har.0plektajxo;发辫[fǎ biàn]
harplektaĵo;har.0plektajxo;辫[biàn]
harplektaĵo;har.0plektajxo;辫子[biàn zi]
harplektaĵo;har.0plektajxo;馬尾辮[mǎ wěi biàn]
harstariga;har.0stariga;恐惧[kǒng jù]
harstariga;har.0stariga;发指[fǎ zhǐ]
harstariga;har.0stariga;駭人聽聞[hài rén tīng wén]
kolhararo;har.kol0aro;鬣[liè]
kolharoj;;馬鬃[mǎ zōng]
liphararo;har.lip0aro;胡[hú]
liphararo;har.lip0aro;髭须[zī xū]
okulharo;har.okul0o;睫[jié]
senhara;har.sen0a;痜[tū]
senhara;har.sen0a;未修飾[wèi xiū shì]
senhara;har.sen0a;不毛[bù máo]
senhara;har.sen0a;无毛[wú máo]
senhara;har.sen0a;禿[tū]
senhara;har.sen0a;兀[wù]
vangharoj;har.vang0oj;腮須[sāi xū]
vangharoj;har.vang0oj;髥[rán]
vangharoj;har.vang0oj;髯[rán]
vangharoj;har.vang0oj;胡须[hú xū]
Hararo;harar.0o;哈拉雷[hā la léi]
Harco;harc.0o;哈茨山[hā cí shān]
hardado;hard.0ado.KOMUNE;养成习惯[yǎng chéng xí guàn]
hardado;hard.0ado.KOMUNE;強化[qiáng huà]
hardi;hard.0i.FIG;焠[cuì]
hardi;hard.0i.FIG;实体化[shí tǐ huà]
hardiĝi;hard.0igxi.KOMUNE;使硬化[shǐ yìng huà]
hardiĝi;hard.0igxi.KOMUNE;磨炼[mó liàn]
harditeco;hard.0iteco;严重性[yán zhòng xìng]
hardeco;hard.0iteco;硬度[yìng dù]
haremo;harem.0o;閨房里的妻妾群[guī fáng lǐ de qī qiè qún]
haremo;harem.0o;閨房[guī fáng]
Hariano;harian.0o;哈裡亞納邦[hā lǐ yà nà bāng]
haringo;haring.0o;鯡魚[fèi yú]
haringo;haring.0o;青魚[qīng yú]
haringo;haring.0o;鰽[qiú]
Harlemo;harlem.H0o;哈琳[hā lín]
Harlemo;harlem.H0o;哈莱姆区[hā lái mǔ qū]
harmono;harmon.0o;倍頻[bèi pín]
harmonia;harmon1.0a;龢[hé]
harmonia;harmon1.0a;諧波[xié bō]
harmonia;harmon1.0a;雝[yōng]
harmonia;harmon1.0a;諧[xié]
harmonia;harmon1.0a;喈[jiē]
harmonia;harmon1.0a;勰[xié]
harmonia;harmon1.0a;投洽[tóu qià]
harmonia;harmon1.0a;和美[hé měi]
harmonia;harmon1.0a;廱[yōng]
harmonia;harmon1.0a;邕[yōng]
harmonia;harmon1.0a;融洽[róng qià]
harmonia;harmon1.0a;和諧的[hé xié de]
harmonia;harmon1.0a;睦和[mù hé]
harmonia;harmon1.0a;协和[xié hé]
harmonia;harmon1.0a;雍[yōng]
harmonii;harmon1.0i;和睦相处[hé mù xiāng chǔ]
harmonii;harmon1.0i;龤[xié]
harmoniigi;harmon1.0igi;諧調[xié tiáo]
harmoniigi;harmon1.0igi;协调[xié tiáo]
harmoniigi;harmon1.0igi;調和[tiáo hè]
harmonio;harmon1.0o;雍[yōng]
harmonio;harmon1.0o;和睦[hé mù]
harmonio;harmon1.0o;和諧[hé xié]
malharmonio;harmon1.mal0o;不諧和音[bù xié hè yīn]
malharmonio;harmon1.mal0o;刺耳的声音[cì ěr de shēng yīn]
malharmonio;harmon1.mal0o;不調和[bù tiáo hé]
malharmonio;harmon1.mal0o;不一致[bù yī zhì]
harmoniko;harmon2.0o.SCI;和声[hé shēng]
buŝharmoniko;harmon2.busx0o;口琴[kǒu qín]
frapharmoniko;harmon2.frap0o;木琴[mù qín]
tirharmoniko;harmon2.tir0o;手風琴[shǒu fēng qín]
harniso;harnis.0o;挽具[wǎn jù]
harpo;harp.0o;竖琴[shù qín]
harpio;harpi.0o.ZOO;角雕[jiǎo diāo]
harpuni;harpun.0i;魚叉[yú chā]
hasta;hast.0a;慌张地[huāng zhāng de]
hasta;hast.0a;貿然[mào rán]
hasta;hast.0a;仓猝[cāng cù]
hasta;hast.0a;匆[cōng]
hasta;hast.0a;急促[jí cù]
hasta;hast.0a;孟浪[mèng làng]
hasta;hast.0a;慌忙[huāng máng]
hastema;;孟浪[mèng làng]
hastema;;性急[xìng jí]
hastema;;易怒[yì nù]
hastema;;輕率[qīng shuài]
hasti;hast.0i;头在前[tóu zài qián]
hasti;hast.0i;头朝下[tóu cháo xià]
hasti;hast.0i;过于匆忙[guò yú cōng máng]
hasti;hast.0i;髞[zào]
hastigi;hast.0igi;催促[cuī cù]
hastigi;hast.0igi;鞭策[biān cè]
hastigi;hast.0igi;鞭茦[biān cè]
hastigi;hast.0igi;推[tuī]
malhasta;hast.mal0a;安閒[ān xián]
malhasta;hast.mal0a;悠然[yōu rán]
malhasta;hast.mal0a;逍[xiāo]
malhasta;hast.mal0a;慢条斯理[màn tiáo sī lǐ]
malhasta;hast.mal0a;悠[yōu]
malhasta;hast.mal0a;劮[yì]
haŝiŝo;hasxisx.0o;大麻[dà má]
hati;hat.0i;憎[zēng]
hati;hat.0i;恨死[hèn sǐ]
hati;hat.0i;堲[jí]
hati;hat.0i;忌恨[jì hèn]
hati;hat.0i;厌恨[yàn hèn]
haŭbizo;hauxbi.0o;榴弹炮[liú dàn pào]
haŭli;hauxl.0i;拽[yè]
haŭli;hauxl.0i;搲[wà]
haŭli;hauxl.0i;拖带[tuō dài]
haŭlisto;;縴夫[qiàn fū]
haŭso;hauxs.0o.borsa;牛市[niú shì]
haŭli;;縴夫[qiān fū]
malhaŭso;hauxs.mal0o.borsa;長時間的強烈下跌[cháng shí jiān de qiáng liè xià diē]
haŭsero;hauxser.0o;纜索[lǎn suǒ]
haŭsero;hauxser.0o;纜[lǎn]
haŭsero;hauxser.0o;纜繩[lǎn shéng]
haŭto;hauxt.0o;皮肤[pí fū]
haŭto;hauxt.0o;膜[mó]
haŭto;hauxt.0o;体被[tǐ bèi]
anserhaŭto;hauxt.anser0o;雞皮疙瘩[jī pí gē da]
senhaŭtigi;;去皮[qù pí]
senhaŭtigi;;剝皮[bō pí]
havebla;hav.0ebla.KOMUNE;可处理[kě chǔ lǐ]
havebla;hav.0ebla.KOMUNE;可支配[kě zhī pèi]
havebla;hav.0ebla.KOMUNE;可使用[kě shǐ yòng]
havebla;hav.0ebla.KOMUNE;液[yè]
havebla;;可买到[kě mǎi dào]
havema;hav.0ema.KOMUNE;猪一般地[zhū yì bān de]
havema;hav.0ema.KOMUNE;貪得無厭[tān dé wú yàn]
