Pablo;pabl.0o;帕布罗[pà bù luō],帕布羅[pà bù luō]
paca;pac.0a;和平[hé píng]
paca;pac.0a;恬静[tián jìng],恬靜[tián jìng]
paca;pac.0a;闟[xī]
paca;pac.0a;敉[mǐ]
paca;pac.0a;安宁[ān níng],安寧[ān níng]
paca;pac.0a;宁[níng],寧[níng]
paca;pac.0a;倓[tán]
paca;pac.0a;安謐[ān mì],安谧[ān mì]
paca;pac.0a;恬[tián]
paca;pac.0a;泰[tài]
paca;pac.0a;澹[dàn]
paca;pac.0a;安静[ān jìng],安靜[ān jìng]
paca;pac.0a;平[píng]
paca;pac.0a;和睦[hé mù]
pacema;pac.0ema;和平主义[hé píng zhǔ yì],和平主義[hé píng zhǔ yì]
pacema;pac.0ema;温和[wēn hé],溫和[wēn hé]
pacema;pac.0ema;愛和平[ài hé píng],爱和平[ài hé píng]
pacema;pac.0ema;愛好和平[ài hào hé píng],爱好和平[ài hào hé píng]
pacema;pac.0ema;避免冲突[bì miǎn chōng tú],避免衝突[bì miǎn chōng tú]
pacigi;pac.0igi;平定[píng dìng]
pacigi;pac.0igi;綏[suí],绥[suí]
paciĝi;pac.0igxi;和解[hé jiě]
paciĝi;pac.0igxi;言归于好[yán guī yú hǎo],言歸於好[yán guī yú hǎo]
paciĝi;pac.0igxi;和好[hé hǎo]
paciĝi;pac.0igxi;講和[jiǎng hé],讲和[jiǎng hé]
pacisto;pac.0isto;反战论者[fǎn zhàn lùn zhě],反戰論者[fǎn zhàn lùn zhě]
pacisto;pac.0isto;和平主义者[hé píng zhǔ yì zhě],和平主義者[hé píng zhǔ yì zhě]
pacisto;pac.0isto;不抵抗主义者[bù dǐ kàng zhǔ yì zhě],不抵抗主義者[bù dǐ kàng zhǔ yì zhě]
malpacema;pac.mal0ema;好斗[hǎo dòu]
malpacema;pac.mal0ema;恋战[liàn zhàn],戀戰[liàn zhàn]
malpacema;pac.mal0ema;好争吵[hǎo zhēng chǎo],好爭吵[hǎo zhēng chǎo]
malpaceto;pac.mal0eto;争议[zhēng yì],爭議[zhēng yì]
malpaceto;pac.mal0eto;小冲突[xiǎo chōng tū],小衝突[xiǎo chōng tū]
malpaceto;pac.mal0eto;争吵[zhēng chǎo],爭吵[zhēng chǎo]
malpaceto;pac.mal0eto;争端[zhēng duān],爭端[zhēng duān]
malpaceto;pac.mal0eto;糾紛[jiū fēn],纠纷[jiū fēn]
malpaceto;pac.mal0eto;舋[xìn]
malpaceto;pac.mal0eto;轇[jiū]
malpaceto;pac.mal0eto;互不信任[hù bù xìn rèn]
malpaceto;pac.mal0eto;絕交[jué jiāo],绝交[jué jiāo]
malpaceto;pac.mal0eto;針鋒相對[zhēn fēng xiāng duì],针锋相对[zhēn fēng xiāng duì]
malpaci;pac.mal0i;交战[jiāo zhàn],交戰[jiāo zhàn]
malpaco;pac.mal0o;战争[zhàn zhēng],戰爭[zhàn zhēng]
repacigi;pac.re0igi;調和[tiáo hé],调和[tiáo hé]
repaciĝi;pac.re0igxi;和好[hé hǎo]
repaciĝi;pac.re0igxi;和解[hé jiě]
repacigi;;調解[tiáo jiě],调解[tiáo jiě]
pacienca;pacien.0a;耐心[nài xīn]
pacienci;pacien.0i;等一会[děng yī huì],等一會[děng yī huì]
pacienci;pacien.0i;忍耐[rěn nài]
pacienco;pacien.0o;耐心[nài xīn]
pacienco;pacien.0o;忍耐[rěn nài]
pacienco;pacien.0o;耐性[nài xìng]
pacienco;pacien.0o;耐心烦[nài xīn fán],耐心煩[nài xīn fán]
malpacienca;pacien.mal0a;不耐烦[bù nài fán],不耐煩[bù nài fán]
malpacienca;pacien.mal0a;心切[xīn qiè]
malpacienca;pacien.mal0a;躁[zào]
malpacienca;pacien.mal0a;心急[xīn jí]
malpacienca;pacien.mal0a;急吼吼[jí hǒu hǒu]
malpacienca;pacien.mal0a;悁[juàn]
malpacienca;pacien.mal0a;焦躁[jiāo zào]
malpacienca;pacien.mal0a;猴急[hóu jí]
malpacienco;pacien.mal0o;不耐烦[bù nài fán],不耐煩[bù nài fán]
senpacienciĝi;pacien.sen0igxi;不耐烦了[bù nài fán liǎo],不耐煩了[bù nài fán liǎo]
