rabaĵo;rab.0ajxo;贓[zāng],赃[zāng]
rabejo;rab.0ejo;匪巢[fěi cháo]
rabi;rab.0i;剽[piāo]
rabi;rab.0i;打劫[dǎ jié]
rabi;rab.0i;盗[dào],盜[dào]
rabisto;rab.0isto;土匪[tǔ fěi]
rabisto;rab.0isto;匪[fěi]
rabisto;rab.0isto;盗贼[dào zéi],盜賊[dào zéi]
rabisto;rab.0isto;山賊[shān zéi],山贼[shān zéi]
disrabi;rab.dis0i;打劫[dǎ jié]
disrabi;rab.dis0i;掠取[lu:è qǔ]
disrabi;rab.dis0i;劫掠[jié lu:è]
disrabi;rab.dis0i;攫夺[jué duó],攫奪[jué duó]
disrabi;rab.dis0i;盗[dào],盜[dào]
forrabi;rab.for0i;綁架[bǎng jià],绑架[bǎng jià]
forrabi;rab.for0i;劫持[jié chí]
forrabi;rab.for0i;綁走[bǎng zǒu],绑走[bǎng zǒu]
prirabi;rab.pri0i;剽[piāo]
temporaba;rab.tempo0a;耗时[hào shí],耗時[hào shí]
temporaba;rab.tempo0a;費時[fèi shí],费时[fèi shí]
temporaba;rab.tempo0a;耗費時間[hào fèi shí jiān],耗费时间[hào fèi shí jiān]
rabarbo;rabarb.0o;大黃[dà huáng],大黄[dà huáng]
rabati;rabat.0i;降价[jiàng jià],降價[jiàng jià]
rabati;rabat.0i;减价[jiǎn jià],減價[jiǎn jià]
rabati;rabat.0i;打折[dǎ zhé]
rabato;rabat.0o;折扣[zhé kòu]
rabato;rabat.0o;打折[dǎ zhé]
rabato;rabat.0o;折[zhé]
rabato;rabat.0o;降价[jiàng jià],降價[jiàng jià]
Rabato;rabat1.0o;拉巴特[Lā bā tè]
rabeno;raben.0o;拉比[lā bǐ]
rabeno;raben.0o;辣彼[là bǐ]
rabia;rabi.0a;气冲冲[qì chōng chōng],氣沖沖[qì chōng chōng]
rabia;rabi.0a.furioza;气愤[qì fèn],氣憤[qì fèn]
rabia;rabi.0a.furioza;瘈[jì]
rabia;rabi.0a.furioza;猖狂[chāng kuáng]
rabio;rabi.0o.furiozo;恚[huì]
rabio;rabi.0o.furiozo;大发脾气[dà fā pí qi],大發脾氣[dà fā pí qi]
rabio;rabi.0o.malsano;狂犬病[kuáng quǎn bìng]
raboti;rabot.0i;刨[bào]
rabotilo;rabot.0ilo;刨[bào]
racia;raci.0a;理性[lǐ xìng]
racia;raci.0a;理智[lǐ zhì]
racia;raci.0a;合理[hé lǐ]
racieco;raci.0eco;合理性[hé lǐ xìng]
racieco;raci.0eco;理性[lǐ xìng]
raciismo;raci.0ismo;理性主义[lǐ xìng zhǔ yì],理性主義[lǐ xìng zhǔ yì]
raciismo;raci.0ismo;欧洲理性主义[ōu zhōu lǐ xìng zhǔ yì],歐洲理性主義[ōu zhōu lǐ xìng zhǔ yì]
racio;raci.0o;情理[qíng lǐ]
racio;raci.0o;理性[lǐ xìng]
racio;raci.0o;事理[shì lǐ]
raciono;racio5.0o;有理数[yǒu lǐ shù],有理數[yǒu lǐ shù]
racionalo;racion.0o;有理数[yǒu lǐ shù],有理數[yǒu lǐ shù]
neracionalo;racion.ne0o;无理数[wú lǐ shù],無理數[wú lǐ shù]
racionalismo;racion2.0o;理性主义[lǐ xìng zhǔ yì],理性主義[lǐ xìng zhǔ yì]
racionalismo;racion2.0o;欧洲理性主义[ōu zhōu lǐ xìng zhǔ yì],歐洲理性主義[ōu zhōu lǐ xìng zhǔ yì]
radaro;radar.0o;雷达[léi dá],雷達[léi dá]
radaro;radar.0o;雷达设备[léi dá shè bèi],雷達設備[léi dá shè bèi]
rado;rad.0o;輪子[lún zi],轮子[lún zi]
rado;rad.0o;毂[gū],轂[gū]
rado;rad.0o;車輪[chē lún],车轮[chē lún]
radradio;rad.0radio;輻[fú],辐[fú]
radradio;rad.0radio;挠骨[náo gǔ],撓骨[náo gǔ]
radradio;rad.0radio;車條[chē tiáo],车条[chē tiáo]
radrondo;rad.0rondo;輪胎鋼圈[lún tāi gāng quān],轮胎钢圈[lún tāi gāng quān]
radrondo;rad.0rondo;輪胎鋼板[lún tāi gāng bǎn],轮胎钢板[lún tāi gāng bǎn]
radrondo;rad.0rondo;鋼圈[gāng quān],钢圈[gāng quān]
radrondo;rad.0rondo;輪輞[lún wǎng],轮辋[lún wǎng]
radrondo;rad.0rondo;輪緣[lún yuán],轮缘[lún yuán]
dentrado;rad.dent0o;齒輪[chǐ lún],齿轮[chǐ lún]
inercirado;rad.inerto0o;飛輪[fēi lún],飞轮[fēi lún]
spektoradego;rad.spekto0ego;摩天輪[mó tiān lún],摩天轮[mó tiān lún]
spektoradego;rad.spekto0ego;鐵輪[tiě lún],铁轮[tiě lún]
ŝpinrado;;紡車[fǎng chē],纺车[fǎng chē]
radiado;radi.0ado;日射[rì shè]
radiado;radi.0ado;輻射[fú shè],辐射[fú shè]
radii;radi.0i;放射[fàng shè]
radii;radi.0i.FIG;粲[càn]
radii;radi.0i.FIG;喜洋洋[xǐ yáng yáng]
radii;radi.0i.disiri;放射[fàng shè]
radii;radi.0i.disiri;发亮[fā liàng],發亮[fā liàng]
radii;radi.0i.disiri;发光[fā guāng],發光[fā guāng]
radii;radi.0i.elsendi;粲[càn]
radii;radi.0i.elsendi;放射[fàng shè]
radio;radi.0o.brila;光芒[guāng máng]
radio;radi.0o.discelanta;光亮度[guāng liàng dù]
radio;radi.0o.discelanta;桴[fú]
radio;radi.0o.duonrekto;射線[shè xiàn],射线[shè xiàn]
radio;radi.0o.radioaparato;广播[guǎng bō],廣播[guǎng bō]
radio;radi.0o.radioaparato;收音机[shōu yīn jī],收音機[shōu yīn jī]
radio;radi.0o.radioaparato;无线电收发设备[wú xiàn diàn shōu fā shè bèi],無線電收發設備[wú xiàn diàn shōu fā shè bèi]
radio;radi.0o.radioaparato;无线电广播[wú xiàn diàn guǎng bō],無線電廣播[wú xiàn diàn guǎng bō]
radio;radi.0o.radioaparato;电台[diàn tái],電臺[diàn tái]
radio;radi.0o.radioaparato;无线电接收机[wú xiàn diàn jiē shōu jī],無線電接收機[wú xiàn diàn jiē shōu jī]
radio;radi.0o.radioaparato;电台[diàn tái],電台[diàn tái]
radiano;radian.0o;弪[jìng],弳[jìng]
radiano;radian.0o;弧度[hú dù]
radiano;radian.0o;弪度[jìng dù],弳度[jìng dù]
radiatoro;radiat.0o;散热器[sàn rè qì],散熱器[sàn rè qì]
radika;radik.0a.FIG;根本[gēn běn]
radikaro;radik.0aro.BOT;根系[gēn xì]
radiki;radik.0i.en;扎根[zhā gēn]
radiki;radik.0i.en;渐增[jiān zēng],漸增[jiān zēng]
radiki;radik.0i.en;有根[yǒu gēn]
radikilo;radik.0ilo;根号[gēn hào],根號[gēn hào]
radikilo;radik.0ilo;开方符号[kāi fāng fú hào],開方符號[kāi fāng fú hào]
radiko;radik.0o.BOT;根部[gēn bù]
radiko;radik.0o.FIG;起源[qǐ yuán]
radiko;radik.0o.FIG;祸胎[huò tāi],禍胎[huò tāi]
radiko;radik.0o.FIG;症结[zhēng jié],癥結[zhēng jié]
radiko;radik.0o.MAT;根[gēn]
radiko;radik.0o.MAT;根数[gēn shù],根數[gēn shù]
radiksigno;radik.0signo;根号[gēn hào],根號[gēn hào]
radiksigno;radik.0signo;开方符号[kāi fāng fú hào],開方符號[kāi fāng fú hào]
elradiki;radik.el0i;拔根[bá gēn]
elradiki;radik.el0i;连根拔起[lián gēn bá qǐ],連根拔起[lián gēn bá qǐ]
elradiki;radik.el0i;连根拔除[lián gēn bá chú],連根拔除[lián gēn bá chú]
elradikigi;radik.el0igi.FIG;扑灭[pū miè],撲滅[pū miè]
elradikigi;radik.el0igi.FIG;剪除[jiǎn chú]
elradikigi;radik.el0igi.FIG;根絕[gēn jué],根绝[gēn jué]
elradikigi;radik.el0igi.FIG;根除[gēn chú]
elradikigi;radik.el0igi.FIG;殄[tiǎn]
elradikigi;radik.el0igi.FIG;殪[yì]
elradikigi;radik.el0igi.FIG;閷[shā]
elradikigi;radik.el0igi.FIG;剿滅[jiǎo miè],剿灭[jiǎo miè]
elradikigi;radik.el0igi.FIG;滅絕阿[miè jué ā],灭绝阿[miè jué ā]
enradiki;radik.en0i;扎根[zhā gēn]
enradiki;radik.en0i;有根[yǒu gēn]
enradikigi;radik.en0igi;扎根[zhā gēn]
enradikiĝi;radik.en0igxi;滚雪球般增长[gǔn xuě qiú bān zēng zhǎng],滾雪球般增長[gǔn xuě qiú bān zēng zhǎng]
enradikiĝi;radik.en0igxi;渐增[jiān zēng],漸增[jiān zēng]
n-a radiko;radik.noa0o;n次方根[n cì fāng gēn]
radikala;radika.0a;激进[jī jìn],激進[jī jìn]
radikala;radika.0a;根本上[gēn běn shàng]
radikala;radika.0a;彻底[chè dǐ],徹底[chè dǐ]
radikala;radika.0a;基团[jī tuán],基團[jī tuán]
radikaliĝi;;激进化[jī jìn huà],激進化[jī jìn huà]
radikalo;;基团[jī tuán],基團[jī tuán]
radiografiaĵo;radio.0ajxo;X光照片[X guāng zhào piàn]
radiografiaĵo;radio.0ajxo;光摄影[guāng shè yǐng],光攝影[guāng shè yǐng]
radiografiaĵo;radio.0ajxo;照X光[zhào X guāng]
radioaktiva;radioaktiv.0a;放射性[fàng shè xìng]
radioaktiva;radioaktiv.0a;放射[fàng shè]
radioaktiveco;radioaktiv.0eco;放射性[fàng shè xìng]
radioaktiveco;radioaktiv.0eco;放射性活度[fàng shè xìng huó dù]
radioaktiveco;radioaktiv.0eco;輻射性[fú shè xìng],辐射性[fú shè xìng]
radiofonio;radiof.0o.RAD;广播[guǎng bō],廣播[guǎng bō]
radiofonio;radiof.0o.RAD;无线电广播[wú xiàn diàn guǎng bō],無線電廣播[wú xiàn diàn guǎng bō]
radiofonio;radiof.0o.RAD;无线电播放[wú xiàn diàn bō fàng],無線電播放[wú xiàn diàn bō fàng]
radiofonio;radiof.0o.RAD;无线电台[wú xiàn diàn tái],無線電臺[wú xiàn diàn tái]
radiologio;radiol1.0o;放射学[fàng shè xué],放射學[fàng shè xué]
radiologio;radiol1.0o;影像診斷學[yǐng xiàng zhěn duàn xué],影像诊断学[yǐng xiàng zhěn duàn xué]
radiometro;radiometr.0o;輻射計[fú shè jì],辐射计[fú shè jì]
radioskopio;radios.0o;X光检查[X guāng jiǎn chá],X光檢查[X guāng jiǎn chá]
radiotelefonio;radiot.0o;分格式无线电[fèn gé shì wú xiàn diàn],分格式無線電[fèn gé shì wú xiàn diàn]
radiotelefonio;radiot.0o;单元无线电[dān yuán wú xiàn diàn],單元無線電[dān yuán wú xiàn diàn]
radiotelefonio;radiot.0o;移动无线电[yí dòng wú xiàn diàn],移動無線電[yí dòng wú xiàn diàn]
radiotelefonio;radiot.0o;移动通信系统[yí dòng tōng xìn xì tǒng],移動通信系統[yí dòng tōng xìn xì tǒng]
radiotelefonio;radiot.0o;移动电话系统[yí dòng diàn huà xì tǒng],移動電話系統[yí dòng diàn huà xì tǒng]
radioterapio;radiot3.0o;放射線療法[fàng shè xiàn liáo fǎ],放射线疗法[fàng shè xiàn liáo fǎ]
radioterapio;radiot3.0o;放射治疗[fàng shè zhì liáo],放射治療[fàng shè zhì liáo]
radioterapio;radiot3.0o;放射疗法[fàng shè liáo fǎ],放射療法[fàng shè liáo fǎ]
radiumo;radium.0o;鐳[léi],镭[léi]
