tabo;tab.0o;制表鍵[zhì biǎo jiàn],制表键[zhì biǎo jiàn]
tabo;tab.0o;制表符[zhì biǎo fú]
tabako;tabak.0o;烟草[yān cǎo],煙草[yān cǎo]
tabako;tabak.0o;淡巴菰[dàn bā gū]
tabako;tabak.0o;旱烟[hàn yān],旱煙[hàn yān]
tabako;tabak.0o;菸草[yān cǎo]
tabakujo;;鼻烟盒[bí yān hé],鼻煙盒[bí yān hé]
maĉtabako;tabak.macx0o;嚼烟[jiáo yān],嚼煙[jiáo yān]
tabano;taban.0o;蜚[fěi]
tabano;taban.0o;虻[méng],蝱[méng]
tabano;taban.0o;牛虻[niú méng]
tabelo;tabel.0o;对照表[duì zhào biǎo],對照表[duì zhào biǎo]
tabelo;tabel.0o;表格[biǎo gé]
enhavtabelo;tabel.enhav0o;目录[mù lù],目錄[mù lù]
enhavtabelo;tabel.enhav0o;篇目[piān mù]
hortabelo;tabel.hor0o;时刻表[shí kè biǎo],時刻表[shí kè biǎo]
hortabelo;tabel.hor0o;时程[shí chéng],時程[shí chéng]
hortabelo;tabel.hor0o;时间表[shí jiān biǎo],時間表[shí jiān biǎo]
hortabelo;tabel.hor0o;日程表[rì chéng biǎo]
hortabelo;tabel.hor0o;課程表[kè chéng biǎo],课程表[kè chéng biǎo]
hortabelo;tabel.hor0o;課表[kè biǎo],课表[kè biǎo]
tablo;tabl.0o;桌子[zhuō zi]
tablo;tabl.0o;肵[jìn]
tabelto;;几[jī]
ĉetabliĝi;tabl.al0igxi;入席[rù xí]
komuna tablo;tabl.komuna0o.gasteja;自助餐[zì zhù cān]
komuna tablo;tabl.komuna0o.gasteja;自助餐柜台[zì zhù cān guì tái],自助餐櫃台[zì zhù cān guì tái]
labortablo;tabl.labor0o.KOMP;桌面[zhuō miàn]
labortablo;tabl.labor0o.MEBL;书桌[shū zhuō],書桌[shū zhuō]
labortablo;tabl.labor0o.MEBL;办公桌[bàn gōng zhuō],辦公桌[bàn gōng zhuō]
labortablo;tabl.labor0o.MEBL;桌面[zhuō miàn]
labortablo;tabl.labor0o.MEBL;书案[shū àn],書案[shū àn]
labortablo;tabl.labor0o.MEBL;桌上型[zhuō shàng xíng]
montrotablo;tabl.montro0o;柜台[guì tái],櫃台[guì tái]
ronda tablo;tabl.ronda0o.FRAZ;圆桌会议[yuán zhuō huì yì],圓桌會議[yuán zhuō huì yì]
ronda tablo;tabl.ronda0o.FRAZ;圆桌骑士[yuán zhuō jì shì],圓桌騎士[yuán zhuō jì shì]
ronda tablo;tabl.ronda0o.FRAZ;圆桌[yuán zhuō],圓桌[yuán zhuō]
skribotablo;tabl.skrib0o;书桌[shū zhuō],書桌[shū zhuō]
skribotablo;tabl.skrib0o;办公桌[bàn gōng zhuō],辦公桌[bàn gōng zhuō]
skribotablo;tabl.skrib0o;写字台[xiě zì tái],寫字台[xiě zì tái]
skribotablo;tabl.skrib0o;臺子[tái zi]
skribotablo;tabl.skrib0o;书案[shū àn],書案[shū àn]
surtabligi;tabl.sur0igi;摆桌子[bǎi zhuō zi],擺桌子[bǎi zhuō zi]
surtabligi;tabl.sur0igi;端飯[duān fàn],端饭[duān fàn]
vendotablo;;柜台[guì tái],櫃台[guì tái]
verŝtablo;tabl.versxo0o;吧台[bā tái]
vitrotablo;tabl.vitro0o;栏柜[lán guì],欄櫃[lán guì]
tablojdo;tablojd.0o;药片[yào piàn],藥片[yào piàn]
tabua;tabu.0a;被禁止[bèi jìn zhǐ]
tabua;tabu.0a;列为禁急[liè wéi jìn jì],列為禁急[liè wéi jìn jì]
tabui;tabu.0i;諱[huì],讳[huì]
tabuo;tabu.0o;忌諱[jì huì],忌讳[jì huì]
tabuo;tabu.0o;禁忌[jìn jì]
tabuo;tabu.0o;违碍[wéi ài],違礙[wéi ài]
tabulaĵo;tabul.0ajxo;包层[bāo céng],包層[bāo céng]
tabulaĵo;tabul.0ajxo.KOMUNE;包层[bāo céng],包層[bāo céng]
tabulaĵo;tabul.0ajxo.KOMUNE;飾闆[shì bǎn],饰板[shì bǎn]
tabuleto;tabul.0eto.skribtabulo;黑板[hēi bǎn]
tabulo;tabul.0o;木板[mù bǎn]
tabulo;tabul.0o;板[bǎn]
tabulo;tabul.0o;棋盘[qí pán],棋盤[qí pán]
tabulo;tabul.0o;整頁插圖[zhěng yè chā tú],整页插图[zhěng yè chā tú]
tabulo;tabul.0o;牌[pái]
tabulo;tabul.0o;跳板[tiào bǎn]
anonctabulo;tabul.anonc0o;广告栏[guǎng gào lán],廣告欄[guǎng gào lán]
anonctabulo;tabul.anonc0o;佈告欄[bù gào lán],布告栏[bù gào lán]
anonctabulo;tabul.anonc0o;公佈欄[gōng bù lán],公布栏[gōng bù lán]
anonctabulo;tabul.anonc0o;快報[kuài bào],快报[kuài bào]
anonctabulo;tabul.anonc0o.KOMUNE;指示者[zhǐ shì zhě]
aviztabulo;tabul.aviz0o.KOMUNE;看板[kàn bǎn],看闆[kàn bǎn]
aviztabulo;tabul.aviz0o.KOMUNE;信息載體[xìn xí zài tǐ],信息载体[xìn xí zài tǐ]
celtabulo;tabul.cel0o;靶[bǎ]
celtabulo;tabul.cel0o;堋[péng]
gladotabulo;tabul.glado0o;烫衣板[tàng yī bǎn],燙衣板[tàng yī bǎn]
tranĉtabulo;tabul.hak0o;菜板[cài bǎn]
tranĉtabulo;tabul.hak0o;菜墩子[cài dūn zi]
memortabulo;tabul.memor0o;金石[jīn shí]
memortabulo;tabul.memor0o;灵牌[líng pái],靈牌[líng pái]
memortabulo;tabul.memor0o;祢[mí],禰[mí]
neĝtabulo;tabul.negx0o;雪板[xuě bǎn]
pastabulo;tabul.pas0o;杠[gāng]
pastabulo;tabul.pas0o.ARKI;牏[tóu]
pastabulo;tabul.pas0o.ARKI;厚木板[hòu mù bǎn]
