Zagrebo;zagreb.0o.cxefurbo;札格雷布[Zhá gé léi bù]
Zagrebo;zagreb.0o.cxefurbo;札格拉布[Zhá gé lā bù]
Zagrebo;zagreb.0o.cxefurbo;札格瑞布[Zhá gé ruì bù]
Zagrebo;zagreb.0o.cxefurbo;萨格勒布[Sà gé lè bù],薩格勒布[Sà gé lè bù]
zakusko;zakusk.0o;一小片[yì xiǎo piàn]
zakusko;zakusk.0o;細屑[xì xiè],细屑[xì xiè]
zakusko;zakusk.0o;点心[diǎn xīn],點心[diǎn xīn]
Zambio;zambi.Z0o;贊比亞[Zàn bǐ yà],赞比亚[Zàn bǐ yà]
Zambio;zambi.Z0o;尚比亚[Shàng bǐ yà],尚比亞[Shàng bǐ yà]
zantoksilo;zantoksil.0o.BOT;樧[shā]
zantoksilo;zantoksil.0o.BOT;藙[yì]
Zanzibaro;zanzibar.0o;桑給巴爾[Sāng jǐ bā ěr],桑给巴尔[Sāng jǐ bā ěr]
Zanzibaro;zanzibar.0o;桑給巴爾[sāng gěi bā ěr],桑给巴尔[sāng gěi bā ěr]
Zaratuŝtro;zaratusxtr.0o;琐罗亚斯特[Suǒ luó yà sī tè],瑣羅亞斯特[Suǒ luó yà sī tè]
zebro;zebr.0o;斑馬[bān mǎ],斑马[bān mǎ]
zebuo;zebu.0o;犎[fēng]
zefiro;zefir.0o;徐風[xú fēng],徐风[xú fēng]
zefiro;zefir.0o;細薄[xì bó],细薄[xì bó]
zelkovo;zelkov.0o;槻[guī]
zelkovo;zelkov.0o;椐[jū]
zelkovo;zelkov.0o;橥[zhū],櫫[zhū]
zelkovo;zelkov.0o;榉树[jǔ shù],櫸樹[jǔ shù]
zenito;zenit.0o;天頂[tiān dǐng],天顶[tiān dǐng]
zenito;zenit.0o;日中[rì zhōng]
zenito;zenit.0o;尖端[jiān duān]
zepelino;zepelin.0o;齊柏林[qí bó lín],齐柏林[qí bó lín]
zepelino;zepelin.0o;齊柏林飛船[qí bó lín fēi chuán],齐柏林飞船[qí bó lín fēi chuán]
zepelino;zepelin.0o;齊柏林飛艇[qí bó lín fēi tǐng],齐柏林飞艇[qí bó lín fēi tǐng]
