abaĵur;PVEF;abajxur
abat;UV;abat
abel;UV;abel
aberaci;JED;aberac
abi;UV;abi
abism;JED;abism
ablaci;PVEF;ablaci
ablativ;UV;ablati
abnegaci;JED;abnega
abon;UV;abon
aborigen;PVEF;aborigen
abort;JED;abort
abrikot;UV;abriko
abrotan;JED;abrota
abscis;PVEF;abscis
absint;UV;absint
absolut;JED;absolu
absorb;JED;absorb
abstinenc;JED;abstin1
abstrakt;JED;abstra
absurd;JED;absurd
abund;PVEF;abund
abutment;PVEF;abutme
acer;UV;acer
acetat;JED;acetat
acetil;PVEF;acetil
acetilen;JED;acetil1
aceton;PVEF;aceton
acid;UV;acid
adaĝ;PVEF;adagx
adapt;JED;adapt
adept;JED;adept
adiabat;PVEF;adiabat
adiant;PVEF;adiant
adici;JED;adici
adjektiv;UV;adjekt
adjunkt;JED;adjunk
adjutant;JED;adjuta
administr;UV;admini
administraci;JED;admini1
administrator;PVEF;administrator
admir;UV;admir
admiral;JED;admira
admiralitat;JED;admira1
admon;UV;admon
adolesk;PVEF;adolesk
adopt;JED;adopt
ador;UV;ador
adrenalin;PVEF;adrenalin
adres;JED;adres
adstring;JED;adstri
adult;UV;adult
adverb;UV;adverb
advokat;JED;advoka
adz;PVEF;adz
aed;PVEF;aed
aed;PVEF;aed1
aer;UV;aer
aerobi;PVEF;aerobi
aerolit;JED;aeroli
aerometr;JED;aerome
aeronaŭt;PVEF;aerona
aeronaŭtik;JED;aerona1
aeroplan;PVEF;aeropl
aerostat;JED;aerost
afabl;UV;afabl
afazi;PVEF;afazi
afekci;JED;afekci
afekt;UV;afekt
afeli;PVEF;afeli
afer;UV;afer
afid;PVEF;afid
afiks;JED;afiks
aflikt;PVEF;aflikt
afoni;PVEF;afoni
aforism;JED;aforis
aft;JED;aft
afust;JED;afust
aga;PVEF;aga
agac;UV;agac
agap;JED;agap
agaragar;PVEF;agarag
agarik;JED;agarik
agav;PVEF;agav
agend;JED;agend
agit;JED;agit
agl;UV;agl
agnat;PVEF;agnat
agoni;JED;agoni
agorafobi;PVEF;agoraf
agrabl;UV;agrabl
agraf;JED;agraf
agregaci;PVEF;agregaci
agregat;JED;agregat
agrikultur;JED;agriku
agronom;PVEF;agrono
agronomi;JED;agrono1
agropir;PVEF;agropi
aĝi;JED;agxi
aĝiot;JED;agxiot
